pre_event_review_rank,roi_id,event_relative_bin,cycleNo,source_stem,pre_event_review_score,review_reason,frame_strip_png
15,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,near_pre_event_1_8,108.0,12_c2_x10_070723,3.6354886098527954,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/15_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723.png
16,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,near_pre_event_1_8,82.0,9_c2_x10_010723,3.614416004881446,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/16_source_balanced_cycle82_rank63_obj1_9_c2_x10_010723.png
17,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,near_pre_event_1_8,112.0,12_c2_x10_070723,3.5997122021754104,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/17_source_balanced_cycle112_rank13_obj2_12_c2_x10_070723.png
18,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,near_pre_event_1_8,58.0,7_c2_x10_290623,3.485339749050869,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/18_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623.png
19,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,near_pre_event_1_8,110.0,12_c2_x10_070723,3.4769884596921665,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/19_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723.png
20,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,near_pre_event_1_8,108.0,12_c2_x10_070723,3.4710085598872396,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/20_source_balanced_cycle108_rank11_obj1_12_c2_x10_070723.png
21,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,far_pre_event_17_32,40.0,5_c2_x10_260623,3.3924608255285884,context_or_guardrail_row,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/21_source_balanced_cycle40_rank43_obj2_5_c2_x10_260623.png
22,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,near_pre_event_1_8,84.0,9_c2_x10_010723,3.3628436852395174,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/22_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723.png
23,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,near_pre_event_1_8,58.0,7_c2_x10_290623,3.3360053266104805,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/23_source_balanced_cycle58_rank52_obj1_7_c2_x10_290623.png
24,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,near_pre_event_1_8,56.0,7_c2_x10_290623,3.3266307081143633,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/24_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623.png
