x_feature,y_rollout_metric,n,spearman_rho,p_value
cumulative_abs_first_last,persistence_mse,52,0.22453683940920344,0.10953052939690694
mean_drop_frac,latent_path_length,52,-0.22271199909380202,0.11252116150089599
roi_mean_delta,persistence_mse,52,0.21403568684367796,0.12760076794222414
roi_mean_delta,dmd_mse_ratio_vs_persistence,52,0.21062067787927943,0.13393698734691933
centroid_path_px,persistence_mae,52,0.20455903696747202,0.14576051997193987
mid_fraction_slope_per_s,persistence_mse,52,0.19243575514385722,0.17170234324265135
interface_density_delta,velocity_mse_ratio_vs_persistence,52,-0.16988301844526987,0.2285742403462593
first_last_corr,persistence_mse,52,-0.15700503713822248,0.2663238366207661
evidence_score,persistence_mse,52,-0.1446479994114384,0.3062565213405506
mid_fraction_slope_per_s,dmd_mse_ratio_vs_persistence,52,-0.1400153675403398,0.32216976607897885
high_fraction_slope_per_s,dmd_mse_ratio_vs_persistence,52,-0.1369418594723811,0.3330107775135283
first_last_corr,persistence_ssim,52,-0.13292922393921283,0.3475036121011642
cumulative_abs_first_last,persistence_mae,52,0.1269529582515154,0.3697974101257406
evidence_score,persistence_mae,52,0.11886215336251289,0.40131648313662477
centroid_path_px,dmd_mse_ratio_vs_persistence,52,0.1169640570306497,0.40893090409476884
mid_fraction_slope_per_s,velocity_mse_ratio_vs_persistence,52,0.11576880389311021,0.41376826586249177
high_radius2_slope_px2_per_s,velocity_mse_ratio_vs_persistence,52,0.11312217194570134,0.424595661730543
interface_density_delta,persistence_ssim,52,0.11279993333309953,0.4259248148443906
high_radius2_slope_px2_per_s,latent_path_length,52,0.11150004268761206,0.43131037811430706
temporal_diff_energy,velocity_mse_ratio_vs_persistence,52,-0.1109024161188423,0.4337991855853954
roi_mean_delta,persistence_ssim,52,0.1067190301374541,0.4514445908409594
high_fraction_slope_per_s,velocity_mse_ratio_vs_persistence,52,0.10560915222402459,0.4561912158951176
high_radius2_slope_px2_per_s,latent_net_displacement,52,0.099974387432767,0.4807042860697664
temporal_diff_energy,latent_net_displacement,52,-0.09211986681465037,0.5160017024178042
cumulative_abs_first_last,persistence_ssim,52,0.08281396738666438,0.5594442516523483
first_last_corr,persistence_mae,52,-0.07845983095705626,0.5803443759541498
mean_drop_frac,latent_net_displacement,52,-0.07806399968236359,0.5822618385434699
interface_density_delta,latent_path_length,52,0.07565536785248006,0.5939909345440104
mean_drop_frac,persistence_mse,52,-0.07294215354935783,0.6073272273817208
mean_drop_frac,dmd_mse_ratio_vs_persistence,52,-0.045919999813155046,0.7465022257950975
interface_density_delta,persistence_mae,52,-0.03385705796107037,0.8116639208227112
mid_fraction_slope_per_s,latent_path_length,52,-0.033381712626995644,0.8142609409406647
mean_drop_frac,persistence_mae,52,0.016248615318501018,0.9089765055424266
high_fraction_slope_per_s,latent_path_length,52,0.013233159737044309,0.9258161817660111
interface_density_delta,persistence_mse,52,0.009990607267201093,0.9439598950180637
roi_mean_delta,persistence_mae,52,-0.00887902330743618,0.9501867260326412
mean_drop_frac,persistence_ssim,52,-0.003532307677935004,0.9801724564432989
high_radius2_slope_px2_per_s,dmd_mse_ratio_vs_persistence,52,-0.002988132843848715,0.9832265416165228
