roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,n_thresholds,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,iqr_abs_apparent_D_um2_per_s,threshold_sensitivity_iqr_over_median_abs,positive_D_fraction,negative_D_fraction,sign_entropy_bits,robust_positive_fit_fraction,median_radius2_fit_r2,min_radius2_fit_r2,median_phase_slope_per_s,median_radius2_slope_px2_per_s,D_vs_threshold_spearman_rho,D_vs_threshold_spearman_p,abs_D_vs_threshold_spearman_rho,abs_D_vs_threshold_spearman_p,roi_elapsed_to_h5_median_ratio,h5_dt_max_to_median_ratio,transferred_masked_residual_signature,validation_score_recon,selected_diffusion_um2_per_s,selected_r2,drift_to_motion_ratio,front_quality_score,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,mask_instability_score,fallback_frame_fraction,accepted_area_cv,manual_qc_status,positive_estimator_count,negative_estimator_count,automatic_positive_diffusion_proxy_candidate,publication_diffusion_candidate,gate_all_thresholds_present,gate_positive_expansion,gate_fit_quality,gate_threshold_stability,gate_h5_timing_stable,gate_low_drift,gate_q70_positive_ci,diffusion_physics_gate_count,automatic_diffusion_physics_consistent,publication_ready_diffusion_candidate,physics_consistency_score
cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,155.0,1.0,1.0,0.0,7,8.520921569474126e-06,8.520921569474126e-06,3.3500734096748285e-06,0.3931585782547674,1.0,0.0,0.0,0.0,0.152414906218773,0.1327087438441211,1.6616272975912492e-06,0.0036983166534175,1.0,0.0,1.0,0.0,1.002119584106621,13.75745087739935,0.7426923860413742,23.548300466193936,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.955835617091389
cycle110_rank24_obj1,110.0,12_c2_x10_070723,future8_positive,0.0,110.0,1.0,1.0,0.0,7,-6.055332417474586e-08,3.631570616007281e-06,3.297358280205088e-06,0.9079703050991085,0.2857142857142857,0.7142857142857143,0.863120568566631,0.0,0.1105059631174699,0.0232791431149743,5.228350674390018e-07,-2.6281824728622327e-05,1.0,0.0,0.28571428571428575,0.5345092286010406,0.9993723977008342,1.1428571332843969,0.1861489207307045,26.314764358916044,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.9422350962822015
cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,151.0,1.0,1.0,0.0,7,3.239229745018506e-06,3.239229745018506e-06,8.44745282345721e-07,0.2607858499832635,1.0,0.0,0.0,0.0,0.0650835014650753,0.0453644840737246,1.6933994776911942e-06,0.001405915687942,0.7500000000000002,0.05218140045705778,0.7500000000000002,0.05218140045705778,1.00162243789706,13.75745087739935,1.4388691546947752,24.11764540844328,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.9346905764734434
cycle131_rank5_obj2,131.0,15_c2_x5_HighCOV_120723,future8_negative,0.0,131.0,0.0,0.0,0.0,7,1.211373478821189e-06,1.211373478821189e-06,4.0883135726293167e-07,0.33749406307027074,1.0,0.0,0.0,0.0,0.0718308219921745,0.0004937989252757,1.3236074805940616e-06,0.0005257697390716,0.21428571428571433,0.6445115810207203,0.21428571428571433,0.6445115810207203,1.0092960944415108,13.752756492339794,0.6026405442281145,23.84833496208426,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.903083790457039
cycle158_rank12_obj2,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,158.0,0.0,0.0,0.0,7,-4.959472500669848e-06,4.959472500669848e-06,1.8059228538000359e-06,0.36413607567258816,0.0,1.0,0.0,0.0,0.0672577375116328,0.0460104361617267,7.846433540920068e-08,-0.0021525488284157,0.0,1.0,0.0,1.0,1.001029019528617,1.156908614006808,0.1268052199398837,24.371538861173462,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.8851896996753386
cycle78_rank22_obj1,78.0,9_c2_x10_010723,future8_positive,0.0,78.0,1.0,1.0,0.0,7,-5.212493188208881e-07,1.5417749731548717e-06,1.7514886410005428e-06,1.136020931392175,0.2857142857142857,0.7142857142857143,0.863120568566631,0.0,0.1590262920865164,0.042509973871723,7.502860047931208e-07,-0.000226236683516,-0.39285714285714296,0.3833168704269726,-0.42857142857142866,0.33736831108582416,1.0019366073960003,1.1361501308587034,0.2683863942126585,24.74683509607009,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.8767301121047146
cycle108_rank21_obj2,108.0,12_c2_x10_070723,future8_positive,0.0,108.0,1.0,1.0,0.0,7,-3.837457657152873e-06,3.837457657152873e-06,1.3458621801834836e-06,0.350717141510304,0.0,1.0,0.0,0.0,0.0120211630717763,0.0062176481633772,7.95631418142482e-07,-0.0016655632192503,-0.9642857142857145,0.00045414916919416925,0.9642857142857145,0.00045414916919416925,1.0001971673249055,1.1428571332843969,0.3455880466883458,24.25594937175352,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.836662592316624
cycle84_rank23_obj3,84.0,9_c2_x10_010723,future8_positive,0.0,84.0,1.0,1.0,0.0,7,-8.118054832649714e-07,8.118054832649714e-07,7.842897205673373e-07,0.9661054732138918,0.2857142857142857,0.7142857142857143,0.863120568566631,0.0,0.0049695929753811,0.0003069197088355,9.14086053570685e-08,-0.0003523461298893,-0.7500000000000002,0.05218140045705778,0.642857142857143,0.11939237342741099,1.002742392551954,1.1361501308587034,0.257364534667413,24.81387714907142,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.807631142082721
cycle143_rank10_obj3,143.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,143.0,0.0,1.0,0.0,7,2.079249224717508e-05,2.079249224717508e-05,9.597957573551434e-06,0.46160688480504003,1.0,0.0,0.0,0.0,0.0263013747141813,0.009572775213241,-2.4606988942823123e-06,0.009024519204503,1.0,0.0,1.0,0.0,1.0019905985938655,13.736323266163534,0.2351301084038065,24.550014363282017,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.7954979323116613
cycle153_rank17_obj3,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,153.0,1.0,1.0,0.0,7,1.500434349530451e-06,1.500434349530451e-06,1.2326985621772384e-06,0.8215611449864512,1.0,0.0,0.0,0.14285714285714285,0.0433832948311385,0.0049733105144674,-2.358105842964088e-06,0.0006512301864281,0.3571428571428572,0.43161135203832796,0.3571428571428572,0.43161135203832796,1.001865298509398,13.75745087739935,0.8710369083836372,24.82314848487546,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.7754598651950557
