feature,context,n,rho,p_value,permutation_p_abs_rho
velocity_particle_mse_ratio_vs_persistence_max,capacity_mAh,8,0.7857142857142858,0.02081512725352528,0.023595280943811237
persistence_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,particle_norm_range,11,-0.6818181818181819,0.020842853610945077,0.02399520095980804
mean_validation_score_rolling2_mean,particle_norm_range,11,-0.6727272727272727,0.023313039833185972,0.02399520095980804
velocity_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.690909090909091,0.018565033381595004,0.02419516096780644
low_rank_dmd_particle_mse_mean_median_rolling2_mean,frames_percentile,11,0.6803723898160625,0.021222619499138524,0.024795040991801638
velocity_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,frames_percentile,11,0.6758061321662903,0.02245437698633361,0.02539492101579684
low_rank_dmd_nonparticle_mse_mean_max,capacity_mAh,8,-0.7857142857142858,0.02081512725352528,0.02579484103179364
velocity_particle_mse_ratio_vs_persistence_median,capacity_mAh,8,0.7857142857142858,0.02081512725352528,0.026394721055788842
velocity_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,cycle_state_pc2,11,0.6727272727272727,0.023313039833185972,0.026794641071785644
persistence_particle_mse_fraction_of_full_mean_max_rolling2_mean,particle_norm_range,11,-0.6727272727272727,0.023313039833185972,0.027394521095780843
velocity_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,mean_abs_delta_prev,11,-0.6727272727272727,0.023313039833185972,0.027394521095780843
velocity_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,frames_percentile,11,0.671239874516518,0.023736095476699415,0.027794441111777646
velocity_particle_mse_fraction_of_full_mean_max_rolling2_mean,cycle_state_pc2,11,0.6727272727272727,0.023313039833185972,0.028394321135772844
velocity_particle_mse_fraction_of_full_mean_max,frames_percentile,11,0.6621073592169735,0.02645372580617344,0.028394321135772844
low_rank_dmd_particle_mse_mean_median,cycle_state_pc2,11,0.6727272727272727,0.023313039833185972,0.029394121175764846
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max,frames_percentile,11,0.6621073592169735,0.02645372580617344,0.029994001199760048
velocity_particle_mse_mean_max_rolling2_mean,mean_abs_delta_prev,11,-0.6818181818181819,0.020842853610945077,0.03079384123175365
velocity_particle_mse_fraction_of_full_mean_median_rolling2_mean,cycle_state_pc2,11,0.6727272727272727,0.023313039833185972,0.03199360127974405
velocity_particle_mse_fraction_of_full_mean_median,frames_percentile,11,0.6666736168667458,0.025068853861871892,0.03199360127974405
velocity_particle_to_nonparticle_mse_ratio_mean_median,frames_percentile,11,0.6666736168667458,0.025068853861871892,0.03239352129574085
velocity_accepted_area_fraction_median_median_rolling2_mean,coulombic_efficiency_pct,8,0.7619047619047621,0.028004939153071808,0.03239352129574085
persistence_particle_mse_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.6454545454545455,0.03196279932801745,0.03239352129574085
low_rank_dmd_particle_mse_fraction_of_full_mean_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.6727272727272726,0.033041222545437725,0.03439312137572485
low_rank_dmd_particle_mse_fraction_of_full_mean_max_rolling2_mean,degradation_state_axis,11,-0.6454545454545455,0.03196279932801745,0.03539292141571686
low_rank_dmd_particle_mse_fraction_of_full_mean_median,frames_percentile,11,0.6575411015672014,0.02789177910815643,0.03559288142371526
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,frames_percentile,11,0.6438423286178846,0.0325356039494861,0.035992801439712056
low_rank_dmd_accepted_area_fraction_median_median_rolling2_mean,coulombic_efficiency_pct,8,0.7619047619047621,0.028004939153071808,0.03739252149570086
persistence_accepted_area_fraction_median_median_rolling2_mean,coulombic_efficiency_pct,8,0.7619047619047621,0.028004939153071808,0.03759248150369926
velocity_particle_mse_ratio_vs_persistence_median_rolling2_mean,coulombic_efficiency_pct,8,-0.7619047619047621,0.028004939153071808,0.03759248150369926
low_rank_dmd_particle_mse_fraction_of_full_mean_max,mean_abs_delta_prev,11,0.6363636363636364,0.03528698122006229,0.03779244151169766
persistence_particle_mse_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.7619047619047621,0.028004939153071808,0.03799240151969606
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.6727272727272726,0.033041222545437725,0.038792241551689664
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max,cycle_state_pc2,11,0.6363636363636364,0.03528698122006229,0.03999200159968006
velocity_particle_mse_ratio_vs_persistence_max_rolling2_mean,coulombic_efficiency_pct,8,-0.7619047619047621,0.028004939153071808,0.04079184163167367
mean_validation_score,particle_norm_range,11,-0.6272727272727273,0.03884525362035332,0.042191561687662464
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_median,particle_norm_range,11,-0.6363636363636364,0.03528698122006229,0.04239152169566087
persistence_particle_mse_fraction_of_full_mean_max,particle_norm_range,11,-0.6363636363636364,0.03528698122006229,0.04259148170365927
low_rank_dmd_particle_mse_fraction_of_full_mean_max_rolling2_mean,capacity_mAh,8,0.7380952380952381,0.036552761052860816,0.04499100179964007
velocity_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,cycle_state_pc2,11,0.6272727272727273,0.03884525362035332,0.04499100179964007
low_rank_dmd_particle_mse_mean_median_rolling2_mean,cycle_state_pc2,11,0.6363636363636364,0.03528698122006229,0.046590681863627276
persistence_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,mean_abs_delta_prev,11,-0.6272727272727273,0.03884525362035332,0.046990601879624075
velocity_particle_mse_ratio_vs_persistence_max_delta_prev_observed_roi_cycle,cycle_state_pc2,10,-0.6606060606060605,0.03758837757140935,0.04879024195160968
velocity_particle_mse_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.6090909090909091,0.04669570935409888,0.04999000199960008
velocity_particle_mse_ratio_vs_persistence_median_rolling2_mean,frames_percentile,11,-0.611878525069479,0.045426766773459276,0.05138972205558888
low_rank_dmd_nonparticle_mse_mean_median_rolling2_mean,cycle_state_pc2,11,0.6181818181818182,0.04264556980532671,0.05318936212757448
persistence_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,particle_norm_range,11,-0.6000000000000001,0.051003260706950715,0.05438912217556489
low_rank_dmd_nonparticle_mse_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.7142857142857144,0.046528232284167255,0.05458908218356329
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,particle_norm_range,11,-0.6000000000000001,0.051003260706950715,0.05538892221555689
low_rank_dmd_particle_mse_ratio_vs_persistence_max_rolling2_mean,particle_norm_range,11,-0.6090909090909091,0.04669570935409888,0.05558888222355529
low_rank_dmd_accepted_area_fraction_median_median,capacity_mAh,8,-0.7142857142857144,0.046528232284167255,0.05578884223155369
persistence_particle_mse_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.7142857142857144,0.046528232284167255,0.05638872225554889
velocity_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.7142857142857144,0.046528232284167255,0.05878824235152969
velocity_accepted_area_fraction_median_median,capacity_mAh,8,-0.7142857142857144,0.046528232284167255,0.059988002399520096
persistence_accepted_area_fraction_median_median,capacity_mAh,8,-0.7142857142857144,0.046528232284167255,0.060187962407518496
persistence_particle_mse_mean_max,cycle_state_pc2,11,0.5818181818181819,0.06041989621564835,0.0617876424715057
persistence_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.5727272727272729,0.0655430526010185,0.06458708258348331
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max,particle_norm_range,11,-0.5909090909090909,0.055575604288774665,0.06598680263947211
persistence_particle_mse_fraction_of_full_mean_median,particle_norm_range,11,-0.5818181818181819,0.06041989621564835,0.06798640271945611
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,cycle_state_pc2,11,0.5818181818181819,0.06041989621564835,0.06958608278344332
low_rank_dmd_particle_mse_mean_max_rolling2_mean,capacity_mAh,8,-0.6904761904761906,0.05799031816457273,0.07018596280743851
low_rank_dmd_nonparticle_mse_mean_median,cycle_state_pc2,11,0.5636363636363637,0.07095173447637547,0.07278544291141771
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_median,mean_abs_delta_prev,11,-0.5636363636363637,0.07095173447637547,0.07398520295940812
velocity_particle_mse_ratio_vs_persistence_max,particle_norm_range,11,0.5636363636363637,0.07095173447637547,0.07518496300739852
persistence_particle_to_nonparticle_mse_ratio_mean_max,particle_norm_range,11,-0.5545454545454546,0.0766523333397824,0.07718456308738253
persistence_nonparticle_mse_mean_max_rolling2_mean,capacity_mAh,8,0.6666666666666669,0.07098765432098755,0.07978404319136173
velocity_particle_mse_fraction_of_full_mean_max_rolling2_mean,particle_norm_range,11,-0.5545454545454546,0.0766523333397824,0.08118376324735053
low_rank_dmd_particle_mse_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.6666666666666669,0.07098765432098755,0.08338332333533294
velocity_particle_mse_ratio_vs_persistence_median,particle_norm_range,11,0.5545454545454546,0.0766523333397824,0.08438312337532493
velocity_particle_mse_ratio_vs_persistence_max_rolling2_mean,frames_percentile,11,-0.5479509179726677,0.08097370829010364,0.08578284343131373
velocity_accepted_area_fraction_median_median_rolling2_mean,mean_abs_delta_prev,11,-0.5454545454545455,0.08265095734417502,0.08738252349530094
low_rank_dmd_accepted_area_fraction_median_median_rolling2_mean,mean_abs_delta_prev,11,-0.5454545454545455,0.08265095734417502,0.08778244351129774
low_rank_dmd_nonparticle_mse_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.6666666666666669,0.07098765432098755,0.08998200359928014
velocity_nonparticle_mse_mean_max_rolling2_mean,capacity_mAh,8,0.6666666666666669,0.07098765432098755,0.09118176364727054
persistence_accepted_area_fraction_median_median_rolling2_mean,mean_abs_delta_prev,11,-0.5454545454545455,0.08265095734417502,0.09158168366326734
low_rank_dmd_particle_mse_mean_median_rolling2_mean,particle_norm_range,11,-0.5363636363636364,0.08895341813596264,0.09398120375924815
low_rank_dmd_particle_mse_mean_max,cycle_state_pc2,11,0.5272727272727273,0.09556521835315421,0.09558088382323535
persistence_particle_to_nonparticle_mse_ratio_mean_median,particle_norm_range,11,-0.5272727272727273,0.09556521835315421,0.09838032393521295
velocity_particle_mse_ratio_vs_persistence_median_rolling2_mean,cycle_state_pc2,11,-0.5181818181818182,0.10249153979096377,0.09918016396720655
persistence_particle_mse_mean_max_rolling2_mean,frames_percentile,11,0.5296858873735789,0.09377967555539844,0.10057988402319536
low_rank_dmd_particle_mse_fraction_of_full_mean_median_rolling2_mean,frames_percentile,11,0.5159871144242621,0.10421135553960034,0.10097980403919216
velocity_particle_mse_mean_max_rolling2_mean,frames_percentile,11,0.5205533720740343,0.10065406432187346,0.10137972405518897
low_rank_dmd_particle_mse_ratio_vs_persistence_median,mean_abs_delta_prev,11,0.5272727272727273,0.09556521835315421,0.10157968406318736
velocity_particle_mse_fraction_of_full_mean_max_rolling2_mean,mean_abs_delta_prev,11,-0.5181818181818182,0.10249153979096377,0.10417916416716656
low_rank_dmd_particle_mse_mean_median,frames_percentile,11,0.5205533720740343,0.10065406432187346,0.10537892421515697
low_rank_dmd_particle_mse_ratio_vs_persistence_max,mean_abs_delta_prev,11,0.5181818181818182,0.10249153979096377,0.10937812437512498
velocity_particle_mse_ratio_vs_persistence_max_delta_prev_observed_roi_cycle,frames_percentile,10,-0.5426930156540026,0.10503989377913599,0.10957808438312337
velocity_particle_mse_fraction_of_full_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.6190476190476191,0.10173303745426478,0.11017796440711858
low_rank_dmd_particle_mse_mean_median_rolling2_mean,capacity_mAh,8,-0.6190476190476191,0.10173303745426478,0.11057788442311538
persistence_particle_mse_fraction_of_full_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.5090909090909091,0.1097372322416563,0.11157768446310738
low_rank_dmd_particle_mse_fraction_of_full_mean_median,cycle_state_pc2,11,0.5090909090909091,0.1097372322416563,0.11397720455908818
low_rank_dmd_particle_mse_mean_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.5393939393939393,0.1075931877824148,0.11417716456708658
low_rank_dmd_accepted_area_fraction_median_median,mean_abs_delta_prev,11,-0.5,0.11730680301423814,0.11557688462307539
low_rank_dmd_nonparticle_mse_mean_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.5272727272727272,0.11730806555020232,0.11757648470305938
low_rank_dmd_particle_mse_ratio_vs_persistence_max_rolling2_mean,coulombic_efficiency_pct,8,-0.6190476190476191,0.10173303745426478,0.1195760847830434
velocity_accepted_area_fraction_median_median,mean_abs_delta_prev,11,-0.5,0.11730680301423814,0.1201759648070386
persistence_accepted_area_fraction_median_median,mean_abs_delta_prev,11,-0.5,0.11730680301423814,0.12037592481503699
low_rank_dmd_particle_mse_ratio_vs_persistence_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.5272727272727272,0.11730806555020232,0.12157568486302739
velocity_particle_mse_ratio_vs_persistence_median_delta_prev_observed_roi_cycle,cycle_state_pc2,10,-0.5272727272727272,0.11730806555020232,0.12157568486302739
low_rank_dmd_nonparticle_mse_mean_max,degradation_state_axis,11,0.5,0.11730680301423814,0.1267746450709858
low_rank_dmd_particle_mse_fraction_of_full_mean_median_rolling2_mean,cycle_state_pc2,11,0.5,0.11730680301423814,0.1269746050789842
persistence_particle_mse_mean_median,mean_abs_delta_prev,11,-0.48181818181818187,0.1334338382568287,0.1297740451909618
low_rank_dmd_particle_mse_ratio_vs_persistence_median_rolling2_mean,particle_norm_range,11,-0.48181818181818187,0.1334338382568287,0.1297740451909618
velocity_particle_mse_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.5952380952380953,0.11952980613879273,0.1347730453909218
low_rank_dmd_particle_mse_mean_median_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.5151515151515151,0.12755286970323432,0.13617276544691062
low_rank_dmd_particle_mse_mean_max_rolling2_mean,cycle_state_pc2,11,0.4727272727272727,0.14199852020631987,0.1401719656068786
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_median,frames_percentile,11,0.4794570532260843,0.1356259343726006,0.14477104579084182
low_rank_dmd_particle_mse_fraction_of_full_mean_max_rolling2_mean,mean_abs_delta_prev,11,0.46363636363636374,0.1509014992924859,0.15396920615876825
low_rank_dmd_nonparticle_mse_mean_median_rolling2_mean,particle_norm_range,11,-0.46363636363636374,0.1509014992924859,0.15416916616676665
low_rank_dmd_particle_mse_mean_max,frames_percentile,11,0.46575828027676763,0.14879303522674123,0.15476904619076184
persistence_nonparticle_mse_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.46363636363636374,0.1509014992924859,0.15656868626274745
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max,capacity_mAh,8,-0.5714285714285715,0.13895995716070675,0.15736852629474105
persistence_particle_mse_fraction_of_full_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.5476190476190477,0.16002564253889653,0.15836832633473305
velocity_nonparticle_mse_mean_max_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.4787878787878787,0.161522928017456,0.16136772645470907
low_rank_dmd_particle_mse_ratio_vs_persistence_median_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.4666666666666666,0.17393859716506654,0.16376724655068986
low_rank_dmd_accepted_area_fraction_median_median,degradation_state_axis,11,0.44545454545454555,0.1697326049268118,0.16516696660667868
velocity_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,particle_norm_range,11,-0.46363636363636374,0.1509014992924859,0.16596680663867228
persistence_particle_mse_mean_max,frames_percentile,11,0.44749324967767873,0.1675526530591511,0.16616676664667065
velocity_particle_mse_mean_max_rolling2_mean,cycle_state_pc2,11,0.44545454545454555,0.1697326049268118,0.16916616676664667
velocity_particle_mse_ratio_vs_persistence_median,coulombic_efficiency_pct,8,-0.5476190476190477,0.16002564253889653,0.16976604679064186
persistence_particle_mse_mean_max_rolling2_mean,cycle_state_pc2,11,0.44545454545454555,0.1697326049268118,0.16976604679064186
low_rank_dmd_particle_mse_fraction_of_full_mean_median,coulombic_efficiency_pct,8,0.5476190476190477,0.16002564253889653,0.17216556688662268
velocity_particle_mse_fraction_of_full_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.5476190476190477,0.16002564253889653,0.17456508698260348
persistence_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.5476190476190477,0.16002564253889653,0.17556488702259548
velocity_accepted_area_fraction_median_median,degradation_state_axis,11,0.44545454545454555,0.1697326049268118,0.17636472705458908
velocity_particle_mse_ratio_vs_persistence_max,coulombic_efficiency_pct,8,-0.5476190476190477,0.16002564253889653,0.17696460707858427
velocity_particle_to_nonparticle_mse_ratio_mean_max,mean_abs_delta_prev,11,-0.43636363636363645,0.1796648765800111,0.17696460707858427
velocity_particle_mse_fraction_of_full_mean_median,mean_abs_delta_prev,11,-0.43636363636363645,0.1796648765800111,0.1775644871025795
velocity_particle_mse_ratio_vs_persistence_max_rolling2_mean,cycle_state_pc2,11,-0.43636363636363645,0.1796648765800111,0.17796440711857628
persistence_accepted_area_fraction_median_median,degradation_state_axis,11,0.44545454545454555,0.1697326049268118,0.17976404719056188
low_rank_dmd_nonparticle_mse_mean_median_delta_prev_observed_roi_cycle,mean_abs_delta_prev,10,0.4545454545454545,0.18690481034933198,0.18236352729454108
persistence_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,coulombic_efficiency_pct,8,0.5476190476190477,0.16002564253889653,0.1827634473105379
low_rank_dmd_particle_mse_fraction_of_full_mean_median,particle_norm_range,11,-0.4272727272727273,0.18994372496542708,0.1845630873825235
persistence_particle_mse_mean_max_delta_prev_observed_roi_cycle,cycle_state_pc2,10,0.4666666666666666,0.17393859716506654,0.1863627274545091
velocity_particle_to_nonparticle_mse_ratio_mean_median,mean_abs_delta_prev,11,-0.43636363636363645,0.1796648765800111,0.1869626074785043
velocity_particle_mse_mean_median_rolling2_mean,degradation_state_axis,11,0.4272727272727273,0.18994372496542708,0.1879624075184963
velocity_nonparticle_mse_mean_max,particle_norm_range,11,0.43636363636363645,0.1796648765800111,0.1893621275744851
velocity_nonparticle_mse_mean_median_rolling2_mean,frames_percentile,11,-0.4246619614288175,0.192959866465874,0.19096180763847231
low_rank_dmd_particle_mse_ratio_vs_persistence_median_rolling2_mean,coulombic_efficiency_pct,8,-0.523809523809524,0.1827207505397148,0.19196160767846432
low_rank_dmd_particle_mse_ratio_vs_persistence_median,coulombic_efficiency_pct,8,-0.523809523809524,0.1827207505397148,0.1929614077184563
low_rank_dmd_nonparticle_mse_mean_max_rolling2_mean,degradation_state_axis,11,0.4272727272727273,0.18994372496542708,0.1931613677264547
velocity_particle_mse_mean_max,cycle_state_pc2,11,0.41818181818181827,0.20057021703405045,0.1943611277744451
velocity_particle_mse_fraction_of_full_mean_max_delta_prev_observed_roi_cycle,cycle_state_pc2,10,0.4545454545454545,0.18690481034933198,0.19456108778244352
low_rank_dmd_particle_mse_mean_median,particle_norm_range,11,-0.4272727272727273,0.18994372496542708,0.1947610477904419
velocity_nonparticle_mse_mean_median_delta_prev_observed_roi_cycle,cycle_state_pc2,10,-0.4424242424242424,0.20042268671194216,0.1947610477904419
mean_validation_score,cycle_state_pc2,11,0.41818181818181827,0.20057021703405045,0.19636072785442912
velocity_particle_mse_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.523809523809524,0.1827207505397148,0.1977604479104179
velocity_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,coulombic_efficiency_pct,8,0.523809523809524,0.1827207505397148,0.19896020795840832
velocity_particle_mse_ratio_vs_persistence_max_rolling2_mean,mean_abs_delta_prev,11,0.41818181818181827,0.20057021703405045,0.20315936812637472
mean_validation_score_delta_prev_observed_roi_cycle,capacity_mAh,7,0.5714285714285715,0.18020198891152758,0.20375924815036991
low_rank_dmd_nonparticle_mse_mean_max_rolling2_mean,frames_percentile,11,0.41096318847950086,0.20925624580108898,0.20395920815836832
velocity_particle_mse_fraction_of_full_mean_median_rolling2_mean,particle_norm_range,11,-0.41818181818181827,0.20057021703405045,0.20935812837432513
velocity_particle_mse_ratio_vs_persistence_median_rolling2_mean,particle_norm_range,11,0.4090909090909091,0.21154501034209594,0.20935812837432513
mean_validation_score_rolling2_mean,cycle_state_pc2,11,0.4090909090909091,0.21154501034209594,0.21055788842231554
persistence_particle_mse_fraction_of_full_mean_median,coulombic_efficiency_pct,8,0.5000000000000001,0.20703124999999994,0.21155768846230755
persistence_particle_mse_mean_median_rolling2_mean,particle_norm_range,11,-0.4090909090909091,0.21154501034209594,0.21355728854229153
persistence_particle_to_nonparticle_mse_ratio_mean_max,mean_abs_delta_prev,11,-0.4090909090909091,0.21154501034209594,0.21375724855028994
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,capacity_mAh,8,-0.5000000000000001,0.20703124999999994,0.21495700859828035
persistence_particle_to_nonparticle_mse_ratio_mean_median,coulombic_efficiency_pct,8,0.5000000000000001,0.20703124999999994,0.21655668866226754
low_rank_dmd_nonparticle_mse_mean_max,cycle_state_pc2,11,0.4000000000000001,0.2228683501335199,0.22295540891821636
low_rank_dmd_particle_mse_ratio_vs_persistence_max,capacity_mAh,8,0.5000000000000001,0.20703124999999994,0.22355528894221155
