particle_mse,particle_mae,nonparticle_mse,nonparticle_mae,full_crop_mse,full_crop_mae,particle_to_nonparticle_mse_ratio,particle_mse_fraction_of_full,particle_mask_area_fraction,nonparticle_context_area_fraction,roi_id,cycleNo,cohort_role,event_reference_cycle,method,eval_step,frame_index,validation_score,mask_fallback_used,accepted_area_fraction
0.0003078875597566366,0.01261939387768507,0.0002506405289750546,0.012546227313578129,0.00029735700809396803,0.013372672721743584,1.228402928351941,1.0354138337958418,0.1615668402777778,0.5932074652777778,cycle40_rank8_obj3,40.0,,,velocity,3,5292,26.09069854419696,0,0.1615668402777778
0.002443277509883046,0.030828438699245453,0.000467928679427132,0.014853394590318203,0.0007956515182740986,0.01776881329715252,5.22147416327262,3.0707884717959493,0.1615668402777778,0.5932074652777778,cycle40_rank8_obj3,40.0,,,low_rank_dmd,3,5292,26.09069854419696,0,0.1615668402777778
8.622297900728881e-05,0.0068493918515741825,8.474837522953749e-05,0.007285653613507748,9.738191147334874e-05,0.007705207448452711,1.0173997881818668,0.8854106240344863,0.16102430555555555,0.59375,cycle40_rank8_obj3,40.0,,,persistence,4,5302,26.09069854419696,0,0.16102430555555555
0.00028676926740445197,0.012349382042884827,0.00025240209652110934,0.012525870464742184,0.00029377848841249943,0.013314153999090195,1.1361604018232407,0.9761411359765535,0.16102430555555555,0.59375,cycle40_rank8_obj3,40.0,,,velocity,4,5302,26.09069854419696,0,0.16102430555555555
0.0024660832714289427,0.03104611113667488,0.0004603960842359811,0.014910327270627022,0.0007909889100119472,0.017736071720719337,5.356438414373925,3.1177216775285697,0.16102430555555555,0.59375,cycle40_rank8_obj3,40.0,,,low_rank_dmd,4,5302,26.09069854419696,0,0.16102430555555555
0.00010693518561311066,0.007433006539940834,8.397947385674343e-05,0.0072339558973908424,0.00010274160740664229,0.00783415138721466,1.2733490780797971,1.0408167471029586,0.15028211805555555,0.6044921875,cycle40_rank8_obj3,40.0,,,persistence,5,5312,26.09069854419696,0,0.15028211805555555
0.0002784541284199804,0.01242204662412405,0.0002477151865605265,0.012406600639224052,0.0002923942811321467,0.013341103680431843,1.1240898561216923,0.9523241266614716,0.15028211805555555,0.6044921875,cycle40_rank8_obj3,40.0,,,velocity,5,5312,26.09069854419696,0,0.15028211805555555
0.0027777748182415962,0.031713925302028656,0.0004940563230775297,0.015509211458265781,0.0008415713091380894,0.01813236065208912,5.62238491542531,3.300700473126282,0.15028211805555555,0.6044921875,cycle40_rank8_obj3,40.0,,,low_rank_dmd,5,5312,26.09069854419696,0,0.15028211805555555
7.013681170064956e-05,0.006146720144897699,8.349835843546316e-05,0.007225636392831802,9.320818935520947e-05,0.0075131612829864025,0.8399783302908775,0.7524747791566189,0.16145833333333334,0.5933159722222222,cycle40_rank8_obj3,40.0,,,persistence,6,5322,26.09069854419696,0,0.16145833333333334
0.00023065863933879882,0.011093162931501865,0.0002440708631183952,0.012439912185072899,0.0002828237775247544,0.013105937279760838,0.9450478291089981,0.8155560376058205,0.16145833333333334,0.5933159722222222,cycle40_rank8_obj3,40.0,,,velocity,6,5322,26.09069854419696,0,0.16145833333333334
0.002726813079789281,0.032191067934036255,0.0004751775704789907,0.015165877528488636,0.0008482502307742834,0.018187623471021652,5.738513871857601,3.2146328770229085,0.16145833333333334,0.5933159722222222,cycle40_rank8_obj3,40.0,,,low_rank_dmd,6,5322,26.09069854419696,0,0.16145833333333334
