feature_set,target,group_col,mode,n_eval,n_groups,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
video_plus_echem,future_any_drop_within_16cycles,cycleNo,acquisition_residualized,72,24,24,57,0.7883040935672514,0.9317537194115351,0.405646609752683,0.000407684035967381,0.001996007984031936,0.4998947368421052,0.6538011695906433,500.0
acquisition_context,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.6970760233918128,0.9218202837128742,0.27727892807586335,0.018371145534285944,0.01996007984031936,0.49867602339181283,0.629298245614035,500.0
echem_regime,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.4842105263157894,0.8056699365848787,-0.022232390249394527,0.8529393495744491,0.590818363273453,0.5013543859649123,0.6456140350877193,500.0
echem_regime,future_any_drop_within_16cycles,source_stem,acquisition_residualized,72,9,24,57,0.5438596491228069,0.8545767472697252,0.061710944688542047,0.6065798546326897,0.2774451097804391,0.5011625730994153,0.642222222222222,500.0
video_scalar,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.36374269005847953,0.7318860383739054,-0.19170916985660585,0.10669267423357845,,,,
video_scalar,future_any_drop_within_16cycles,source_stem,acquisition_residualized,72,9,24,57,0.5391812865497077,0.8378201421270502,0.055126671160483226,0.6455673663995496,,,,
video_embedding,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.4619883040935673,0.7528314178416632,-0.053481098887035956,0.6554675752048152,,,,
video_embedding,future_any_drop_within_16cycles,source_stem,acquisition_residualized,72,9,24,57,0.39649122807017545,0.7569043292684117,-0.14563314620008252,0.22222576386342546,,,,
video_all,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.4888888888888889,0.8145320827935935,-0.015632936597748972,0.8963004167927221,0.5349301397205589,0.4967719298245614,0.6198830409356725,500.0
video_all,future_any_drop_within_16cycles,source_stem,acquisition_residualized,72,9,24,57,0.5766081871345029,0.8557948681230567,0.10778498391079554,0.36747743044386444,0.17964071856287425,0.4964046783625731,0.6327485380116958,500.0
video_plus_echem,future_any_drop_within_16cycles,source_stem,raw,72,9,24,57,0.5812865497076023,0.8447771972564251,0.11436727300458459,0.3387702407075123,0.17365269461077845,0.4988771929824561,0.6409356725146199,500.0
video_plus_echem,future_any_drop_within_16cycles,source_stem,acquisition_residualized,72,9,24,57,0.527485380116959,0.8476912482451815,0.03867219200481968,0.7470571961177318,0.3712574850299401,0.501085380116959,0.6444444444444444,500.0
