split,residual_feature,residual_base,residual_source_eta2,best_target,best_target_auc,best_target_ap,best_target_direction,best_physics_feature,best_physics_category,best_physics_rho,best_physics_source_centered_rho,n_physics_categories_with_abs_centered_rho_ge_0p30
leave_source,resdict_pc06_slope__echem_conditioned_resid_leave_source,resdict_pc06_slope,0.08769482765561107,future_any_drop_within_16cycles,0.7029239766081871,0.9137609679525693,lower_in_positive,echem_regime_pc1,echem_state,0.32594917788377104,0.6831748134894717,4
leave_cycle,resdict_pc07_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc07_last_minus_first,0.05217284209189708,future_any_drop_within_16cycles,0.7005847953216373,0.9172418512336229,higher_in_positive,neg_dq_abs_entropy,echem_state,0.2669449945089427,0.6175990307090413,4
leave_source,resdict_pc04_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc04_last_minus_first,0.10363959593782023,future_any_drop_within_16cycles,0.6888888888888888,0.9032465131449712,higher_in_positive,q70_radius2_slope_bootstrap_p50_px2_per_s,front_phase_diffusion,-0.5586464762391082,-0.8147506379248689,5
leave_source,resdict_pc04_slope__echem_conditioned_resid_leave_source,resdict_pc04_slope,0.07135402698952208,future_any_drop_within_16cycles,0.6877192982456141,0.8975754158326261,higher_in_positive,echem_regime_pc1,echem_state,-0.47392993472785216,-0.7687685751950195,6
leave_source,resdict_pc08_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc08_last_minus_first,0.2129245098319773,future_any_drop_within_16cycles,0.687719298245614,0.8955751217949581,higher_in_positive,q70_radius2_slope_bootstrap_p50_px2_per_s,front_phase_diffusion,-0.5587080630734808,-0.7924183028614423,6
leave_source,resdict_pc02_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc02_last_minus_first,0.10669087624140271,future_any_drop_within_16cycles,0.6807017543859648,0.9100313838703782,lower_in_positive,particle_vs_context_mean_last_minus_first,particle_optical,-0.28403021362534236,-0.3003386085604452,1
leave_cycle,resdict_pc07_slope__echem_conditioned_resid_leave_cycle,resdict_pc07_slope,0.08012930580228686,future_any_drop_within_16cycles,0.67953216374269,0.9146492399595771,higher_in_positive,neg_dq_abs_peak_voltage,echem_state,-0.2688124971902363,-0.5549647437022484,3
leave_source,resdict_pc08_slope__echem_conditioned_resid_leave_source,resdict_pc08_slope,0.10606167799909529,future_any_drop_within_16cycles,0.6666666666666666,0.8846030497550776,higher_in_positive,q70_radius2_slope_bootstrap_p50_px2_per_s,front_phase_diffusion,-0.5862989648723834,-0.7776585369782801,5
leave_cycle,resdict_pc06_mean__echem_conditioned_resid_leave_cycle,resdict_pc06_mean,0.058191885378138866,future_any_drop_within_16cycles,0.6596491228070176,0.8950573799717594,lower_in_positive,all_dq_abs_highV_frac,echem_state,-0.1576852911709014,-0.37566231586232746,2
leave_cycle,resdict_pc01_slope__echem_conditioned_resid_leave_cycle,resdict_pc01_slope,0.08803771237663839,future_any_drop_within_16cycles,0.6561403508771929,0.875365399125406,lower_in_positive,dqdv_entropy_asymmetry,echem_state,0.24603062125478892,0.40679493351130586,2
leave_cycle,resdict_pc05_mean__echem_conditioned_resid_leave_cycle,resdict_pc05_mean,0.0751184901663079,future_any_drop_within_16cycles,0.6526315789473685,0.8734369324988346,higher_in_positive,all_dq_abs_peak_frac,echem_state,-0.1459464545081909,-0.5060125206675896,2
leave_source,resdict_pc08_mean__echem_conditioned_resid_leave_source,resdict_pc08_mean,0.09067733498900993,future_any_drop_within_16cycles,0.6432748538011696,0.879013171200631,lower_in_positive,echem_regime_pc1,echem_state,0.3634119287512606,0.7425622853370345,4
leave_source,dictionary_recon_error_mse_mean__echem_conditioned_resid_leave_source,dictionary_recon_error_mse_mean,0.14276096152834594,future_any_drop_within_16cycles,0.6362573099415204,0.8904477229545106,higher_in_positive,low_rank_dmd_particle_mse_mean,rollout_prediction,0.5886777563500232,0.6340518565739997,4
leave_source,resdict_pc02_std__echem_conditioned_resid_leave_source,resdict_pc02_std,0.24810060022756908,future_any_drop_within_16cycles,0.631578947368421,0.8859491766401224,higher_in_positive,particle_vs_context_mean_first_mean,particle_optical,-0.4415294515944009,-0.44324873140751575,3
leave_cycle,resdict_pc03_mean__echem_conditioned_resid_leave_cycle,resdict_pc03_mean,0.06523638451682912,future_any_drop_within_16cycles,0.6280701754385964,0.8369673158570653,higher_in_positive,front_motion_rank,front_phase_diffusion,-0.2296727020838336,-0.3772439933610333,2
leave_cycle,resdict_pc03_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc03_last_minus_first,0.06604325503860664,future_any_drop_within_16cycles,0.6222222222222222,0.8918965377274809,higher_in_positive,shape_I_pos_fraction,echem_state,-0.2166989247936359,-0.4308934296482274,3
leave_source,resdict_pc05_slope__echem_conditioned_resid_leave_source,resdict_pc05_slope,0.060440556745776655,future_any_drop_within_16cycles,0.6198830409356725,0.8653383662572824,higher_in_positive,echem_regime_pc2,echem_state,-0.17708462626190943,-0.7338289097873304,2
leave_cycle,resdict_pc03_std__echem_conditioned_resid_leave_cycle,resdict_pc03_std,0.05303943187554416,future_any_drop_within_16cycles,0.616374269005848,0.877257637851557,higher_in_positive,dictionary_recon_energy_mean,rollout_prediction,0.22839889418547635,0.44430411922146495,3
leave_cycle,resdict_pc05_slope__echem_conditioned_resid_leave_cycle,resdict_pc05_slope,0.029293763954987232,future_any_drop_within_16cycles,0.6140350877192983,0.8740397510604113,higher_in_positive,neg_dq_abs_peak_voltage,echem_state,-0.280145448142115,-0.4389044121843204,1
leave_source,dictionary_recon_error_last_minus_first__echem_conditioned_resid_leave_source,dictionary_recon_error_last_minus_first,0.1058368946340685,future_any_drop_within_16cycles,0.6116959064327485,0.8772977860803086,lower_in_positive,all_dqdv_abs_integral_proxy,echem_state,0.4454561365591643,0.7277456630056733,6
leave_source,resdict_pc05_mean__echem_conditioned_resid_leave_source,resdict_pc05_mean,0.08184041409945221,future_any_drop_within_16cycles,0.6116959064327485,0.8722640093806471,higher_in_positive,temporal_diffusion_proxy_median_um2_per_s,front_phase_diffusion,-0.3556331750842924,-0.583808473413053,5
leave_cycle,resdict_pc07_std__echem_conditioned_resid_leave_cycle,resdict_pc07_std,0.20757175335734226,future_any_drop_within_16cycles,0.6116959064327485,0.8854647722706374,higher_in_positive,dqdv_entropy_asymmetry,echem_state,0.26291145325565723,0.41009019113002865,2
leave_source,resdict_pc08_std__echem_conditioned_resid_leave_source,resdict_pc08_std,0.42903539779692,future_any_drop_within_16cycles,0.6081871345029239,0.8706238677101085,higher_in_positive,shape_V_q90,echem_state,0.3987062507940278,0.4919750331952776,4
leave_cycle,resdict_pc03_slope__echem_conditioned_resid_leave_cycle,resdict_pc03_slope,0.06215158459789997,future_any_drop_within_16cycles,0.6070175438596491,0.888536797443086,higher_in_positive,all_dqdv_abs_integral_proxy,echem_state,0.1703093515819475,0.4832726337606775,4
leave_cycle,resdict_pc05_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc05_last_minus_first,0.0965746985543468,future_any_drop_within_16cycles,0.6058479532163743,0.8637911983811628,higher_in_positive,shape_dIdt_slope,echem_state,-0.04107823072167515,0.32217662384160106,1
leave_cycle,dictionary_recon_energy_mean__echem_conditioned_resid_leave_cycle,dictionary_recon_energy_mean,0.10231157555147097,future_any_drop_within_16cycles,0.6011695906432748,0.8841163171114275,higher_in_positive,dictionary_recon_energy_mean,rollout_prediction,0.22347807480267196,0.5889335218816505,4
leave_source,resdict_pc05_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc05_last_minus_first,0.07215204554386626,future_any_drop_within_16cycles,0.5988304093567252,0.862089797370085,higher_in_positive,neg_dq_abs_entropy,echem_state,0.2734417670619444,0.6123635746792948,2
leave_cycle,resdict_pc08_std__echem_conditioned_resid_leave_cycle,resdict_pc08_std,0.06222461617361685,future_any_drop_within_16cycles,0.5918128654970759,0.875808890393459,lower_in_positive,shape_V_q75,echem_state,0.14083909836018538,0.5966302593899021,4
leave_source,resdict_pc07_mean__echem_conditioned_resid_leave_source,resdict_pc07_mean,0.05074904382512949,future_any_drop_within_16cycles,0.5871345029239766,0.8683278100941331,higher_in_positive,echem_regime_pc1,echem_state,-0.44239533467954645,-0.7446437791147591,5
leave_source,resdict_pc03_mean__echem_conditioned_resid_leave_source,resdict_pc03_mean,0.13951305660507818,future_any_drop_within_16cycles,0.5847953216374269,0.822910888255914,higher_in_positive,roi_diffusion_proxy_abs_median_um2_per_s,front_phase_diffusion,-0.3385505269002062,-0.49916140875935705,3
leave_cycle,resdict_pc01_mean__echem_conditioned_resid_leave_cycle,resdict_pc01_mean,0.0816634896936275,future_any_drop_within_16cycles,0.5812865497076023,0.8246640127082843,higher_in_positive,all_dq_abs_peak_frac,echem_state,0.2349114412159133,0.7122341964798005,2
leave_cycle,resdict_pc02_mean__echem_conditioned_resid_leave_cycle,resdict_pc02_mean,0.08059512291025439,future_any_drop_within_16cycles,0.5719298245614035,0.835328872538623,lower_in_positive,all_dq_abs_peak_frac,echem_state,-0.2124652459972485,-0.6957643291685822,2
