split,feature,n,r2,mae,spearman_rho,spearman_p,residual_std
leave_cycle,resdict_pc07_last_minus_first,172,-4.254619197056037,0.010976895647424963,0.20989364171139321,0.005718346399219428,0.020790985633995132
leave_cycle,resdict_pc08_slope,172,-5.780703749644821,0.020254135299391195,0.3462638977247631,3.2737773572841065e-06,0.04226340732192986
leave_cycle,residual_energy_mean,172,-6.195467191695921,0.00043171710126710183,0.5043079280625863,1.7494730628788818e-12,0.0010210890313186688
leave_cycle,resdict_pc02_mean,172,-6.574615354546722,0.001724843006950948,-0.10617673090033236,0.16566669608317305,0.0029723338777708753
leave_cycle,resdict_pc08_last_minus_first,172,-8.110537722508138,0.017977858420379116,0.34568137081963357,3.4089745787514806e-06,0.03879257859123265
leave_cycle,residual_energy_last_minus_first,172,-8.398082891231153,0.00034231622228986794,0.207482168996839,0.006313372130347649,0.0007592376752258439
leave_cycle,resdict_pc06_std,172,-10.023949340417339,0.05404422968462993,0.44935936789006836,6.277451736089231e-10,0.1459626164729039
leave_cycle,resdict_pc04_last_minus_first,172,-10.707381015658303,0.020448635454592988,0.3938931370467978,8.996533034232035e-08,0.049025502219617066
leave_cycle,resdict_pc04_slope,172,-10.923885000620615,0.023650144909035355,0.34668369444182,3.1795244697408895e-06,0.05588762952126149
leave_cycle,residual_energy_slope,172,-17.66778090063727,0.0007193455077104763,0.3053160297477966,4.647905392927424e-05,0.0017839912146465657
leave_cycle,dictionary_recon_error_mse_slope,172,-19.039058461399463,0.00040066339175016887,0.2868709166910447,0.0001359900071580404,0.0009802438285280255
leave_cycle,dictionary_recon_error_mse_mean,172,-19.108095925919432,0.00030218165114397863,0.45152320770972953,5.076060574214469e-10,0.0008095510015165475
leave_cycle,resdict_pc04_mean,172,-36.22658501279365,0.0026333298708222305,-0.16641755979799433,0.02911920811280744,0.006647490127147119
leave_source,resdict_pc02_slope,172,-0.08868416955602298,0.011668383936055947,0.1424537707979104,0.06229935453929031,0.01880406528503846
leave_source,resdict_pc06_std,172,-0.4021420089087837,0.03528963772362347,0.028442406784864857,0.711104127400778,0.05297516362546831
leave_source,residual_energy_mean,172,-0.4144378542549376,0.00035454561348500303,0.11328261577950298,0.13897433207750925,0.0004564730470015391
leave_source,resdict_pc03_mean,172,-0.48485345212839137,0.0011504322787210927,0.11653250272390958,0.12791972937103024,0.001427608374376188
leave_source,resdict_pc02_last_minus_first,172,-0.5568184997224976,0.01098156340393653,0.07055179095930615,0.3577412042876248,0.016590772655801823
leave_source,resdict_pc03_last_minus_first,172,-0.5754841322232462,0.017616550222372164,0.05354176948867282,0.48544363942057117,0.02623937962173875
leave_source,dictionary_recon_energy_mean,172,-0.596515381942561,0.00021802067608523888,-0.0442036509426801,0.5647640839585432,0.00030871642794151437
leave_source,resdict_pc08_std,172,-0.7063896656580324,0.048988395787711476,0.18961486602817096,0.01272817119076727,0.07015125493707863
leave_source,resdict_pc02_std,172,-0.9862520773605394,0.07614485733353943,0.23428076504131817,0.0019792639579498637,0.14445291798787105
leave_source,resdict_pc01_std,172,-1.095828856127285,0.12011699960008536,0.07874961898452922,0.3044881529250806,0.22066732085790836
leave_source,resdict_pc04_std,172,-1.1631293069567632,0.0813736790585709,-0.04179217822812584,0.5862071646591058,0.11304965520228986
leave_source,resdict_pc03_slope,172,-1.824825636265571,0.026819244710516943,0.012677625014265425,0.8688969607870275,0.04435629158715538
leave_source,resdict_pc03_std,172,-1.8356365389673468,0.09306484215867093,0.08773043863931905,0.25246106148962255,0.13785353419829702
leave_source,dictionary_recon_error_mse_mean,172,-2.1814105895197056,0.00021537859216983707,0.151284831511503,0.047587741336140146,0.00032394714904236037
leave_source,resdict_pc01_last_minus_first,172,-2.547092575681792,0.013981504732988273,0.13427009322382408,0.07907886355676251,0.025336353814404567
leave_source,resdict_pc07_std,172,-2.601976575046123,0.06574409449020666,0.061711296611622404,0.4212806884602229,0.12397174816525135
leave_source,resdict_pc05_std,172,-2.9902256656410424,0.06240977294581056,0.0280721366467866,0.7147008227253027,0.1178615216628686
leave_source,resdict_pc08_last_minus_first,172,-3.270478748914427,0.019438380890469308,-0.09659097945944652,0.20749224098766483,0.02675214737163446
