cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
42.0,5_c2_x10_260623,2,0.0,0.0,0.2694227430555556,0.2529025607638889,0.004855685763888895,-0.005700354996688868,7.82098278074317,0.1939886462379739,0.3428929087609674,0.14320854377001524,0.005885237406641632,6.0,1.0,1.8131443298969083,5.5,0.5,0.06701030927835053,5.0,0.0,,0.010526315789473684,4.5,0.43234536082474245,0.737113402061856,0.02717294845360828,9.677931666375003e-05,95.5,10293.66015625,27.147003173828125
46.0,6_c2_x10_270623_2,2,0.0,1.0,0.29134114583333337,0.267578125,0.010213216145833343,0.006718901014819591,7.801700544785836,0.21324972729844427,0.6511013006734174,0.15165545232594013,0.003926174386318046,5.5,0.0,,5.5,0.0,,5.0,0.0,0.4432989690721651,0.0,6.0,0.7516108247422685,,,-0.00010906904935840001,52.5,10581.140625,25.80000591278076
48.0,6_c2_x10_270623_2,2,0.0,1.0,0.2916124131944444,0.2708604600694444,0.007486979166666657,0.0077603789129617705,7.479141309986327,0.20663071267040742,0.40314522808185577,0.14890414010733366,0.0032746445221980107,5.5,0.0,0.0006443298969072214,5.5,0.0,,5.0,0.0,,0.0,6.5,1.2760953608247432,,,-0.0004343129694461786,52.5,10466.70751953125,25.136672973632812
52.0,6_c2_x10_270623_2,2,1.0,1.0,0.2685004340277778,0.2515190972222222,0.004014756944444434,0.01032791050302478,8.230235709736702,0.2424470337131437,0.3345064401470178,0.14321054331958294,0.0014665691102806922,6.5,0.0,,5.5,-0.5,-0.9046391752577323,5.5,0.0,,0.0,3.5,-0.2880154639175258,-11.760309278350519,-0.43353204123711353,-2.2899359464649994e-05,85.0,10127.38525390625,25.965062141418457
54.0,6_c2_x10_270623_2,2,1.0,1.0,0.2748480902777778,0.25830078125,0.003662109374999986,0.0016080980858032634,7.745956791319513,0.20548094697271052,0.07717735290084957,0.14491966553032398,0.0033927682520744898,8.5,0.0,,8.0,0.0,0.006443298969072194,6.5,0.0,0.0032216494845361023,0.010526315789473684,9.0,1.9490979381443312,0.12371134020618513,0.004560494845360827,-4.7691166400904416e-05,83.5,8958.46923828125,22.15390110015869
56.0,7_c2_x10_290623,2,1.0,1.0,0.2699110243055556,0.253662109375,0.0035536024305555247,0.002905567077426974,7.27762471867292,0.19178089825058015,0.16510364819989112,0.14104418270289898,0.005089612555277262,8.0,0.0,-0.0019329896907216391,6.5,0.0,-0.7545103092783507,6.0,0.0,-0.683634020618557,0.010526315789473684,6.0,0.21198453608247445,-12.826675257731964,-0.4728425567010308,-0.00020983815193172375,70.0,10723.6650390625,26.32070255279541
64.0,7_c2_x10_290623,2,0.0,0.0,0.2693684895833333,0.2537163628472222,0.0037027994791666574,-0.0044043891618341935,7.8625524124899275,0.2006549050801097,0.20839570367966992,0.14342903532087803,0.00264765377055623,6.5,0.0,,5.5,0.0,0.789948453608248,5.0,0.5,1.4323453608247432,0.015789473684210527,4.0,-0.13820876288659806,10.269329896907227,0.37856857731958776,0.00011911243200298318,88.0,9917.82080078125,25.522751808166504
68.0,8_c2_x10_300623,2,0.0,0.0,0.2674696180555556,0.2419704861111111,0.00543891059027779,0.02447726499856817,8.227657003655587,0.22232865705132487,0.5092464875146534,0.15594980120658875,-0.00594527315895659,7.0,1.0,2.1945876288659805,6.5,0.5,1.6597938144329905,6.0,0.5,1.0773195876288666,0.015789473684210527,3.5,0.4033505154639176,24.426546391752588,0.9004602061855671,-0.00040797516703600003,44.0,11115.1787109375,27.40323543548584
70.0,8_c2_x10_300623,2,0.0,1.0,0.2634006076388889,0.2454155815972222,0.004828559027777762,0.010724289447308143,7.4696146310037195,0.22831220775652988,0.25148908042343576,0.15126675926148891,0.0005008048418736516,6.0,0.0,0.9922680412371137,6.0,0.0,0.7190721649484536,5.5,0.5,0.3070231958762889,0.015789473684210527,6.0,-1.5538015463917527,9.347938144329897,0.34460239175257745,-0.00012560561299322732,39.5,11836.97412109375,28.533278465270996
72.0,8_c2_x10_300623,2,0.0,1.0,0.2715928819444444,0.2560763888888889,0.0030110677083333426,0.005118493498532365,7.719440063851953,0.20922604415424018,0.2576623861614479,0.14256343618035316,0.001306217336623936,6.5,0.0,,6.0,0.0,-0.24935567010309295,5.5,0.0,-0.03479381443298974,0.010526315789473684,4.0,-0.08215206185567014,-3.241623711340208,-0.11949921649484538,0.000406440347433,92.5,10105.837158203125,25.96180248260498
