cycleNo,method,particle_mse_mean_mean,particle_mse_mean_median,nonparticle_mse_mean_mean,nonparticle_mse_mean_median,particle_to_nonparticle_mse_ratio_mean_mean,particle_to_nonparticle_mse_ratio_mean_median,mask_fallback_used_mean_mean
108.0,persistence,0.00012226540538525418,0.00010099867733970314,5.269237522043113e-05,4.36535740391264e-05,1.8631414351528413,1.8809594504455154,0.0
108.0,velocity,0.00029504655572054617,0.00024473601638419495,0.0001482251112368734,0.00012075091763108503,1.7319839179216867,1.7774501768175317,0.0
110.0,low_rank_dmd,0.007051216417797453,0.004189244646113366,0.0008246937574464633,0.0006150590734250727,8.695279827086521,9.15683415099472,0.0
110.0,persistence,0.0001247638457850068,0.000137938505645252,6.588083514695124e-05,7.565703776890587e-05,1.8202639114483408,1.7057554042554028,0.0
110.0,velocity,0.0002988050155181554,0.00032129458713825443,0.00018543867796931104,0.00020907946054649074,1.5000364151037544,1.4152966418749848,0.0
129.0,low_rank_dmd,0.0056081563901292,0.003784225857089041,0.0010556141745231191,0.00026907977826340357,11.774365473204137,13.206157209594865,0.0
129.0,persistence,7.120108756453192e-05,7.360560084634926e-05,5.0073243604250216e-05,5.72547977526483e-05,1.446705019906803,1.4196052729453308,0.0
129.0,velocity,0.00016889970394610523,0.00019036657545257185,0.00014398404672040974,0.00015767543936817674,1.173087570080714,1.1805250348531373,0.0
131.0,low_rank_dmd,0.005549062791639396,0.005389018944697455,0.0004958812254092967,0.00042685634525696514,11.868311652680779,12.009717387158712,0.0
131.0,persistence,0.0018521674655858078,0.0015518281171580384,0.00017844558779718986,0.0001627709308422709,3.8473401527366526,4.059442893094627,0.0
131.0,velocity,0.0041710243234926265,0.0033914749501491315,0.0004849110622065685,0.0004339169458944525,3.850703860793672,3.961291034819395,0.0
139.0,low_rank_dmd,0.005061335055264256,0.0056051810388453305,0.0010375600501599063,0.0012425667628122028,5.773438533129556,4.88389314825149,0.0
139.0,persistence,0.00046357809363447206,0.0004373688316263724,0.00013027377633534343,0.0001303738378055641,2.1335805396778955,2.2325019791687706,0.0
139.0,velocity,0.0011003050731991,0.0010628119744069409,0.00033096409924837644,0.00032077338528324617,2.0745613816793154,2.242984903505327,0.0
140.0,low_rank_dmd,0.00783358265592445,0.008443316924967803,0.0005705801277902841,0.000561498741262767,17.932043761996226,14.335308599507679,0.0
140.0,persistence,0.005869002209578866,0.004879582332932841,0.0005054962488960276,0.0003638971348891573,6.897128264936271,6.905771765356623,0.0
140.0,velocity,0.01089438702319967,0.00999244579952574,0.001079728159387135,0.0008709625094525109,7.593864752351608,7.3083265275049065,0.0
143.0,low_rank_dmd,0.004561169320368208,0.004684938881837297,0.0003503482197023307,0.0002700791333154484,15.01800699363892,17.0502501434361,0.0
143.0,persistence,5.859749446320469e-05,6.448665419611643e-05,4.4285773033910424e-05,4.527652833985485e-05,1.3258020139579527,1.3969140801096744,0.0
143.0,velocity,0.00015049591449193636,0.00016203588666030555,0.00012896320898410826,0.0001290740990498307,1.1603793392690493,1.151324909799114,0.0
