roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_mean,particle_mse_median,particle_mse_max,particle_mae_mean,particle_mae_median,nonparticle_mse_mean,nonparticle_mse_median,nonparticle_mae_mean,nonparticle_mae_median,full_crop_mse_mean,full_crop_mse_median,particle_to_nonparticle_mse_ratio_mean,particle_to_nonparticle_mse_ratio_median,particle_mse_fraction_of_full_mean,particle_mse_fraction_of_full_median,particle_mask_area_fraction_mean,nonparticle_context_area_fraction_mean,mask_fallback_used_mean,accepted_area_fraction_median,validation_score_first
cycle152_rank15_obj3,152.0,,,persistence,0.0005377065664333713,9.902784586302005e-05,0.011227325536310673,0.009884291372145526,0.0068799518048763275,8.620038886419934e-05,4.439181611815002e-05,0.0059717330150306225,0.005156371975317597,0.00017899489648698363,6.111350739956833e-05,2.777739493916242,2.140719605740068,1.7643531010035276,1.6104427471414726,0.1234130859375,0.6313612196180556,0.0,0.10932074652777778,26.332724612142968
cycle152_rank15_obj3,152.0,,,velocity,0.0012447942472135765,0.00020259711163816974,0.010355817154049873,0.017352886497974396,0.010833291336894035,0.00024476903809045325,0.00011916156290681101,0.01042823406169191,0.008558494038879871,0.0004683598936026101,0.00014989481132943183,2.897541015548865,1.7169604545636856,1.719339392516826,1.3516967750143671,0.1234130859375,0.6313612196180556,0.0,0.10932074652777778,26.332724612142968
cycle153_rank17_obj1,153.0,,,low_rank_dmd,0.007571456415462308,0.007487453054636717,0.008740333840250969,0.057695624767802656,0.05799383483827114,0.0008040683114813874,0.0007757631246931851,0.02106583456043154,0.020720912143588066,0.0021370760769059416,0.00216972513590008,9.937574932071973,10.10881197005423,3.594781075199587,3.660101657572337,0.19371541341145834,0.5610588921440972,0.0,0.19124348958333331,24.667467087883093
cycle153_rank17_obj1,153.0,,,persistence,0.0024888799000564177,0.00012757934018736705,0.014348551630973816,0.02101415820652619,0.008190431166440248,0.0003388509896922187,8.386354602407664e-05,0.011699233698891476,0.007242480758577585,0.0008081394562395872,0.00010586056669126265,3.43576916777884,1.541114951599083,1.7217116756222994,1.2236338817409638,0.19371541341145834,0.5610588921440972,0.0,0.19124348958333331,24.667467087883093
cycle153_rank17_obj1,153.0,,,velocity,0.005910345897063962,0.0002015221762121655,0.03543746471405029,0.03481371692032553,0.01060130586847663,0.000907974926121824,0.0002300374471815303,0.020047452562721446,0.011954498942941427,0.0020074476442459854,0.00025983080558944494,3.5176650693658003,0.9171317503236047,1.6931839667276294,0.790245286603473,0.19371541341145834,0.5610588921440972,0.0,0.19124348958333331,24.667467087883093
cycle153_rank17_obj2,153.0,,,low_rank_dmd,0.01137660350650549,0.010285019874572754,0.020108437165617943,0.07635245681740344,0.07623569667339325,0.0009453066641071928,0.0008242447220254689,0.019330339244334027,0.01892198622226715,0.002934097639808897,0.0025354003300890326,12.787570722358316,12.134453169065932,3.9779836808339515,3.974214168100678,0.1297946506076389,0.6249796549479166,0.0,0.13509114583333331,23.96037215290537
cycle153_rank17_obj2,153.0,,,persistence,0.004602914775205136,0.00018083316535921767,0.03413783386349678,0.026011513837147504,0.008966933004558086,0.0005946821075895059,5.958063775324263e-05,0.010186431260081008,0.005879212636500597,0.0014599472561940274,9.27277869777754e-05,4.254203255273181,2.819789119637419,2.0590820646892443,1.8786813501902402,0.1297946506076389,0.6249796549479166,0.0,0.13509114583333331,23.96037215290537
cycle153_rank17_obj2,153.0,,,velocity,0.009493822452213863,0.00013582620158558711,0.060679346323013306,0.04165100168029312,0.008986053988337517,0.0013242977306617831,0.000135646085254848,0.01704417454311624,0.009241200517863035,0.0029873834291720414,0.00015266762784449384,4.315998954600457,1.0355694930119532,1.8305050069597093,0.9026252809425008,0.1297946506076389,0.6249796549479166,0.0,0.13509114583333331,23.96037215290537
cycle153_rank17_obj3,153.0,,,low_rank_dmd,0.010885566574870609,0.011189793236553669,0.013960917480289936,0.06315860943868756,0.06441270560026169,0.00045384522218228085,0.0004389831447042525,0.016318165959091857,0.016016342677176,0.0024329070147359744,0.002479049377143383,24.669543626318845,26.995424940201357,4.451051483391482,4.578352409871787,0.18299696180555555,0.57177734375,0.0,0.18245442708333331,24.82314848487546
cycle153_rank17_obj3,153.0,,,persistence,0.0019238008262618678,8.421481106779538e-05,0.013072782196104527,0.017778185079805553,0.0061990751419216394,0.00015058948167734343,3.856837975035887e-05,0.007868018510635011,0.004918720340356231,0.0004898464578673156,5.074146065453533e-05,5.7118952837910815,2.188748966169459,2.225438811410111,1.6179829562376211,0.18299696180555555,0.57177734375,0.0,0.18245442708333331,24.82314848487546
