anchor_type,relative_cycle,feature,n,mean,median,std
event,-5.0,mean_abs_delta_prev,1,0.0216433848995613,0.0216433848995613,
event,-5.0,max_abs_delta_prev,1,0.0368852459016393,0.0368852459016393,
event,-5.0,delta_std_across_particles,1,0.016806887252231,0.016806887252231,
event,-5.0,n_frames,1,1236.0,1236.0,
event,-5.0,frames_percentile,1,0.8314606741573034,0.8314606741573034,
event,-4.0,particle_norm_mean,4,1.1064536352907977,1.1055032838194925,0.05445780362573476
event,-4.0,particle_norm_std,4,0.07153951970983205,0.07162657369598996,0.028057345955376827
event,-4.0,particle_norm_range,4,0.16268214936247713,0.1605191256830601,0.06573945097658042
event,-4.0,particle_norm_cv,4,0.06445532297793125,0.06369753555304869,0.024514190026097553
event,-4.0,mean_delta_prev,4,0.004063886964775901,0.013728706482978,0.033629949679106846
event,-4.0,mean_abs_delta_prev,4,0.030535031683727173,0.0278146566099695,0.009426502066200191
event,-4.0,max_abs_delta_prev,4,0.06964006259780908,0.05594679186228485,0.027649826171750616
event,-4.0,delta_std_across_particles,4,0.032856696826713674,0.0313840746140454,0.009469865854518311
event,-4.0,capacity_mAh,3,0.6991180877194455,0.6375714923988263,0.11447723242541347
event,-4.0,coulombic_efficiency_pct,3,98.8586809373823,98.80849336059764,0.37426277997624735
event,-4.0,V_max,3,4.267442333333333,4.202196,0.11485344168257783
event,-4.0,n_frames,4,988.5,909.0,164.40904273589496
event,-4.0,frames_percentile,4,0.36657303370786515,0.2528089887640449,0.3098006018567875
event,-3.0,particle_norm_mean,1,1.1680847379358117,1.1680847379358117,
event,-3.0,particle_norm_std,1,0.1312437525002043,0.1312437525002043,
event,-3.0,particle_norm_range,1,0.319672131147541,0.319672131147541,
event,-3.0,particle_norm_cv,1,0.1123580749219723,0.1123580749219723,
event,-3.0,mean_delta_prev,1,-0.000505721029272,-0.000505721029272,
event,-3.0,mean_abs_delta_prev,1,0.0272720567485056,0.0272720567485056,
event,-3.0,max_abs_delta_prev,1,0.0555555555555555,0.0555555555555555,
event,-3.0,delta_std_across_particles,1,0.0382228553994484,0.0382228553994484,
event,-3.0,n_frames,1,1231.0,1231.0,
event,-3.0,frames_percentile,1,0.8089887640449438,0.8089887640449438,
event,-2.0,particle_norm_mean,4,1.1218681052618078,1.1200062854357475,0.07333258364818711
event,-2.0,particle_norm_std,4,0.05153053668466372,0.05659683958311905,0.017904557148764016
event,-2.0,particle_norm_range,4,0.11395719489981783,0.1179417122040071,0.03990757538708826
event,-2.0,particle_norm_cv,4,0.04570589895836415,0.04780849478864305,0.015695488709702658
event,-2.0,mean_delta_prev,4,0.01554090022832805,0.029282915159444797,0.031638455292841976
event,-2.0,mean_abs_delta_prev,4,0.042745452679648,0.044490142127812354,0.014153515801269514
event,-2.0,max_abs_delta_prev,4,0.1111111111111111,0.1111111111111111,0.06415002990995848
event,-2.0,delta_std_across_particles,4,0.05491103492386562,0.05670966204888295,0.041921888218760125
event,-2.0,capacity_mAh,3,0.6980321020122281,0.6391710499937513,0.11271652389530158
event,-2.0,coulombic_efficiency_pct,3,98.7232278531563,98.7462520346092,0.14695792309646352
event,-2.0,V_max,3,4.268214333333334,4.201038,0.11718953020783644
event,-2.0,n_frames,4,988.5,913.0,159.85931314752983
event,-2.0,frames_percentile,4,0.375,0.29494382022471904,0.2943010652897437
event,-1.0,particle_norm_mean,1,1.1827997126657943,1.1827997126657943,
event,-1.0,particle_norm_std,1,0.0746857137132471,0.0746857137132471,
event,-1.0,particle_norm_range,1,0.1757741347905279,0.1757741347905279,
event,-1.0,particle_norm_cv,1,0.0631431618671266,0.0631431618671266,
event,-1.0,mean_delta_prev,1,-0.0172830241925139,-0.0172830241925139,
event,-1.0,mean_abs_delta_prev,1,0.0186914748967392,0.0186914748967392,
event,-1.0,max_abs_delta_prev,1,0.0555555555555555,0.0555555555555555,
event,-1.0,delta_std_across_particles,1,0.026884245366058,0.026884245366058,
event,-1.0,n_frames,1,1228.0,1228.0,
event,-1.0,frames_percentile,1,0.7921348314606742,0.7921348314606742,
event,0.0,particle_norm_mean,4,0.9925671515431387,0.9827078362708125,0.08225871685753827
event,0.0,particle_norm_std,4,0.05862924066064715,0.04497834002620775,0.028939642062049666
event,0.0,particle_norm_range,4,0.1339936247723132,0.10245901639344246,0.06961543442760373
event,0.0,particle_norm_cv,4,0.059658961678692425,0.04641995107183655,0.030802039427473542
event,0.0,mean_delta_prev,4,-0.12498019767054049,-0.112661946176146,0.059956326011919726
event,0.0,mean_abs_delta_prev,4,0.13192464211498492,0.1265508350650349,0.054713058554349436
event,0.0,max_abs_delta_prev,4,0.21641621129326033,0.21766848816029125,0.03868865429847316
event,0.0,delta_std_across_particles,4,0.07497586787099525,0.08263973547606485,0.03851012621701386
event,0.0,capacity_mAh,3,0.6958203705773873,0.6398820700465511,0.11167911308766429
event,0.0,coulombic_efficiency_pct,3,98.6056450462517,98.59700920601584,0.21082377888968482
event,0.0,V_max,3,4.267892666666667,4.20181,0.11596607454912551
event,0.0,n_frames,4,989.25,909.5,171.57967051295248
event,0.0,frames_percentile,4,0.3426966292134831,0.2247191011235955,0.40920066947299955
event,1.0,particle_norm_mean,1,1.1571163318710074,1.1571163318710074,
event,1.0,particle_norm_std,1,0.0198436607899258,0.0198436607899258,
event,1.0,particle_norm_range,1,0.0422996998383746,0.0422996998383746,
event,1.0,particle_norm_cv,1,0.0171492357711687,0.0171492357711687,
event,1.0,mean_delta_prev,1,0.0564130685753866,0.0564130685753866,
event,1.0,mean_abs_delta_prev,1,0.0564130685753866,0.0564130685753866,
event,1.0,max_abs_delta_prev,1,0.1065573770491801,0.1065573770491801,
event,1.0,delta_std_across_particles,1,0.0439286078596776,0.0439286078596776,
event,1.0,n_frames,1,1219.0,1219.0,
event,1.0,frames_percentile,1,0.7696629213483146,0.7696629213483146,
event,2.0,particle_norm_mean,4,1.0137400106467587,0.9939743195053747,0.11184739033971783
event,2.0,particle_norm_std,4,0.0675627934345854,0.0691319666490892,0.0398049555187372
