cycleNo,phase_slope_median_per_s,phase_slope_abs_median_per_s,phase_slope_positive_fraction,radius2_slope_median_px2_per_s,radius2_slope_positive_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,q70_phase_slope_bootstrap_p50,q70_radius2_slope_bootstrap_p50_px2_per_s,roi_mean_delta_last_minus_first,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,object_mean_abs_z,object_mean_residual,transferred_masked_residual_signature,persistence_particle_mse_mean,persistence_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,low_rank_dmd_particle_mse_fraction_of_full_mean,velocity_particle_mse_mean,velocity_particle_to_nonparticle_mse_ratio_mean,velocity_particle_mse_fraction_of_full_mean,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,selection_subrole
140.0,-6.083609590044285e-06,6.083609590044285e-06,0.0,0.0003515202615055,1.0,8.099026825087033e-07,6.117956547980661e-06,0.625,0.7430555555555556,-6.134312106255921e-06,4.80707264301869e-07,-27.015625,-0.0026601925492286,0.2499999999999317,17.313608169555664,6757.494140625,0.2389476922815127,0.0048795823329328,6.905771765356623,1.910156037787177,0.0084433169249678,14.33530859950768,3.8429813441484426,0.0099924457995257,7.308326527504906,1.8568256936978185,0,1,0,low_risk_negative
143.0,-3.165147176477388e-06,3.165147176477388e-06,0.0,-0.0007617531006464,0.0,-1.755079143889532e-06,1.755079143889532e-06,0.8472222222222222,0.4930555555555556,-2.9164321026849497e-06,-0.0007928063354548,1.3525390625,0.0007655695080757,0.2499999999999317,19.09581756591797,8306.1904296875,0.2351301084038065,6.448665419611643e-05,1.3969140801096744,1.092010671031877,0.0046849388818372,17.0502501434361,4.000922201497619,0.0001620358866603,1.151324909799114,0.9739704184245566,0,1,0,low_risk_negative
146.0,2.8355288227546085e-06,2.8355288227546085e-06,1.0,-0.0025193224589635,0.0,-5.804518945452093e-06,5.804518945452093e-06,0.5833333333333334,0.7708333333333334,2.779257326269233e-06,-0.0025699409652525,-17.5634765625,-0.0010743290185928,0.25,18.921016693115234,7332.19677734375,3.21719464829548,0.000150290466081,1.7415842344601142,1.2075225266846523,0.0061954193515703,10.423265530139146,4.139207236457008,0.0003771913798118,1.5197635720772835,1.1017837909643824,0,1,0,hard_negative_high_warning
147.0,3.545013670852684e-06,3.545013670852684e-06,1.0,-0.0030985626073469,0.0,-7.139088247327485e-06,7.139088247327485e-06,0.6388888888888888,0.951388888888889,3.611264908737754e-06,-0.0032331533727941,20.14453125,0.0017741546034812,0.2121320343559321,22.65635299682617,8326.810546875,0.6943342227566772,0.0001305638934354,1.6572757332244412,1.2211599450508537,0.0024007628308027,6.82778240548744,3.493780270873619,0.0003525637930579,1.553978547438334,1.1636749584970614,0,1,0,hard_negative_high_warning
148.0,3.208670667020309e-06,3.208670667020309e-06,1.0,-0.001907088840306,0.0,-4.3939326880650246e-06,4.3939326880650246e-06,0.7083333333333334,0.9375,3.491047455773983e-06,-0.0017295031664333,-3.9521484375,-2.154707908630371e-05,0.2121320343559321,19.579477310180664,7041.38525390625,0.7480825471472065,0.0001903573672734,2.1555651876987696,1.4774642048137248,0.0044242571675567,6.734778084232557,4.279787240950865,0.0005363867676351,2.026345949488612,1.3985321603151737,1,1,0,high_warning_positive
149.0,3.156865864740006e-06,3.156865864740006e-06,1.0,0.0002825828491831,0.7142857142857143,6.51070884517866e-07,1.809394869971684e-06,0.875,0.2708333333333333,3.0104421075672245e-06,0.0002134931357361,3.71337890625,0.0003477670252323,0.2499999999999317,20.692157745361328,7290.8408203125,0.5580241541936951,0.000174764252506,1.8935235644738957,1.344147483500472,0.0051370449946261,7.8054979059937715,4.047129038471079,0.0004912601189062,1.7583375457161334,1.272642976398534,1,1,0,high_warning_positive
150.0,2.8773778913258605e-06,2.8773778913258605e-06,1.0,0.0007317504868457,1.0,1.685953121692708e-06,1.685953121692708e-06,1.0,0.5486111111111112,2.917101380954396e-06,0.0006720700934092,-13.30126953125,-0.0007508136332035,0.2236067977500298,20.69387626647949,7190.4619140625,40.97186183003927,0.0001750796744772,1.961397057861782,1.3729633191500403,0.0038649475827696,6.445344861677806,4.125978186238448,0.0004473756275729,1.6854774454822128,1.2397749874592123,1,1,0,high_warning_positive
151.0,1.6933994776911942e-06,1.6933994776911942e-06,1.0,0.0015428954829821,1.0,3.5548311927908026e-06,3.5548311927908026e-06,0.8055555555555556,0.6875,1.6344232166802182e-06,0.0015430619662956,5.0634765625,0.0001749545335769,0.2500000000000227,23.21497344970703,7830.56005859375,1.4388691546947752,0.0010426422995806,2.3403474232659227,1.563289421986431,0.013466173040797,8.885162324258781,4.167367311529278,0.0022539894926012,2.5182389737272537,1.6346991774399813,1,1,0,high_warning_positive
152.0,-1.0783074451956189e-07,2.1025863546349785e-06,0.4285714285714285,0.0025058447891082,1.0,5.773466394105487e-06,5.773466394105487e-06,-0.0694444444444445,0.6875000000000001,-6.269595385539309e-08,0.0024647808280699,-6.162109375,-0.000570610165596,0.2915475947422533,25.399866104125977,9596.337890625,1.1876601241161993,0.0008566531739688,2.777739493916242,1.7097487058740553,0.0087435185123467,11.43541399018004,3.670209087218995,0.0019826995740004,2.82721049905315,1.60797223464682,1,1,0,high_warning_positive
153.0,-9.976217790658355e-07,2.494765311742836e-06,0.4285714285714285,0.006414430590017,1.0,1.4778848079399394e-05,1.4778848079399394e-05,-0.2361111111111111,0.6875,-9.452889103311348e-07,0.0065419953977583,-9.7548828125,-0.0008545443415641,0.2121320343559321,18.71480941772461,7020.06103515625,0.8710369083836372,0.0024888799000564,4.254203255273181,2.0590820646892443,0.0108855665748706,12.787570722358316,3.977983680833952,0.0059103458970639,4.315998954600457,1.8305050069597093,1,1,0,high_warning_positive
154.0,-6.813431404043722e-07,1.7219407685915105e-06,0.4285714285714285,0.0035923752659027,1.0,8.276832612639884e-06,8.276832612639884e-06,-0.0972222222222223,0.6875,-8.817215197386252e-07,0.0035337009185473,-9.1484375,-0.0004748553037643,0.2828427124746029,25.08557891845703,9977.4794921875,1.0097002411185476,0.0006863639212042,3.3428588721758272,1.7125739371614332,0.0073956659907707,9.9854068563051,3.755928721288305,0.0014521266671181,3.110164908491152,1.528699207390276,1,1,0,high_warning_positive
155.0,-9.068969438737752e-07,1.1456991870567262e-06,0.2857142857142857,0.0031774687687485,1.0,7.320888043196729e-06,7.320888043196729e-06,-0.2916666666666666,0.6875,-9.058546376060372e-07,0.0031286807116442,25.587890625,0.0015108585357666,0.1802775637731301,16.54679298400879,6033.2763671875,0.7426923860413742,0.0025250020903513,4.889665230623491,2.3079173420221197,0.0048531400607316,10.3527106624371,3.390491073340144,0.0051824884994857,5.459426753211889,2.3706091296088108,1,1,0,high_warning_positive
158.0,9.410883813478818e-07,9.410883813478818e-07,1.0,-1.261057282994533e-05,0.4285714285714285,-2.9054759800194044e-08,6.706942219824927e-07,0.7638888888888888,0.0902777777777777,1.020613077403081e-06,0.0003821488036096,207.3115234375,0.0087323635816574,0.1802775637731931,19.081018447875977,8811.4033203125,0.1268052199398837,0.0007710548070463,4.127408961755443,2.07552163420161,0.0107343922718428,6.925945060758426,3.1483540522270657,0.0011204340455606,2.38938219364233,1.3686106114276049,0,0,0,low_risk_negative
