roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score
cycle156_rank7_obj27,156.0,event,1,156.0,,1.6668088838929638,single_persistent_drop_needs_roi_qc,19462.04443982,7,1.8915849560185933e-06,3.6588009984111905e-07,1.0,0.0,1.8915849560185933e-06,0.0005678455349126648,0.00020728536052088482,1.0,0.0,1.3083161124387798e-06,4.775854706401186e-07,1.138772978787448e-06,2.174438887406076e-07,1.8880955991724864e-06,3.356063133745504e-06,4.8967114847414484e-05,0.00043982815140085693,0.0008807532388710578,0.701923076923077,1.3083161124387798e-06,0.9807692307692307
cycle157_rank1_obj1,157.0,control,0,156.0,,0.9462923571539248,single_persistent_drop_needs_roi_qc,19505.143994464,7,-7.900122770612939e-07,9.056658814814835e-08,0.0,1.0,7.900122770612939e-07,0.0004940160515170771,0.0005017285910055162,0.7142857142857143,0.2857142857142857,1.1382129826953457e-06,1.1559826736767094e-06,1.238747464701779e-06,-1.4530501381540216e-06,-8.480387836220166e-07,-2.543789382545034e-07,1.2210777335393806e-05,0.0005655857957923609,0.0011123959178685355,0.701923076923077,1.1382129826953457e-06,0.08653846153846151
cycle116_rank7_obj37,116.0,event,1,116.0,,1.32518717317117,synchronized_persistent_drop_low_frame_count,9126.745852742,7,4.3037461992517885e-06,1.3455076582567447e-06,1.0,0.0,4.3037461992517885e-06,0.001991671908821855,0.0006429216726149536,1.0,0.0,4.588812077925554e-06,1.4812915337048528e-06,4.945665530777921e-06,2.2001902837347313e-06,4.4406260950209715e-06,6.608535188680132e-06,0.001113367974034565,0.002157559865972315,0.0032824312357174904,0.6826923076923077,4.588812077925554e-06,0.9423076923076923
cycle156_rank5_obj4,156.0,event,1,156.0,,1.3097972948929866,single_persistent_drop_needs_roi_qc,19462.04443982,7,3.2914086999456537e-06,8.746325131199138e-07,1.0,0.0,3.2914086999456537e-06,0.00022706233520004853,0.0004015435857248052,0.7142857142857143,0.2857142857142857,5.231516203009118e-07,9.251564215099513e-07,5.231516203009118e-07,8.423457747309662e-07,3.2188869578335277e-06,5.104686215415454e-06,-3.002248547526628e-05,0.00022726668601253595,0.0004543273012890401,0.6826923076923077,5.231516203009118e-07,0.028846153846153855
cycle116_rank5_obj43,116.0,event,1,116.0,,1.1308900021649042,synchronized_persistent_drop_low_frame_count,9126.745852742,7,3.3927103741034116e-06,1.0941017283227117e-06,1.0,0.0,3.3927103741034116e-06,-0.0023474452671773576,0.0005032580058043886,0.0,1.0,-5.408513895576632e-06,1.159506445373312e-06,-4.6863203526569906e-06,1.7335438794601236e-06,3.517782099111052e-06,5.390974415990253e-06,-0.00316013248869639,-0.0020772175576792566,-0.0010071406595844484,0.6634615384615385,5.408513895576632e-06,1.1923076923076923
cycle118_rank4_obj1,118.0,control,0,116.0,,1.1051828859084512,synchronized_persistent_drop_low_frame_count,9129.33806254,7,1.7469335843534118e-06,4.016208704936307e-07,1.0,0.0,1.7469335843534118e-06,0.0008245699580654002,0.0006352494807086374,1.0,0.0,1.899809183382682e-06,1.4636148035527005e-06,1.899809183382682e-06,-8.151480386919766e-07,1.7726224092626288e-06,3.364206887457895e-06,-4.553225062198349e-06,0.0008010762822967675,0.0017517381442471362,0.6634615384615385,1.899809183382682e-06,0.6346153846153846
cycle86_rank3_obj5,86.0,event,1,86.0,,1.456577760966197,synchronized_persistent_drop_low_frame_count,9098.537893392,7,3.6872046230568715e-06,1.2315455328634658e-06,1.0,0.0,3.6872046230568715e-06,0.000443499231708696,0.0004069598282052771,1.0,0.0,1.0218222298568356e-06,9.376354441849583e-07,1.933724240255684e-06,1.2346986461047805e-06,3.5808534347945e-06,5.871121906199069e-06,0.0003895040835060683,0.0008609860690067772,0.0012138667197822699,0.6634615384615385,1.0218222298568356e-06,0.5769230769230769
cycle60_rank6_obj26,60.0,event,1,60.0,,1.320031653911962,single_persistent_drop_needs_roi_qc,9244.36053955,7,1.2396569815839683e-06,2.1653469652156735e-07,1.0,0.0,1.2396569815839683e-06,-0.0008004855703044989,0.0008432626199913249,0.2857142857142857,0.7142857142857143,-1.8443187539815655e-06,1.942877076460012e-06,-1.8443187539815655e-06,-6.144275126778508e-07,1.2740794518799388e-06,3.2213172010487036e-06,-0.0024215796623317373,-0.0008918578893709083,0.0006032052496146761,0.625,1.8443187539815655e-06,0.04807692307692313
cycle116_rank3_obj9,116.0,event,1,116.0,,1.2773770940661642,synchronized_persistent_drop_low_frame_count,9126.745852742,7,5.850943150305229e-06,2.3848762904707225e-06,1.0,0.0,5.850943150305229e-06,0.0009280096235680511,0.001598863815989429,0.5714285714285714,0.42857142857142855,2.1381341727007895e-06,3.6837822320396447e-06,2.1381341727007895e-06,3.4512874805788723e-06,5.933619828633032e-06,8.347402605561352e-06,-0.00027345996521810475,0.0009594246116843268,0.002178852577904742,0.625,2.1381341727007895e-06,-0.2115384615384615
cycle158_rank2_obj1,158.0,control,0,156.0,,0.7788033639340246,single_persistent_drop_needs_roi_qc,19531.183546792,7,8.828026430016701e-07,1.5502480792444486e-07,1.0,0.0,8.828026430016701e-07,1.441059534302012e-05,0.00013048454759246713,0.7142857142857143,0.2857142857142857,3.320201167031836e-08,3.0063639765304433e-07,3.320201167031836e-08,-5.12147306964616e-07,8.978770997144819e-07,2.080283847779487e-06,-0.00047293467892070155,3.133530190303365e-05,0.0004455340370035851,0.6057692307692308,3.320201167031836e-08,0.2403846153846154
