roi_id,cohort_role,cycleNo,event_reference_cycle,manual_qc_preserved_status,auto_qc_tier,automatic_qc_surrogate_score,automatic_artifact_risk_score,surrogate_particle_identity_score,surrogate_front_mask_score,surrogate_diffusion_interpretability_score,auto_diffusion_guardrail,has_visual_asset,auto_flag_fragmented,auto_flag_diffusion_ci,auto_flag_threshold_sign,auto_flag_active_control,auto_qc_largest_component_fraction,auto_qc_n_components_min,auto_qc_edge_touch_fraction,front_radius2_slope_r2_track,front_radius_monotonic_fraction_track,combined_review_priority_score,review_priority_tier,recommended_review_reason,primary_qc_png,control_balanced_qc_png,roi_preview_path,front_crop_preview_path,front_tracking_plot_path,rollout_preview_path
cycle116_rank2_obj2,event,116.0,116.0,pending,standard_review,0.6260545790934321,0.0,0.678804347826087,0.9023126734505088,0.2297872340425532,1,1,0,0,0,0,0.5859683794466403,51.0,0.0,,,1.394632703392536,routine,event_roi;primary_visual_panel;no_auto_flags,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank2_obj2_qc.png,,,,,
cycle58_rank3_obj9,control,58.0,60.0,pending,standard_review,0.6124442645698428,0.375,0.5752717391304348,0.6022201665124884,0.7607446808510638,0,1,1,0,0,1,0.3744959677419355,68.0,0.0,0.1050495025748842,0.6129032258064516,9.262519420512536,medium,control_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle58_rank3_obj9_dmd_rollout.png
cycle58_rank6_obj29,control,58.0,60.0,pending,standard_review,0.6040328399629973,0.25,0.7619565217391304,0.5138760407030527,0.37042553191489364,1,1,0,1,0,0,0.4508492022645394,72.0,0.0,0.5316272645618885,0.5483870967741935,9.91063682471578,medium,control_roi;control_balanced_panel;diffusion_ci_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank6_obj29_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank6_obj29.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle58_rank6_obj29_dmd_rollout.png
cycle62_rank1_obj4,control,62.0,60.0,pending,standard_review,0.6030669518963924,0.25,0.7961956521739132,0.3108233117483811,0.6897340425531916,0,1,1,0,0,0,0.4058044806517311,64.0,0.0,0.7753209069709159,0.4193548387096774,11.753876369495782,medium,control_roi;control_balanced_panel;fragmentation_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank1_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank1_obj4.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank1_obj4_dmd_rollout.png
cycle60_rank6_obj26,event,60.0,60.0,pending,standard_review,0.5980278677150787,0.25,0.7230978260869566,0.5550878815911193,0.19601063829787235,1,1,0,1,0,0,0.4544033350703491,71.0,0.0,0.1498094723026588,0.5161290322580645,13.418897864813314,high,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank6_obj26.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank6_obj26_dmd_rollout.png
cycle88_rank3_obj6,control,88.0,86.0,pending,standard_review,0.592552382053654,0.25,0.6429347826086956,0.6379278445883442,0.5913297872340426,0,1,1,0,0,0,0.4234592445328032,60.0,0.0,0.163364291428621,0.4516129032258064,4.091760997636234,routine,control_roi;primary_visual_panel;control_balanced_panel;fragmentation_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle88_rank3_obj6_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle88_rank3_obj6_qc.png,,,,
cycle60_rank2_obj2,event,60.0,60.0,pending,standard_review,0.5909842738205365,0.25,0.7230978260869565,0.35222016651248844,0.5940425531914894,0,1,1,0,0,0,0.3787801127626858,59.0,0.0,0.2081825229613866,0.4516129032258064,14.263136982031998,high,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank2_obj2_dmd_rollout.png
cycle90_rank3_obj4,control,90.0,86.0,pending,standard_review,0.5798887604070305,0.0,0.7581521739130435,0.5043015726179464,0.6107446808510639,0,1,0,0,0,0,0.5861169102296451,51.0,0.0,0.1620902812704371,0.5483870967741935,1.998238780686036,routine,control_roi;control_balanced_panel;no_auto_flags,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle90_rank3_obj4_qc.png,,,,
cycle118_rank1_obj7,control,118.0,116.0,pending,standard_review,0.5730107539315449,0.375,0.5910326086956522,0.6849676225716929,0.5038829787234044,0,1,1,0,0,0,0.4292980671414038,67.0,0.0,0.0619004548560989,0.4516129032258064,3.7478905789113774,routine,control_roi;primary_visual_panel;control_balanced_panel;fragmentation_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle118_rank1_obj7_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle118_rank1_obj7_qc.png,,,,
cycle88_rank5_obj9,control,88.0,86.0,pending,standard_review,0.564515379278446,0.375,0.5910326086956522,0.6305735430157262,0.630904255319149,0,1,1,0,0,0,0.4017008504252126,72.0,0.0,0.2329187121435192,0.4838709677419355,2.9496951957995763,routine,control_roi;control_balanced_panel;fragmentation_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle88_rank5_obj9_qc.png,,,,
