roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,object_candidate_rank,object_x_full_approx,object_y_full_approx,front_consensus_score,front_residual_outward_z_mean,front_raw_outward_z_mean,front_quantile_positive_fraction,front_q_slope_cv,front_q_slope_range_px_per_norm_time,front_q_slope_mean_px_per_norm_time,front_q_slope_mean_source_echem_residual,front_quality_score,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,front_radius_slope_r2,front_radius2_slope_r2,front_gradient_coherence,kymograph_temporal_energy,radial_profile_last_minus_first_l1
source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,32.0,2,1347.4820143884892,181.64028776978407,2.9932742657753737,0.16552694051871114,0.16868170613613467,1.0,0.41936099307096353,0.06185567010309281,0.0738831615120275,-0.0475570404895199,-0.4411910020729998,0.134020618556705,2.27835051546394,0.0785497731958764,0.0065207692771448,0.0065207692771447,1.0,4.152836801352619e-05,0.0021829083076797
source_balanced_cycle145_rank25_obj1_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,11.0,1,1200.943820224719,1101.123595505618,2.8356366997890423,0.00656030470118335,-0.16791733188444105,1.0,1.3712096751716114,0.29510309278350516,0.11533505154639163,0.18875376815270184,0.7289262767941794,-0.5386597938144342,-3.770618556701024,0.1200692783505155,0.1397603789356366,0.1397603789356364,1.0,3.334996191631163e-05,0.0056206324337821
source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,8.0,1,1337.0852713178294,121.95348837209302,2.7377841931883244,0.48000367076161665,0.9528258993362235,0.6666666666666666,1.3906433363335435,1.2164948453608253,0.6185567010309281,0.008764750287884815,0.3372453797382976,,,,,,1.0,3.442819886160921e-06,0.0225475480590434
source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,134.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,22.0,1,1347.0588235294117,182.6143790849673,2.7058626339410004,0.7832417268129256,0.7010231827015658,0.6666666666666666,1.2280730934893171,2.4400773195876306,1.4049613402061865,1.2607034157393662,-0.2231772280805322,-0.2551546391752551,-5.103092783505117,0.1431567835051548,0.0114364727915565,0.0114364727915566,1.0,3.599889551424349e-05,0.0073388167682725
source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,104.0,11_c2_x10_050723,mid_pre_event_9_16,12.0,1,1342.125,203.375,2.6704081676212925,-0.0612252229630181,0.01563329051976984,1.0,0.583170550203798,0.0431701030927834,0.0412371134020618,-0.1512188279765869,-0.33738257571733166,0.0109536082474226,0.1862113402062177,0.0351775670103092,7.005638852430884e-05,7.005638852430884e-05,1.0,2.9818337203167792e-06,0.0018586406685308
source_balanced_cycle141_rank22_obj2_16_c2_x10_HighHighCOV_130723,141.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,15.0,2,842.8852459016393,79.27868852459017,2.6095318790556257,0.4296433845009106,0.2922426272020266,1.0,0.6384448019723955,0.25128865979381454,0.1973797250859107,0.22931091292355543,-1.6692333102749632,0.0985824742268027,1.8318298969071989,0.1578833814432992,0.0018149426322595,0.001736319776412,1.0,0.0001812897048246,0.0035248262694751
source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,post_event_1_16,14.0,2,1337.7518248175184,199.94160583941607,2.559532128054409,1.1709964974694336,1.2596599786151201,0.3333333333333333,,0.0,1.1436855670103097,0.8553912676018489,-0.3372793299621174,0.0122422680412365,0.2081185567010667,0.8853773195876299,8.033203909485476e-05,8.033203909496578e-05,1.0,3.822417761454267e-06,0.0023880017945845
source_balanced_cycle30_rank38_obj2_4_c2_x10_240623,30.0,4_c2_x10_240623,far_pre_event_17_32,30.0,2,1329.1870967741936,128.25806451612902,2.559448252186836,0.4830504865481718,0.6050617682872275,0.6666666666666666,0.6342774310643378,0.6172680412371138,0.6881443298969074,0.41949976524234023,-0.33798095702979714,0.0019329896907193,0.0328608247422996,0.2658150927835054,1.0501811562591e-05,1.0501811562591e-05,1.0,3.427735461000719e-06,0.0061223698657709
source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,1,568.1212121212121,176.72727272727272,2.4961429232509875,1.3024052515301971,1.3177683894100123,0.0,,,,,1.069706954031568,0.701675257731959,7.718427835051564,,0.1736769613001157,0.1736769613001157,1.0,2.12267292720307e-06,0.0059886945552477
source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,23.0,2,1345.5777777777778,183.35555555555555,2.384463470140227,1.0893988558200456,1.0808843658116403,0.3333333333333333,1.4142135623730951,5.189432989690724,-2.5637886597938158,-2.7567377707604117,0.15901994658619145,3.2016752577319583,32.85889175257731,0.0239425979381443,0.1933072267822414,0.139073201846632,0.6458333333333334,3.281278711189277e-05,0.0141041632733301
source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,54.0,6_c2_x10_270623_2,near_pre_event_1_8,6.0,1,1332.857142857143,123.91836734693878,2.3556585594660886,0.18698052189137804,-0.027774314124965466,0.6666666666666666,0.4714045207910219,0.0032216494845360003,0.0048324742268041005,0.10130929282132849,0.3372453797382976,,,0.0045604948453608,,,1.0,3.356041952162537e-06,0.0012873071948624
source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,42.0,5_c2_x10_260623,far_pre_event_17_32,18.0,2,1323.572327044025,98.38993710691824,2.3513286339657493,0.07725000834377665,0.9180023475431879,0.6666666666666666,1.313406015774876,1.7461340206185578,0.9400773195876294,0.12332104154050588,0.3372453797382976,,,0.0271729484536082,,,1.0,5.2598682510763485e-06,0.0159446895439368
source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,2.0,1,1332.9481481481482,105.71851851851852,2.2712052123863855,0.18495689135718787,0.9226937782995274,0.6666666666666666,0.9754716899897855,1.853737113402063,1.3437500000000007,0.1989449937859489,-0.3380864751630142,2.2504976528960115e-15,-2.0902006235849162e-14,0.2130368659793814,2.1094237467877974e-15,-2.220446049250313e-16,1.0,6.161694541684688e-06,0.0067882028394972
source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,6.0,1,1201.1304347826087,1102.7391304347825,2.238526790580661,0.12741709729452586,0.3674802445852976,1.0,0.8440417251837683,0.8015463917525786,0.47916666666666713,0.09345906284931065,-1.7025648364015717,0.0476804123711354,0.3582474226804166,0.0325172783505154,0.0002033240788777,0.0001268933278293,0.625,0.0013482401609355,0.0091121786356564
source_balanced_cycle144_rank24_obj2_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,12.0,2,1199.6043956043957,1099.956043956044,2.2185621075119766,0.2515421588720914,0.051968292550177306,0.6666666666666666,0.2577993473075937,0.045103092783504786,0.1237113402061854,0.2864290692658086,-0.33226742779493756,-0.0083762886597925,-0.0586340206185552,0.0410207010309279,0.000579147271325,0.000579147271326,1.0,1.47547516550367e-05,0.0070012283573579
source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,2,1333.7518248175184,117.05109489051095,2.1727919155508317,0.4878078065608905,0.3699682179798822,0.0,,0.0,-0.9046391752577324,-0.6975113373164178,3.0,0.9877577319587604,16.79188144329895,-0.4335320412371135,0.4556795395031728,0.4556795395031733,1.0,2.8051057161769694e-06,0.011429141136532
source_balanced_cycle130_rank18_obj1_14_c2_x10_HighCOV_110723,130.0,14_c2_x10_HighCOV_110723,post_event_1_16,26.0,1,842.4,78.56,2.129279670346278,0.3964725353889822,0.20672367144044834,0.6666666666666666,0.9676198058342244,0.192654639175258,0.1407860824742268,0.27727302601196724,-0.33585257907425176,0.0180412371134033,0.3427835051546904,0.2010418144329899,0.0002223310350304,0.0002223310350302,1.0,1.0985307308258768e-05,0.0023321792765304
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,post_event_1_16,16.0,1,1342.2222222222222,204.22222222222223,2.0898093266074893,-0.1017117382454444,0.003963105164089698,0.6666666666666666,0.4554247065269293,0.0122422680412371,0.01900773195876285,-0.1297058405536202,0.3372453797382976,,,0.0176006597938144,,,1.0,3.261197053332353e-06,0.0072871437130496
source_balanced_cycle4_rank32_obj1_2_c2_x14_200623,4.0,2_c2_x14_200623,no_near_event_control,56.0,1,1182.4,1028.6,2.0350591304984444,0.46274597897778164,0.3426629994001665,0.0,0.6768083011236358,0.5109536082474229,-0.5338273195876291,-0.5468697185643534,2.662754620261699,1.4942010309278364,11.010953608247426,-0.3200659793814437,0.4647632631149713,0.4183557741486474,1.0,4.09741853100743e-06,0.0047798588845367
source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,near_pre_event_1_8,4.0,1,840.25,97.91666666666669,2.0198375052908837,0.8684580869966281,0.11082284433326545,0.3333333333333333,,0.0,0.121778350515464,0.6014428297890421,0.3372453797382976,,,,,,1.0,4.840752539052463e-06,0.0054830678367904
source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,4.0,2,569.2222222222222,177.22222222222223,1.9932883417568021,0.8728901478020592,0.8872405015408809,0.0,,,,,1.353555886368605,0.4813144329896924,5.294458762886611,,0.1683626194749361,0.1683626194749368,1.0,1.889714273795161e-06,0.0014035613622183
source_balanced_cycle141_rank22_obj1_16_c2_x10_HighHighCOV_130723,141.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,15.0,1,1198.2117647058824,1103.2470588235294,1.8770370455718977,0.027153013468483294,-0.1311409205307353,0.6666666666666666,0.9243835900668327,0.7055412371134022,0.36640893470790403,0.47108818897493016,0.1984253056968125,-0.8414948453608243,-9.03092783505154,0.2634398350515466,0.1399395927047414,0.1347588635934185,1.0,5.82241038625717e-05,0.0085603478036754
source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,40.0,5_c2_x10_260623,far_pre_event_17_32,20.0,1,563.8367346938776,158.77551020408163,1.8236581823066746,0.10984579482518293,0.2614843785867399,0.0,0.8391321019768586,0.8028350515463921,-0.5023625429553267,-0.7669715383382797,3.168622689869149,1.3582474226804129,12.224226804123711,-0.1438693608247424,0.6862723819858927,0.6862723819858925,1.0,2.245342624386277e-06,0.0119987380581898
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,8.0,2,1665.6533333333334,226.02666666666667,1.6896697863638062,-0.10880557076163129,-0.2908809849847923,0.6666666666666666,1.292123182887648,0.2454896907216495,0.13434278350515466,0.2851360360036747,0.5763445830374909,-0.4748711340206194,-4.273840206185566,0.0081233814432989,0.0910097853948772,0.0910097853948771,1.0,6.320949591016831e-06,0.0023291939361782
source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2,48.0,6_c2_x10_270623_2,mid_pre_event_9_16,12.0,1,568.0,168.57142857142858,1.6627500309626027,0.3732612490132257,0.469534996782717,0.3333333333333333,,0.0,0.0006443298969072,-0.306967642379936,0.2547519545990889,0.4052835051546405,4.45811855670103,,0.0590029152910233,0.0590029152910234,1.0,2.52291622258178e-06,0.0096663440000967
source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,34.0,4_c2_x10_240623,far_pre_event_17_32,26.0,2,1333.8529411764705,127.23529411764706,1.6133852834164966,-0.09993418195171211,0.2588083545726129,0.6666666666666666,1.0693806571010085,0.6913659793814435,0.45715206185567026,-0.16722737065433546,-0.33808647516301527,2.447749018743268e-15,3.103722512053407e-15,0.0452011546391753,1.6653345369377348e-15,0.0,1.0,2.9030616322490005e-06,0.0055066358798545
source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,2,1199.1827956989248,1103.139784946237,1.4953610684942178,0.5832051440551036,0.7502054692518447,0.6666666666666666,1.6326868156378695,0.6456185567010313,0.18148625429553267,-0.09713374869094733,-1.940105823355501,1.088273195876288,9.735180412371138,0.030807092783505,0.0543016365464245,0.0537764516695171,0.1875,0.0025229641523079,0.0030645458480404
source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,62.0,7_c2_x10_290623,post_event_1_16,24.0,1,567.5744680851063,163.6595744680851,1.4941520399966193,-0.1515280697214414,-0.18697727703230524,0.0,0.4814733362534293,0.81958762886598,-0.855670103092784,-0.8492916603663435,3.168622689869149,1.461340206185567,10.229381443298974,-0.3668348041237118,0.7383613673358654,0.7383613673358654,1.0,2.587204900243358e-06,0.0169871195688824
