roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,npz_path,preview_png
cycle116_rank8_obj20,116.0,13_c2_x6_100723,1,8,20,4.20806016995098,event_multicycle_roi_candidate,88.47058823529412,1086.1176470588234,0,990,192,1182,192,96,96,909,1818,8550.890625,8555.021484375,4.130859375,0.11127623170614243,0.11153454333543777,0.0002583116292953491,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank8_obj20.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank8_obj20.png
cycle118_rank4_obj1,118.0,13_c2_x6_100723,3,4,1,5.013327036600357,control_multicycle_roi_candidate,586.0,232.0,490,136,682,328,192,96,96,2729,3637,8521.1181640625,8506.048828125,-15.0693359375,0.08793079107999802,0.08690132200717926,-0.001029469072818756,0.29154759474225334,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle118_rank4_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle118_rank4_obj1.png
cycle118_rank1_obj7,118.0,13_c2_x6_100723,3,1,7,4.326672628497259,control_multicycle_roi_candidate,1196.1739130434785,1087.304347826087,1100,991,1292,1183,192,96,96,2729,3637,8322.767578125,8307.140625,-15.626953125,0.07508322596549988,0.0741206631064415,-0.0009625628590583801,0.29154759474225334,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle118_rank1_obj7.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle118_rank1_obj7.png
cycle118_rank2_obj2,118.0,13_c2_x6_100723,3,2,2,4.2813394428335565,control_multicycle_roi_candidate,1350.108527131783,177.95348837209303,1254,82,1446,274,192,96,96,2729,3637,8857.05859375,8842.12890625,-14.9296875,0.0755382776260376,0.07487042993307114,-0.0006678476929664612,0.29154759474225334,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle118_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle118_rank2_obj2.png
cycle118_rank3_obj9,118.0,13_c2_x6_100723,3,3,9,4.255431422335417,control_multicycle_roi_candidate,820.2424242424242,379.8787878787879,724,284,916,476,192,96,96,2729,3637,8112.41845703125,8085.529296875,-26.88916015625,0.07359282672405243,0.07192495465278625,-0.0016678720712661743,0.29154759474225334,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle118_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle118_rank3_obj9.png
cycle156_rank1_obj1,156.0,18_c2_xN_HighHighCOV_170723,0,1,1,5.881512080209022,event_multicycle_roi_candidate,1345.2307692307693,131.8041958041958,1249,36,1441,228,192,96,96,0,1938,8699.8134765625,9208.19140625,508.3779296875,0.06732910871505737,0.08356940746307373,0.016240298748016357,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle156_rank1_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank1_obj1.png
cycle156_rank6_obj3,156.0,18_c2_xN_HighHighCOV_170723,0,6,3,5.14793840443715,event_multicycle_roi_candidate,1669.981981981982,145.04504504504504,1574,49,1766,241,192,96,96,0,1938,8077.177734375,8765.869140625,688.69140625,0.06874939054250717,0.09224532544612885,0.023495934903621674,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle156_rank6_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank6_obj3.png
cycle156_rank8_obj10,156.0,18_c2_xN_HighHighCOV_170723,0,8,10,5.095436512452073,event_multicycle_roi_candidate,1248.1333333333334,1131.8666666666666,1152,1008,1344,1200,192,96,96,0,1938,8709.4873046875,9517.55859375,808.0712890625,0.06628626585006714,0.0980939120054245,0.03180764615535736,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle156_rank8_obj10.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank8_obj10.png
cycle156_rank2_obj2,156.0,18_c2_xN_HighHighCOV_170723,0,2,2,5.093610228639238,event_multicycle_roi_candidate,1201.4545454545455,1053.7662337662337,1105,958,1297,1150,192,96,96,0,1938,8426.708984375,9295.8203125,869.111328125,0.06541664153337479,0.09992702305316925,0.034510381519794464,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle156_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank2_obj2.png
cycle156_rank5_obj4,156.0,18_c2_xN_HighHighCOV_170723,0,5,4,5.045443781614695,event_multicycle_roi_candidate,817.5632183908046,333.5632183908046,722,238,914,430,192,96,96,0,1938,8218.455078125,8954.64453125,736.189453125,0.06212201341986656,0.09711781144142151,0.03499579802155495,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle156_rank5_obj4.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank5_obj4.png
