anchor_feature,mechanism_feature,n,spearman_rho,spearman_p,source_residual_spearman_rho,source_residual_spearman_p,mechanism_source_eta2
exact_low_context_change_score,threshold_robust_phase_score,72,0.06464040583327726,0.5895713356164246,0.009083670231906732,0.9396338533848406,0.1422063197573402
exact_low_context_change_score,radius2_slope_positive_fraction,72,0.06356672490027608,0.595780165852993,0.042784301176175064,0.7212066268926229,0.10279431216931216
exact_low_context_change_score,front_contraction_score,72,-0.04920828643922074,0.6814485002689868,-0.07784645431861037,0.5157077639200248,0.07032076562599937
exact_low_context_change_score,threshold_robust_diffusion_score,72,-0.036525912793041265,0.7606631765260229,-0.10347354720892557,0.38706027521883213,0.09585626402405104
exact_low_context_change_score,cycle_index_rank,72,-0.03472496016379953,0.7721363669887448,0.2917549593105319,0.012895082409418912,0.9913787959098423
exact_low_context_change_score,phase_slope_positive_fraction,72,0.03240199424089983,0.7870070657528437,-0.0322576888224259,0.7879334238760874,0.5143565618409769
exact_low_context_change_score,diffusion_physics_gate_count,72,-0.026460632313721085,0.8253766604025218,0.033057662921009034,0.7828017793118781,0.2784188034188035
exact_low_context_change_score,rollout_residual_score,72,-0.020754185240473438,0.8626187228881506,-0.09076722794776375,0.4482873917255769,0.18296124426744398
exact_low_context_change_score,median_abs_apparent_D_um2_per_s,72,-0.015998354795657234,0.8938903219185146,-0.028528681998118265,0.8119697913440617,0.4074724516460082
exact_low_context_change_score,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,0.012099867934430344,0.9196476571061191,0.04529511552436713,0.7055722894981147,0.11844193941802596
exact_low_context_change_score,diffusion_guardrail_score,72,-0.01078958811800139,0.9283245819061949,-0.07467660076326389,0.5329996543131601,0.05329567208691489
exact_low_context_change_score,physics_consistency_score,72,0.0078940314866337,0.9475276760109339,0.13892647511097186,0.24448356061663626,0.36098088820225727
exact_low_context_change_score,particle_mean_last_minus_first,172,0.0047179656234272935,0.9510209882637002,-0.10772697986779287,0.15953985044942942,0.5181653710998927
exact_low_context_change_score,median_apparent_D_um2_per_s,72,-0.007295508607524178,0.9515011160502022,0.0834620832060008,0.48578884010904816,0.3109525674749584
exact_low_context_change_score,threshold_sensitivity_iqr_over_median_abs,72,-0.005985228791095224,0.9602037138576334,-0.042559708903002154,0.7226108007948627,0.09961398275241223
exact_low_context_change_score,axis_step,72,0.0031568145603454115,0.9790039254809649,0.07470363892265455,0.5328509544057051,0.1399828220065162
exact_low_context_change_score,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.0005014651149295998,0.9966643723056995,-0.10635904568954413,0.37388622920451875,0.19912030712018058
exact_optical_loss_score,exact_low_context_change_score,172,0.6666034966873392,1.8473098980674404e-23,0.6930478968675344,6.032687483045248e-26,0.3165546893158413
exact_optical_loss_score,particle_vs_context_mean_diff_positive_fraction,172,-0.6666034966873392,1.8473098980674404e-23,-0.6930033438487285,6.094307279480305e-26,0.3165546893158412
exact_optical_loss_score,particle_std_diff_positive_fraction,172,-0.6638465454994785,3.2447636419329486e-23,-0.761441129649483,7.88939992007896e-34,0.19009184138361196
exact_optical_loss_score,particle_gradient_diff_q90,172,0.5209837585037022,2.3608991274977407e-13,0.39759414065586257,6.638362022911927e-08,0.6226563294430654
exact_optical_loss_score,transferred_masked_residual_signature,72,0.5515545186302865,5.129435389290457e-07,-0.0798706975377804,0.5048163049140625,0.08606454639058475
exact_optical_loss_score,cycle_index_rank,72,0.46900960117380214,3.245380322657818e-05,0.46272330641473103,4.267992515563954e-05,0.9913787959098423
exact_optical_loss_score,particle_mean_last_minus_first,172,0.30704128356522836,4.188114529584302e-05,0.13610758325638875,0.07502487817971426,0.5181653710998927
exact_optical_loss_score,phase_slope_median_per_s,72,0.42787317512380224,0.00017748831600220225,0.18477072480545376,0.1202311486992069,0.6706925006650919
exact_optical_loss_score,radius2_slope_median_px2_per_s,72,0.35519969129847584,0.002200640055726634,0.40410958904109595,0.0004309100598372914,0.07478734597537161
exact_optical_loss_score,diffusion_proxy_median_um2_per_s,72,0.35519969129847584,0.002200640055726634,0.40410958904109595,0.0004309100598372914,0.07478734597537168
exact_optical_loss_score,phase_slope_positive_fraction,72,0.3550180215545412,0.002212996154163886,0.0799805110207919,0.5042288637577522,0.5143565618409769
exact_optical_loss_score,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.33011769245610656,0.00462616258100854,0.36555405492314624,0.0015907698364529621,0.0728263482975305
exact_optical_loss_score,diffusion_proxy_abs_median_um2_per_s,72,0.3235899414753361,0.005559008838622449,0.13988037815936719,0.2412277043968124,0.29579211278703826
exact_optical_loss_score,radius2_slope_positive_fraction,72,0.29540337404986533,0.011762010925609294,0.3175116018507907,0.006573076849857956,0.10279431216931216
exact_optical_loss_score,capacity_fraction_of_first,54,-0.3156993705270743,0.020048377330435723,-0.16726844344746225,0.22668389641654713,0.5193993446290935
exact_optical_loss_score,median_radius2_fit_r2,72,0.20615473663901218,0.08231984547975184,0.057881535790082976,0.6291307700940436,0.07128113788648097
exact_optical_loss_score,physics_consistency_score,72,-0.18911183998970998,0.11161502858444071,0.2887645507749695,0.01389308893825021,0.36098088820225727
exact_optical_loss_score,median_apparent_D_um2_per_s,72,-0.1773104379702875,0.13621590489972646,0.29165862756447364,0.012926237302129946,0.3109525674749584
