roi_id,cycleNo,embedding_row_id,source_stem,cohort_role,selection_subrole,future_any_drop_within_16cycles,future_any_drop_within_8cycles,any_abrupt_drop,particle_vs_context_mean_diff_positive_fraction,particle_std_diff_positive_fraction,particle_mean_last_minus_first,particle_gradient_diff_q90,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,source_stem_temporal,cohort_role_temporal,selection_subrole_temporal,phase_slope_median_per_s_temporal,phase_slope_positive_fraction_temporal,radius2_slope_median_px2_per_s_temporal,radius2_slope_positive_fraction_temporal,diffusion_proxy_median_um2_per_s_temporal,diffusion_proxy_abs_median_um2_per_s_temporal,threshold_robust_phase_score_temporal,threshold_robust_diffusion_score_temporal,q70_radius2_slope_bootstrap_p50_px2_per_s_temporal,transferred_masked_residual_signature_temporal,low_rank_dmd_particle_mse_fraction_of_full_mean_temporal,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_temporal,persistence_particle_mse_fraction_of_full_mean_temporal,persistence_particle_to_nonparticle_mse_ratio_mean_temporal,roi_norm_mean_delta_last_minus_first_temporal,object_mean_residual_temporal,object_mean_abs_z_temporal,stage_drift_xy_sampled_temporal,source_stem_diffusion,cohort_role_diffusion,diffusion_proxy_median_um2_per_s_diffusion,threshold_robust_diffusion_score_diffusion,positive_D_fraction_diffusion,negative_D_fraction_diffusion,median_apparent_D_um2_per_s_diffusion,median_abs_apparent_D_um2_per_s_diffusion,median_radius2_fit_r2_diffusion,threshold_sensitivity_iqr_over_median_abs_diffusion,diffusion_physics_gate_count_diffusion,physics_consistency_score_diffusion,transferred_masked_residual_signature_diffusion,mask_instability_score_diffusion,fallback_frame_fraction_diffusion,accepted_area_cv_diffusion,source_stem_echemfront,cohort_role_echemfront,selection_subrole_echemfront,phase_slope_median_per_s_echemfront,phase_slope_positive_fraction_echemfront,radius2_slope_median_px2_per_s_echemfront,radius2_slope_positive_fraction_echemfront,diffusion_proxy_median_um2_per_s_echemfront,diffusion_proxy_abs_median_um2_per_s_echemfront,threshold_robust_phase_score_echemfront,threshold_robust_diffusion_score_echemfront,q70_radius2_slope_bootstrap_p50_px2_per_s_echemfront,transferred_masked_residual_signature_echemfront,low_rank_dmd_particle_mse_fraction_of_full_mean_echemfront,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_echemfront,persistence_particle_mse_fraction_of_full_mean_echemfront,persistence_particle_to_nonparticle_mse_ratio_mean_echemfront,roi_norm_mean_delta_last_minus_first_echemfront,object_mean_residual_echemfront,object_mean_abs_z_echemfront,stage_drift_xy_sampled_echemfront,capacity_fraction_of_first_echemfront,state_step_norm_echemfront,axis_step_echemfront,frames_percentile_echemfront,cycle_index_rank_echemfront,phase_slope_median_per_s,phase_slope_positive_fraction,radius2_slope_median_px2_per_s,radius2_slope_positive_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p50_px2_per_s,positive_D_fraction,negative_D_fraction,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,median_radius2_fit_r2,threshold_sensitivity_iqr_over_median_abs,diffusion_physics_gate_count,physics_consistency_score,transferred_masked_residual_signature,low_rank_dmd_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,persistence_particle_to_nonparticle_mse_ratio_mean,roi_norm_mean_delta_last_minus_first,object_mean_residual,object_mean_abs_z,stage_drift_xy_sampled,mask_instability_score,fallback_frame_fraction,accepted_area_cv,capacity_fraction_of_first,state_step_norm,axis_step,frames_percentile,cycle_index_rank,exact_optical_loss_score,exact_low_context_change_score,front_contraction_score,diffusion_guardrail_score,rollout_residual_score
cycle88_rank2_obj4,88.0,selected_event_control::cycle88_rank2_obj4,10_c2_x10_030723,control,,,,,0.5157894736842106,0.5052631578947369,0.0048950710333883,0.00038603246212,0.9049071294799764,0.1059074017251927,0.8114754098360656,1.0555555555555556,0.24408014571949,0.1170367635251748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010774395985638119,0.18917394626692094,,,
cycle88_rank5_obj9,88.0,selected_event_control::cycle88_rank5_obj9,10_c2_x10_030723,control,,,,,0.4947368421052631,0.431578947368421,0.012863605748862,0.0008913151919841,0.9049071294799764,0.1059074017251927,0.8114754098360656,1.0555555555555556,0.24408014571949,0.1170367635251748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1021444660349726,0.61730445623943,,,
cycle88_rank3_obj6,88.0,selected_event_control::cycle88_rank3_obj6,10_c2_x10_030723,control,,,,,0.5157894736842106,0.5789473684210527,0.0064727375283837,0.0004435278475284,0.9049071294799764,0.1059074017251927,0.8114754098360656,1.0555555555555556,0.24408014571949,0.1170367635251748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2668767457020053,0.18917394626692094,,,
cycle88_rank4_obj8,88.0,selected_event_control::cycle88_rank4_obj8,10_c2_x10_030723,control,,,,,0.5157894736842106,0.4947368421052631,0.0057577211409807,0.0004848919808864,0.9049071294799764,0.1059074017251927,0.8114754098360656,1.0555555555555556,0.24408014571949,0.1170367635251748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14684277800851847,0.18917394626692094,,,
cycle90_rank6_obj3,90.0,selected_event_control::cycle90_rank6_obj3,10_c2_x10_030723,control,,,,,0.5368421052631579,0.5157894736842106,0.0031230796594172,0.0005064576864242,0.8434426229508196,0.1145705010608695,0.7295081967213115,1.0,0.2704918032786885,0.1358367456698355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19883220886652775,-0.2389565637055847,,,
cycle90_rank3_obj4,90.0,selected_event_control::cycle90_rank3_obj4,10_c2_x10_030723,control,,,,,0.4842105263157895,0.4947368421052631,0.0025753010995686,0.0003136526793241,0.8434426229508196,0.1145705010608695,0.7295081967213115,1.0,0.2704918032786885,0.1358367456698355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0778523856318728,0.8313697112256817,,,
cycle90_rank4_obj6,90.0,selected_event_control::cycle90_rank4_obj6,10_c2_x10_030723,control,,,,,0.5052631578947369,0.4736842105263157,0.0037041755858808,0.0003465764224529,0.8434426229508196,0.1145705010608695,0.7295081967213115,1.0,0.2704918032786885,0.1358367456698355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15091537795433463,0.4032392012531749,,,
cycle90_rank5_obj10,90.0,selected_event_control::cycle90_rank5_obj10,10_c2_x10_030723,control,,,,,0.5473684210526316,0.5052631578947369,0.0136737897992134,0.0005085259675979,0.8434426229508196,0.1145705010608695,0.7295081967213115,1.0,0.2704918032786885,0.1358367456698355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35416276505018296,-0.45302181869183866,,,
cycle116_rank2_obj2,116.0,selected_event_control::cycle116_rank2_obj2,13_c2_x6_100723,event,,,,,0.4947368421052631,0.5052631578947369,0.0039748514536768,0.000260741263628,0.965474037302137,0.1019946247789276,0.8729508196721312,1.1111111111111112,0.23816029143898,0.1056420171213876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023441163410496207,0.61730445623943,,,
cycle116_rank3_obj9,116.0,selected_event_control::cycle116_rank3_obj9,13_c2_x6_100723,event,,,,,0.5157894736842106,0.4736842105263157,0.0131682571955025,0.0006249502301216,0.965474037302137,0.1019946247789276,0.8729508196721312,1.1111111111111112,0.23816029143898,0.1056420171213876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6947311236692046,0.18917394626692094,,,
