roi_id,roi_class,is_event_roi,cycleNo,event_cycle,source_stem,stage_drift_xy_sampled,roi_norm_mean_delta_last_minus_first,low_threshold,high_threshold,mid_threshold,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,mid_fraction_delta,mid_fraction_slope_per_frame,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_r2,low_radius2_delta_px2,low_radius2_slope_px2_per_frame,interface_density_mean,interface_density_delta,interface_density_slope_per_frame,centroid_path_px,centroid_net_px,temporal_diff_energy,first_last_corr,cumulative_abs_first_last
cycle90_rank2_obj2,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.000320166349411,0.0502495240420103,0.09601349756121635,0.07313151080161333,0.28759736369083283,0.2895446375074895,0.0019472738166566583,9.031915817042606e-05,0.005296987629619498,-0.009736369083283403,-0.00025084083314287766,0.003445176752546464,0.0002086488167785932,1.1711518149681979,-0.15265684345125838,0.2632089790855897,-5.0162147555092815,0.04696481032631126,0.18495824595566204,-0.00029958058717796665,-6.5660246029942816e-06,18.493759651388725,0.34115427517113645,9.140958718489856e-05,0.9930911376275946,0.009650859981775284
cycle90_rank3_obj3,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.0006375983357429,0.049630384892225266,0.10338838323950768,0.07650938406586646,0.29478729778310364,0.2847513481126423,-0.010035949670461342,0.00012130230103248942,0.010197966682602644,-0.004194128220491311,-0.0003854265585424024,0.0,0.00026138223361954363,-6.991558785919324,-0.0917123562301709,0.04999279026009684,10.394854334333786,0.33468397211363043,0.1849114364889155,-0.0035949670461354333,-6.5660246029938996e-06,16.620116388448288,0.5124549512429287,0.00014376275066751987,0.9927495362083641,0.011426071636378765
cycle90_rank4_obj4,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.0001276656985282,0.040329623967409134,0.07837682664394378,0.05935322530567646,0.29224086279209105,0.28699820251647695,-0.005242660275614097,4.41466862290793e-05,0.002183574363408436,-0.0005991611743559333,-0.00016417804547317802,0.0025464349910125916,0.00010328459310519654,-13.543449159951138,-0.20731285536711158,0.3919495476283583,1.2547087394175378,0.1968529362315345,0.15951261983223486,-0.0020970641102456555,-6.556779542823344e-05,17.04216491097469,0.15389117906261687,4.91481987410225e-05,0.996387052083939,0.007390484679490328
cycle90_rank5_obj5,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.0003396570682525,0.04775966331362724,0.07804181799292564,0.06290074065327644,0.2808568004793289,0.2798082684242061,-0.0010485320551228416,2.6379915649289832e-05,0.00029314253764733955,-0.0025464349910125916,-0.0002101188829398998,0.0010485320551227861,0.00013825631906974376,-0.8844608137044361,0.0011719629599909317,4.621935276838407e-05,6.476139087072852,0.0765167848656444,0.19908066207309763,-0.006440982624325964,-6.14562835036906e-05,18.258409480878335,0.4752476736855536,5.3160129027673975e-05,0.9956178318832428,0.0074453204870224
cycle90_rank6_obj6,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.0002948641777038,0.04916050285100937,0.08025199323892593,0.06470624804496765,0.28460155781905333,0.2840023966446974,-0.0005991611743559333,9.856758053646304e-05,0.004087563287572871,-0.009886159376872372,-0.0002739788820881354,0.002696225284601561,0.00022495364872250541,-18.466313568731948,-0.21438067070103445,0.18807206440277635,14.018457809537495,0.17343925502427157,0.1978168064709407,0.0005991611743559055,-3.4964614379801685e-05,17.97908385124972,0.31516908594141885,5.370757935452275e-05,0.9952852927440214,0.008354081772267818
cycle90_rank7_obj7,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.000444658100605,0.05412868149578571,0.11605638563632964,0.08509253356605767,0.2884961054523667,0.28804673457159974,-0.00044937088076696385,6.326059414811707e-05,0.0036792369212970133,-0.008538046734571592,-0.000250572624803841,-0.002396644697423622,0.00015784670316684222,-1.2162444130165113,-0.10162410088000003,0.19528827322150344,5.119247686017388,0.12226098557332311,0.16551359346914318,-0.005542240862792092,-1.850129569010255e-05,15.143774006220628,0.1808117361215459,0.00013760723231825978,0.9903619094036203,0.011716238223016262
cycle90_rank8_obj8,control,0,90.0,86.0,10_c2_x10_030723,0.2500000000000227,-0.0006633475422859,0.027565201744437218,0.07248719036579132,0.05002619605511427,0.2889454763331336,0.29343918514080286,0.00449370880766925,0.00020798642345642957,0.024074491873439907,0.00044937088076690834,-0.00033727097039727455,-0.0017974835230676889,0.00024418438981953065,-12.468160271570355,-0.10051450488914543,0.06270672730303206,7.136925763648833,0.3344307543664396,0.1516361468943479,-0.006440982624325936,-3.128995694687154e-05,20.073271755786532,0.13096033583528477,9.953293192666024e-05,0.9963892012664437,0.009069356136023998
cycle92_rank1_obj1,control,0,92.0,86.0,10_c2_x10_030723,0.1802775637732877,-0.000704176723957,0.05053020678460598,0.10108447074890135,0.07580733876675366,0.28834631515877773,0.2871479928100659,-0.001198322348711811,8.334980511819717e-05,0.004697555007154741,-0.00014979029358896945,-0.0002320378030713579,0.0013481126423007805,0.00016628815426173444,-4.335459761938637,-0.007192247191782271,0.00016849932298246273,3.3032044891451733,0.17381995372911152,0.18349623027761133,-0.0035949670461354055,2.7349123056272185e-06,20.249017475207665,0.19026457537190733,0.0001393479178659618,0.9957753680699895,0.009340002201497555
cycle92_rank2_obj2,control,0,92.0,86.0,10_c2_x10_030723,0.1802775637732877,-0.0002655088901519,0.028037795796990395,0.06262910664081572,0.04533345121890306,0.27831036548831634,0.2808568004793289,0.0025464349910125916,0.00021828704599236742,0.019054202905900763,-0.0002995805871779389,-0.00017314473789868388,0.0038945476333133167,0.0002550112696267558,-0.5153372084680541,-0.21915589098681745,0.11750793983649588,3.1464181257640575,0.16464700898006523,0.17535762432594368,-0.0058418214499700305,-6.834029753895204e-05,16.794388291559127,0.3455125015573507,8.937328675528988e-05,0.9969062842499294,0.007488743867725134
cycle92_rank3_obj3,control,0,92.0,86.0,10_c2_x10_030723,0.1802775637732877,-0.0001963004469871,0.052497601881623265,0.09693175479769707,0.07471467833966017,0.28445176752546436,0.280557219892151,-0.003894547633313372,4.7619171467056224e-05,0.0014849858520216141,-0.006890353505092872,-0.00012364302835498508,-0.0005991611743558778,8.564176728814173e-05,8.076531695244057,-0.07982501565837406,0.17823144283775583,-4.024697566489749,0.09311537176618932,0.18609883662871982,-0.0011983223487117833,2.2391332546813487e-06,18.916463497433316,0.337391928051617,9.510938980383798e-05,0.9965711840231278,0.007784136105328798
