roi_id,context_role,cycleNo,source_stem,cohort_role,validation_score,threshold_quantile,central_radius_fraction,baseline_fraction,baseline_frames,time_window,n_fit,timing_source,median_dt_s,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_D_um2_per_s,radius2_slope_bootstrap_p05_px2_per_s,radius2_slope_bootstrap_p50_px2_per_s,radius2_slope_bootstrap_p95_px2_per_s,apparent_D_bootstrap_p05_um2_per_s,apparent_D_bootstrap_p50_um2_per_s,apparent_D_bootstrap_p95_um2_per_s,positive_ci,n_bootstrap_slopes,centroid_path_px,centroid_net_px,npz_path
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.2,19,full,96,camera_timing,100.10614497999995,0.06493658721446992,0.38031755542240864,0.3800179748352307,-0.0002995805871779389,2.0482562923146043e-06,0.022336142578210483,0.0003801213896317478,0.09832715519571777,8.757996817115469e-07,-7.620845805721489e-05,0.00039978301501114144,0.0007149295908936306,-1.7558428736382313e-07,9.211000665856699e-07,1.6471977774189249e-06,False,200,17.58951416099403,0.23776742544453908,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.2,19,early70,67,camera_timing,100.10614497999995,0.06493658721446992,0.38031755542240864,0.4644997004194128,0.08418214499700416,1.8506442466029685e-05,0.7824336513452186,0.0009259730100574688,0.28335832623098456,2.1334418151724084e-06,0.00015164373830079875,0.000885925792832209,0.0015908179138184558,3.4938717304504034e-07,2.0411730266854096e-06,3.6652444734377224e-06,True,200,11.502100787306121,1.97577068501901,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.2,19,middle70,67,camera_timing,100.10614497999995,0.06493658721446992,0.4093768723786699,0.4318454164170162,0.022468544038346305,3.1993606568052677e-06,0.051106994689568475,0.00020950796602973472,0.026573746030045697,4.827063537325088e-07,-0.00012284583575657534,0.00018103171581548876,0.00045786118473278896,-2.830368055831496e-07,4.1709707323888613e-07,1.0549121696243457e-06,False,200,11.986040347169304,0.6456679296961585,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.2,19,late70,67,camera_timing,100.10614497999995,0.06493658721446992,0.45521270221689636,0.3800179748352307,-0.07519472738166566,-1.436246229996333e-05,0.6549122880706317,-0.00031502684286874294,0.050850202908414355,-7.258218459695837e-07,-0.0005401467773209995,-0.0001418968269514471,0.0002244988787294006,-1.2444981749475828e-06,-3.269302892961341e-07,5.17245416592539e-07,False,200,13.105445020527068,1.4914725558524582,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.1,10,full,96,camera_timing,100.10614497999995,0.06088287308812142,0.39228138739618956,0.3903273082559844,-0.0019540791402051783,1.7667450876414658e-06,0.018872051244828048,-0.0002089671770853635,0.022848838459811005,-4.814603760046775e-07,-0.0008356830156019047,-0.00031379695797210087,-6.338444020655072e-05,-1.9254136679467884e-06,-7.229881911677204e-07,-1.4603775023589287e-07,False,200,20.01106400178131,0.259236694141428,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.1,10,early70,67,camera_timing,100.10614497999995,0.06088287308812142,0.39228138739618956,0.4693453834880313,0.07706399609184172,1.7145134221133217e-05,0.7694638955674429,0.00022314413378284872,0.012928567385334988,5.141240842356834e-07,-0.0004951595802988306,0.00016480121659407786,0.0013749443146398625,-1.1408476730085057e-06,3.797020030327554e-07,3.1678717009302434e-06,False,200,13.718753377832618,1.6958730904782504,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.1,10,middle70,67,camera_timing,100.10614497999995,0.06088287308812142,0.41951636541279924,0.4364924279433317,0.016976062530532465,2.7921682305389225e-06,0.044086950419721216,-0.0008262734889460692,0.17261129689375287,-1.9037341185317433e-06,-0.001908216981474374,-0.0008839961776664176,-1.712621457722046e-05,-4.396531925316958e-06,-2.0367271933434263e-06,-3.945879838591594e-08,False,200,13.030121899102513,0.41808361531189236,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.1,10,late70,67,camera_timing,100.10614497999995,0.06088287308812142,0.4617733268197362,0.3903273082559844,-0.07144601856375182,-1.3737173992450216e-05,0.670083616993292,-0.0009467119082134802,0.20604196384802353,-2.1812242365238583e-06,-0.0018734150320771656,-0.0010796198800832196,-0.00028890942401381013,-4.3163482339057895e-06,-2.487444203711738e-06,-6.656473129278185e-07,False,200,13.779313406348246,1.6832809990601574,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.125,12,full,96,camera_timing,100.10614497999995,0.061217304319143295,0.3894723986321446,0.3870297997068881,-0.0024425989252565006,1.714102315695224e-06,0.017752165918461182,-0.00014739462568518803,0.011694241534407568,-3.3959721757867323e-07,-0.0008098303473453276,-0.00030099050586667163,4.480758838926298e-05,-1.8658491202836348e-06,-6.934821255168115e-07,1.032366836488619e-07,False,200,20.05767471598071,0.2847834711942439,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.55,0.125,12,early70,67,camera_timing,100.10614497999995,0.061217304319143295,0.3894723986321446,0.466047874938935,0.0765754763067904,1.709771861818815e-05,0.7680782463691364,0.0002224474883068419,0.013631028578347637,5.125190130589638e-07,-0.0005484929807477196,0.0001927049097157541,0.0015603773872956835,-1.263727827642746e-06,4.4399211198509744e-07,3.595109500329255e-06,False,200,13.892398725960835,1.6561938705296593,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
