feature,timebase_feature,n,spearman_rho,p_value,abs_rho
front_radius2_slope_px2_per_norm_time,strict_timebase_fraction,30,-0.11005554714853491,0.5626239473408639,0.11005554714853491
observable_tail_particle_mean_delta,strict_timebase_fraction,72,0.10976973459567481,0.35866933406910284,0.10976973459567481
front_kinetic_score,strict_timebase_fraction,72,0.10843107929572758,0.3645957706823883,0.10843107929572758
observable_tail_front_radius_q70_delta,h5_dt_max_to_median_ratio,72,-0.10822100474151093,0.36553120786259075,0.10822100474151093
transport_raw_score,h5_dt_max_to_median_ratio,72,0.10750731706036189,0.3687201095317642,0.10750731706036189
divergence_q90,roi_elapsed_to_h5_max_abs_error,72,0.10656654693521087,0.3729494434798276,0.10656654693521087
observable_tail_contrast_delta,roi_elapsed_to_h5_max_abs_error,72,-0.1064367855386383,0.37353509792138007,0.1064367855386383
transport_source_residual_score,h5_dt_max_to_median_ratio,72,-0.10484720843062452,0.38075448461475253,0.10484720843062452
observable_prefix_particle_mean_slope,roi_elapsed_to_h5_max_abs_error,72,0.1035820348140421,0.38656000829291814,0.1035820348140421
curl_mean,strict_timebase_fraction,72,-0.10173780279599129,0.3951167152336394,0.10173780279599129
divergence_mean,roi_elapsed_to_h5_max_abs_error,72,0.09978651396429486,0.40429100271510554,0.09978651396429486
curl_mean,h5_dt_max_to_median_ratio,72,0.09777521231742024,0.4138767122517036,0.09777521231742024
observable_tail_front_radius_q70_delta,strict_timebase_fraction,72,0.09772183689614954,0.41413287450712827,0.09772183689614954
radial_flow_mean,roi_elapsed_to_h5_max_abs_error,72,-0.09641271765340843,0.4204443474197492,0.09641271765340843
curl_q90,strict_timebase_fraction,72,-0.09638318159620228,0.4205873799971032,0.09638318159620228
strict_qc_priority_score,strict_timebase_fraction,17,0.09622504486493764,0.713335376872282,0.09622504486493764
qc_evidence_score,strict_timebase_fraction,17,0.09622504486493764,0.713335376872282,0.09622504486493764
front_evidence_score,strict_timebase_fraction,61,-0.09603063874883687,0.4616023679352416,0.09603063874883687
abs_radial_flow_mean_source_residual,strict_timebase_fraction,72,0.09504452629625502,0.4270992991866768,0.09504452629625502
apparent_transport_instability_score_source_residual,h5_dt_max_to_median_ratio,72,-0.09226035296308667,0.44082547693758617,0.09226035296308667
