roi_id,cycleNo,frame_index,frame_local_index,candidate_area_px,accepted_area_px,candidate_area_fraction_of_prior,accepted_area_fraction_of_prior,candidate_components,candidate_largest_component_fraction,accepted_components,accepted_largest_component_fraction,candidate_centroid_x,candidate_centroid_y,accepted_centroid_x,accepted_centroid_y,candidate_centroid_jump_from_history_px,fallback_used,fallback_reason,low_area_flag,high_area_flag,fragmented_flag,centroid_jump_flag
cycle58_rank6_obj29,58.0,2886,13,1575.0,1575.0,0.3356062220328148,0.3356062220328148,1,1.0,1,1.0,48.683174603174606,56.76698412698413,48.683174603174606,56.76698412698413,0.09576193981185877,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2896,14,1577.0,1577.0,0.3360323886639676,0.3360323886639676,1,1.0,1,1.0,48.53709575142676,56.729866835764106,48.53709575142676,56.729866835764106,0.07265388267646952,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2906,15,1559.0,1559.0,0.33219688898359256,0.33219688898359256,1,1.0,1,1.0,48.44259140474663,56.686337395766515,48.44259140474663,56.686337395766515,0.1582339393290216,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2915,16,1599.0,1599.0,0.3407202216066482,0.3407202216066482,1,1.0,1,1.0,48.60350218886804,57.19887429643527,48.60350218886804,57.19887429643527,0.45071085382695525,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2925,17,1599.0,1599.0,0.3407202216066482,0.3407202216066482,1,1.0,1,1.0,48.6447779862414,57.14884302689181,48.6447779862414,57.14884302689181,0.40233227719030196,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2935,18,1577.0,1577.0,0.3360323886639676,0.3360323886639676,1,1.0,1,1.0,48.40456563094483,56.90551680405834,48.40456563094483,56.90551680405834,0.21865827763800308,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2945,19,1572.0,1572.0,0.33496697208608567,0.33496697208608567,1,1.0,1,1.0,48.37722646310433,56.81743002544529,48.37722646310433,56.81743002544529,0.22202153208775038,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2954,20,1571.0,1571.0,0.33475388877050927,0.33475388877050927,1,1.0,1,1.0,48.54551241247613,56.85041374920433,48.54551241247613,56.85041374920433,0.024842126535673442,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2964,21,1585.0,1585.0,0.3377370551885787,0.3377370551885787,1,1.0,1,1.0,48.41955835962145,57.15205047318612,48.41955835962145,57.15205047318612,0.34062856317075624,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2974,22,1593.0,1593.0,0.33944172171318987,0.33944172171318987,1,1.0,1,1.0,48.44444444444444,57.06089139987445,48.44444444444444,57.06089139987445,0.18847558966673691,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2983,23,1574.0,1574.0,0.3353931387172384,0.3353931387172384,1,1.0,1,1.0,48.45108005082592,56.84879288437103,48.45108005082592,56.84879288437103,0.13462377638661208,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2993,24,1576.0,1576.0,0.3358193053483912,0.3358193053483912,1,1.0,1,1.0,48.58248730964467,56.97842639593909,48.58248730964467,56.97842639593909,0.1348097504201511,0,,0,0,0,0
cycle58_rank6_obj29,58.0,3003,25,1573.0,1573.0,0.33518005540166207,0.33518005540166207,1,1.0,1,1.0,48.37062937062937,57.02225047679593,48.37062937062937,57.02225047679593,0.11132914611644606,0,,0,0,0,0
