embedding_row_id,roi_id,cycleNo,source_stem,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis,mechanism_cluster,mechanism_label
balanced_future::cycle78_rank22_obj3,cycle78_rank22_obj3,78.0,9_c2_x10_010723,-0.0014271844069085327,0.13703072812755251,-1.0548240217089409,0.10892110596211274,-0.20257484300654605,2,echem_degraded_state_dominant
balanced_future::cycle84_rank23_obj3,cycle84_rank23_obj3,84.0,9_c2_x10_010723,-0.056597000189239764,0.1911243521927546,-0.5129076413270349,0.4538646395371679,0.01887108755341195,2,echem_degraded_state_dominant
balanced_future::cycle84_rank23_obj2,cycle84_rank23_obj2,84.0,9_c2_x10_010723,-0.44361875225480013,0.1911243521927546,-0.5129076413270349,0.4538646395371679,-0.07788435046297816,2,echem_degraded_state_dominant
balanced_future::cycle84_rank23_obj1,cycle84_rank23_obj1,84.0,9_c2_x10_010723,-0.7817007096792724,0.1911243521927546,-0.5129076413270349,0.4538646395371679,-0.1624048398190962,2,echem_degraded_state_dominant
balanced_future::cycle104_rank6_obj3,cycle104_rank6_obj3,104.0,11_c2_x10_050723,0.43522585473329617,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.3347600186569811,1,front_contraction_dominant
balanced_future::cycle104_rank6_obj2,cycle104_rank6_obj2,104.0,11_c2_x10_050723,0.9428716519238591,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.46167146795462183,1,front_contraction_dominant
balanced_future::cycle104_rank6_obj1,cycle104_rank6_obj1,104.0,11_c2_x10_050723,0.27543951667434646,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.29481343414224365,1,front_contraction_dominant
balanced_future::cycle108_rank21_obj3,cycle108_rank21_obj3,108.0,12_c2_x10_070723,0.057391129672858136,0.11060106771288436,-0.2141626830272918,0.7600707620887577,0.1784750691118021,2,echem_degraded_state_dominant
balanced_future::cycle108_rank21_obj1,cycle108_rank21_obj1,108.0,12_c2_x10_070723,-0.7244430041607446,0.11060106771288436,-0.2141626830272918,0.7600707620887577,-0.016983464346598587,2,echem_degraded_state_dominant
balanced_future::cycle108_rank21_obj2,cycle108_rank21_obj2,108.0,12_c2_x10_070723,-0.6587716557962051,0.11060106771288436,-0.2141626830272918,0.7600707620887577,-0.0005656272554637187,2,echem_degraded_state_dominant
balanced_future::cycle110_rank24_obj1,cycle110_rank24_obj1,110.0,12_c2_x10_070723,1.292290539803685,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3162374284151174,1,front_contraction_dominant
balanced_future::cycle110_rank24_obj3,cycle110_rank24_obj3,110.0,12_c2_x10_070723,1.2619123125745448,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3086428716078324,1,front_contraction_dominant
balanced_future::cycle110_rank24_obj2,cycle110_rank24_obj2,110.0,12_c2_x10_070723,0.45362140941573453,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.10657014581812978,2,echem_degraded_state_dominant
balanced_future::cycle129_rank7_obj1,cycle129_rank7_obj1,129.0,14_c2_x10_HighCOV_110723,-0.1501592040250905,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.2484908454753163,2,echem_degraded_state_dominant
balanced_future::cycle129_rank7_obj2,cycle129_rank7_obj2,129.0,14_c2_x10_HighCOV_110723,-0.13342765030163944,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.24430795704445352,2,echem_degraded_state_dominant
balanced_future::cycle129_rank7_obj3,cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,0.04643655222545138,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.19934190641268082,2,echem_degraded_state_dominant
balanced_future::cycle131_rank5_obj1,cycle131_rank5_obj1,131.0,15_c2_x5_HighCOV_120723,-1.5780207735153564,0.6900595041445794,0.10245632571020682,-1.0178709322980464,-0.4508439689896542,3,front_contraction_dominant
balanced_future::cycle131_rank5_obj3,cycle131_rank5_obj3,131.0,15_c2_x5_HighCOV_120723,-1.4560372896503264,0.6900595041445794,0.10245632571020682,-1.0178709322980464,-0.4203480980233967,3,front_contraction_dominant
balanced_future::cycle131_rank5_obj2,cycle131_rank5_obj2,131.0,15_c2_x5_HighCOV_120723,-1.3612948666912879,0.6900595041445794,0.10245632571020682,-1.0178709322980464,-0.39666249228363704,3,front_contraction_dominant
balanced_future::cycle139_rank11_obj1,cycle139_rank11_obj1,139.0,16_c2_x10_HighHighCOV_130723,-0.7823047087820768,0.34178752246736127,-0.11269441337601838,-0.40573069836756004,-0.23973557451457347,2,echem_degraded_state_dominant
balanced_future::cycle139_rank11_obj3,cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,-1.4808470767361304,0.34178752246736127,-0.11269441337601838,-0.40573069836756004,-0.4143711665030869,3,front_contraction_dominant
balanced_future::cycle139_rank11_obj2,cycle139_rank11_obj2,139.0,16_c2_x10_HighHighCOV_130723,-0.5117241134106508,0.34178752246736127,-0.11269441337601838,-0.40573069836756004,-0.172090425671717,2,echem_degraded_state_dominant
balanced_future::cycle140_rank9_obj3,cycle140_rank9_obj3,140.0,16_c2_x10_HighHighCOV_130723,0.2993729850910706,0.44706186934461567,0.17812137638990727,-0.26775182438423495,0.16420110161033963,1,front_contraction_dominant
balanced_future::cycle140_rank9_obj1,cycle140_rank9_obj1,140.0,16_c2_x10_HighHighCOV_130723,-0.10788348975878946,0.44706186934461567,0.17812137638990727,-0.26775182438423495,0.06238698289787464,1,front_contraction_dominant
balanced_future::cycle140_rank9_obj2,cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,-0.03802925296338088,0.44706186934461567,0.17812137638990727,-0.26775182438423495,0.07985054209672676,1,front_contraction_dominant
balanced_future::cycle143_rank10_obj3,cycle143_rank10_obj3,143.0,16_c2_x10_HighHighCOV_130723,-0.2842362110577968,0.9774439637280208,-0.44458290702582504,-0.11022011513555513,0.03460118262721097,1,front_contraction_dominant
balanced_future::cycle143_rank10_obj2,cycle143_rank10_obj2,143.0,16_c2_x10_HighHighCOV_130723,0.19292678669285643,0.9774439637280208,-0.44458290702582504,-0.11022011513555513,0.15389193206487423,1,front_contraction_dominant
balanced_future::cycle143_rank10_obj1,cycle143_rank10_obj1,143.0,16_c2_x10_HighHighCOV_130723,0.45404359698945457,0.9774439637280208,-0.44458290702582504,-0.11022011513555513,0.21917113463902377,1,front_contraction_dominant
balanced_future::cycle146_rank1_obj3,cycle146_rank1_obj3,146.0,17_c2_x10_HighHighCOV_150723,0.022299419000424352,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4574515470639956,1,front_contraction_dominant
balanced_future::cycle146_rank1_obj2,cycle146_rank1_obj2,146.0,17_c2_x10_HighHighCOV_150723,-0.04311049883718895,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4410990676045923,1,front_contraction_dominant
balanced_future::cycle146_rank1_obj1,cycle146_rank1_obj1,146.0,17_c2_x10_HighHighCOV_150723,-0.3893490887018414,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.35453942013842915,1,front_contraction_dominant
balanced_future::cycle147_rank3_obj3,cycle147_rank3_obj3,147.0,17_c2_x10_HighHighCOV_150723,-0.1636682321190404,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.14120344150422673,1,front_contraction_dominant
balanced_future::cycle147_rank3_obj1,cycle147_rank3_obj1,147.0,17_c2_x10_HighHighCOV_150723,-0.03771100424468965,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.17269274847281435,1,front_contraction_dominant
balanced_future::cycle147_rank3_obj2,cycle147_rank3_obj2,147.0,17_c2_x10_HighHighCOV_150723,-0.6220605180361939,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.026605370024938346,1,front_contraction_dominant
balanced_future::cycle148_rank18_obj1,cycle148_rank18_obj1,148.0,17_c2_x10_HighHighCOV_150723,0.4592081149366258,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.4179527815827335,1,front_contraction_dominant
balanced_future::cycle148_rank18_obj2,cycle148_rank18_obj2,148.0,17_c2_x10_HighHighCOV_150723,-0.05732632016951844,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.28881917280619746,1,front_contraction_dominant
balanced_future::cycle148_rank18_obj3,cycle148_rank18_obj3,148.0,17_c2_x10_HighHighCOV_150723,-0.46939311671486833,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.18580247366986,1,front_contraction_dominant
balanced_future::cycle149_rank20_obj3,cycle149_rank20_obj3,149.0,17_c2_x10_HighHighCOV_150723,-0.5834858664147489,-0.30371720108939326,0.01261126804883934,0.2509661942528551,-0.1559064013006119,2,echem_degraded_state_dominant
balanced_future::cycle149_rank20_obj1,cycle149_rank20_obj1,149.0,17_c2_x10_HighHighCOV_150723,-0.23442382685926844,-0.30371720108939326,0.01261126804883934,0.2509661942528551,-0.0686408914117418,2,echem_degraded_state_dominant
balanced_future::cycle149_rank20_obj2,cycle149_rank20_obj2,149.0,17_c2_x10_HighHighCOV_150723,0.2657450572611268,-0.30371720108939326,0.01261126804883934,0.2509661942528551,0.05640132961835699,2,echem_degraded_state_dominant
balanced_future::cycle150_rank13_obj1,cycle150_rank13_obj1,150.0,17_c2_x10_HighHighCOV_150723,-0.1200696574947581,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1020588344922801,0,rollout_difficulty_dominant
balanced_future::cycle150_rank13_obj2,cycle150_rank13_obj2,150.0,17_c2_x10_HighHighCOV_150723,0.01665850808906144,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1362408758882352,0,rollout_difficulty_dominant
balanced_future::cycle150_rank13_obj3,cycle150_rank13_obj3,150.0,17_c2_x10_HighHighCOV_150723,0.16603991117624245,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1735862266600305,0,rollout_difficulty_dominant
balanced_future::cycle151_rank14_obj1,cycle151_rank14_obj1,151.0,17_c2_x10_HighHighCOV_150723,-0.2765182334401768,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.24271360548193183,2,echem_degraded_state_dominant
balanced_future::cycle151_rank14_obj3,cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,0.050008494694033685,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.3243452875154844,2,echem_degraded_state_dominant
balanced_future::cycle151_rank14_obj2,cycle151_rank14_obj2,151.0,17_c2_x10_HighHighCOV_150723,-0.44278804856696663,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.20114615170023437,2,echem_degraded_state_dominant
balanced_future::cycle152_rank15_obj3,cycle152_rank15_obj3,152.0,17_c2_x10_HighHighCOV_150723,0.33565577050355655,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.3021642680201053,2,echem_degraded_state_dominant
balanced_future::cycle152_rank15_obj1,cycle152_rank15_obj1,152.0,17_c2_x10_HighHighCOV_150723,0.11908672199564636,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.24802200589312778,2,echem_degraded_state_dominant
balanced_future::cycle152_rank15_obj2,cycle152_rank15_obj2,152.0,17_c2_x10_HighHighCOV_150723,0.05116707109951374,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.23104209316909463,2,echem_degraded_state_dominant
balanced_future::cycle153_rank17_obj3,cycle153_rank17_obj3,153.0,17_c2_x10_HighHighCOV_150723,0.026977292477592108,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.03239929120918586,2,echem_degraded_state_dominant
balanced_future::cycle153_rank17_obj1,cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,0.29860360995673296,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.10030587057897106,2,echem_degraded_state_dominant
balanced_future::cycle153_rank17_obj2,cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,0.4763240821630075,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.14473598863053969,2,echem_degraded_state_dominant
balanced_future::cycle154_rank16_obj3,cycle154_rank16_obj3,154.0,17_c2_x10_HighHighCOV_150723,0.9784312503785165,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.4398864765451884,2,echem_degraded_state_dominant
balanced_future::cycle154_rank16_obj1,cycle154_rank16_obj1,154.0,17_c2_x10_HighHighCOV_150723,0.6701000869185583,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.36280368568019883,2,echem_degraded_state_dominant
balanced_future::cycle154_rank16_obj2,cycle154_rank16_obj2,154.0,17_c2_x10_HighHighCOV_150723,1.3284344398309453,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.5273872739082957,2,echem_degraded_state_dominant
balanced_future::cycle155_rank19_obj1,cycle155_rank19_obj1,155.0,17_c2_x10_HighHighCOV_150723,-0.6720363539678257,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.08083987610492857,2,echem_degraded_state_dominant
balanced_future::cycle155_rank19_obj2,cycle155_rank19_obj2,155.0,17_c2_x10_HighHighCOV_150723,-0.7561124114281634,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.05982086173984416,2,echem_degraded_state_dominant
balanced_future::cycle155_rank19_obj3,cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,0.3563267667597456,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.3379306562868214,2,echem_degraded_state_dominant
balanced_future::cycle158_rank12_obj2,cycle158_rank12_obj2,158.0,18_c2_xN_HighHighCOV_170723,-3.11216837426362,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.7429318017118915,3,front_contraction_dominant
balanced_future::cycle158_rank12_obj1,cycle158_rank12_obj1,158.0,18_c2_xN_HighHighCOV_170723,-2.9733487644643675,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.7082268992620784,3,front_contraction_dominant
balanced_future::cycle158_rank12_obj3,cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,-3.1434354652843166,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.7507485744670657,3,front_contraction_dominant
