embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis
transfer_ranked::cycle40_rank8_obj1,cycle40_rank8_obj1,40.0,5_c2_x10_260623,,,-0.1483356809794638,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.4452631216080803
transfer_ranked::cycle40_rank8_obj2,cycle40_rank8_obj2,40.0,5_c2_x10_260623,,,0.10629765224929665,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.3816047883008902
transfer_ranked::cycle40_rank8_obj4,cycle40_rank8_obj4,40.0,5_c2_x10_260623,,,0.23246402454519113,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.35006319522691653
transfer_ranked::cycle116_rank12_obj1,cycle116_rank12_obj1,116.0,13_c2_x6_100723,,,0.8904532891620314,,,-1.425606545549544,-0.26757662819375627
transfer_ranked::cycle116_rank12_obj3,cycle116_rank12_obj3,116.0,13_c2_x6_100723,,,0.09279737983868727,,,-1.425606545549544,-0.6664045828554284
transfer_ranked::cycle116_rank12_obj2,cycle116_rank12_obj2,116.0,13_c2_x6_100723,,,0.35054696494844184,,,-1.425606545549544,-0.537529790300551
transfer_ranked::cycle116_rank12_obj4,cycle116_rank12_obj4,116.0,13_c2_x6_100723,,,0.2364795974388169,,,-1.425606545549544,-0.5945634740553635
transfer_ranked::cycle146_rank2_obj4,cycle146_rank2_obj4,146.0,17_c2_x10_HighHighCOV_150723,,,-0.29926012912213884,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.3770616600333548
transfer_ranked::cycle146_rank2_obj3,cycle146_rank2_obj3,146.0,17_c2_x10_HighHighCOV_150723,,,0.022299419000424352,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4574515470639956
transfer_ranked::cycle146_rank2_obj2,cycle146_rank2_obj2,146.0,17_c2_x10_HighHighCOV_150723,,,-0.04311049883718895,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4410990676045923
transfer_ranked::cycle146_rank2_obj1,cycle146_rank2_obj1,146.0,17_c2_x10_HighHighCOV_150723,,,-0.3893490887018414,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.35453942013842915
transfer_ranked::cycle147_rank11_obj3,cycle147_rank11_obj3,147.0,17_c2_x10_HighHighCOV_150723,,,-0.1636682321190404,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.14120344150422673
transfer_ranked::cycle147_rank11_obj1,cycle147_rank11_obj1,147.0,17_c2_x10_HighHighCOV_150723,,,-0.03771100424468965,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.17269274847281435
transfer_ranked::cycle147_rank11_obj2,cycle147_rank11_obj2,147.0,17_c2_x10_HighHighCOV_150723,,,-0.6220605180361939,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.026605370024938346
transfer_ranked::cycle147_rank11_obj4,cycle147_rank11_obj4,147.0,17_c2_x10_HighHighCOV_150723,,,-0.7497954734936622,1.286147612422723,-0.20532762886236725,-0.3523379854244084,-0.005328368839428721
transfer_ranked::cycle148_rank9_obj4,cycle148_rank9_obj4,148.0,17_c2_x10_HighHighCOV_150723,,,-0.0797047732746346,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.28322455952991843
transfer_ranked::cycle148_rank9_obj1,cycle148_rank9_obj1,148.0,17_c2_x10_HighHighCOV_150723,,,0.4592081149366258,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.4179527815827335
transfer_ranked::cycle148_rank9_obj2,cycle148_rank9_obj2,148.0,17_c2_x10_HighHighCOV_150723,,,-0.05732632016951844,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.28881917280619746
transfer_ranked::cycle148_rank9_obj3,cycle148_rank9_obj3,148.0,17_c2_x10_HighHighCOV_150723,,,-0.46939311671486833,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.18580247366986
