cycleNo,pre_event_sampling_rank,event_relative_bin,selection_reason,sampling_priority,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,downsample,n_candidates,overlay_png
108,11,near_pre_event_1_8,source_fill,1.5778869845508625,8.0,22.0,True,1,1,1,0,0,12_c2_x10_070723,3,10,9042,2712,3616,2712,3615,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_108_pre11_12_c2_x10_070723_local3.png
110,12,near_pre_event_1_8,near_pre_event_1_8,1.6515259271937013,6.0,24.0,True,1,1,1,0,0,12_c2_x10_070723,5,10,9042,4521,5425,4521,5424,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_110_pre12_12_c2_x10_070723_local5.png
112,13,near_pre_event_1_8,source_fill,1.5626806641375839,4.0,26.0,True,1,1,1,0,0,12_c2_x10_070723,7,10,9042,6329,7233,6329,7232,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_112_pre13_12_c2_x10_070723_local7.png
114,14,near_pre_event_1_8,source_fill,1.5428379859893908,2.0,28.0,True,1,1,1,0,0,12_c2_x10_070723,9,10,9042,8137,9042,8137,9041,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_114_pre14_12_c2_x10_070723_local9.png
124,15,post_event_1_16,source_fill,0.418372959938422,32.0,8.0,False,0,0,1,1,0,14_c2_x10_HighCOV_110723,3,10,11902,3570,4760,3570,4759,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_124_pre15_14_c2_x10_HighCOV_110723_local3.png
126,16,post_event_1_16,post_event_1_16,0.75,30.0,10.0,True,0,0,1,1,0,14_c2_x10_HighCOV_110723,5,10,11902,5951,7141,5951,7140,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_126_pre16_14_c2_x10_HighCOV_110723_local5.png
128,17,post_event_1_16,source_fill,0.4317139035838704,28.0,12.0,False,0,0,1,1,0,14_c2_x10_HighCOV_110723,7,10,11902,8331,9521,8331,9520,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_128_pre17_14_c2_x10_HighCOV_110723_local7.png
130,18,post_event_1_16,source_fill,0.4281406144366088,26.0,14.0,False,0,0,1,1,0,14_c2_x10_HighCOV_110723,9,10,11902,10711,11902,10711,11901,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_130_pre18_14_c2_x10_HighCOV_110723_local9.png
133,19,far_pre_event_17_32,source_fill,0.4801272145713003,23.0,17.0,True,0,0,1,0,0,15_c2_x5_HighCOV_120723,2,5,6193,2477,3715,2477,3714,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_133_pre19_15_c2_x5_HighCOV_120723_local2.png
134,20,far_pre_event_17_32,far_pre_event_17_32,0.4802589707680553,22.0,18.0,True,0,0,1,0,0,15_c2_x5_HighCOV_120723,3,5,6193,3715,4954,3715,4953,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_134_pre20_15_c2_x5_HighCOV_120723_local3.png
138,21,far_pre_event_17_32,far_pre_event_17_32,0.9022758685809495,18.0,22.0,False,0,0,1,0,0,16_c2_x10_HighHighCOV_130723,2,10,12245,2449,3673,2449,3672,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_138_pre21_16_c2_x10_HighHighCOV_130723_local2.png
141,22,mid_pre_event_9_16,mid_pre_event_9_16,1.8753272755679675,15.0,25.0,False,0,1,1,0,0,16_c2_x10_HighHighCOV_130723,5,10,12245,6122,7347,6122,7346,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_141_pre22_16_c2_x10_HighHighCOV_130723_local5.png
143,23,mid_pre_event_9_16,source_fill,1.4850041697086993,13.0,27.0,True,0,1,1,0,0,16_c2_x10_HighHighCOV_130723,7,10,12245,8571,9796,8571,9795,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_143_pre23_16_c2_x10_HighHighCOV_130723_local7.png
144,24,mid_pre_event_9_16,source_fill,1.519913318614942,12.0,28.0,True,0,1,1,0,0,16_c2_x10_HighHighCOV_130723,8,10,12245,9796,11020,9796,11019,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_144_pre24_16_c2_x10_HighHighCOV_130723_local8.png
145,25,mid_pre_event_9_16,source_fill,1.5063726306024063,11.0,29.0,True,0,1,1,0,0,16_c2_x10_HighHighCOV_130723,9,10,12245,11020,12245,11020,12244,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_145_pre25_16_c2_x10_HighHighCOV_130723_local9.png
146,26,mid_pre_event_9_16,mid_pre_event_9_16,1.567533709517654,10.0,30.0,True,0,1,1,0,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_146_pre26_17_c2_x10_HighHighCOV_150723_local0.png
150,27,near_pre_event_1_8,near_pre_event_1_8,3.4495954395942436,6.0,34.0,True,1,1,1,0,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_150_pre27_17_c2_x10_HighHighCOV_150723_local4.png
151,28,near_pre_event_1_8,source_fill,1.6079203315516823,5.0,35.0,True,1,1,1,0,0,17_c2_x10_HighHighCOV_150723,5,10,12377,6188,7426,6188,7425,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_151_pre28_17_c2_x10_HighHighCOV_150723_local5.png
152,29,near_pre_event_1_8,source_fill,1.5886208199612977,4.0,36.0,True,1,1,1,0,0,17_c2_x10_HighHighCOV_150723,6,10,12377,7426,8663,7426,8662,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_152_pre29_17_c2_x10_HighHighCOV_150723_local6.png
154,30,near_pre_event_1_8,source_fill,1.5769252789025325,2.0,38.0,True,1,1,1,0,0,17_c2_x10_HighHighCOV_150723,8,10,12377,9901,11139,9901,11138,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_154_pre30_17_c2_x10_HighHighCOV_150723_local8.png
2,31,no_near_event_control,source_fill,0.12717422476736295,58.0,,True,0,0,0,0,0,2_c2_x14_200623,1,14,13648,974,1949,974,1948,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_2_pre31_2_c2_x14_200623_local1.png
