cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,pre_event_sampling_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_relative_bin,selection_reason,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
110,12_c2_x10_070723,5,12,12,1,23.03471399548354,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,near_pre_event_1_8,6.0,24.0,True,1,1,1,0,0,1346.7768595041323,202.54545454545453,336.6942148760331,50.63636363636363,121,6796.548828125,17.81061363220215,4521,5425,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_110_pre12_12_c2_x10_070723_local5.png
112,12_c2_x10_070723,7,13,13,1,24.199332988208194,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,4.0,26.0,True,1,1,1,0,0,840.25,97.91666666666667,210.0625,24.479166666666668,48,11418.2138671875,26.133630752563477,6329,7233,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_112_pre13_12_c2_x10_070723_local7.png
112,12_c2_x10_070723,7,13,13,2,23.08806596464201,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,4.0,26.0,True,1,1,1,0,0,1199.6571428571428,1123.0285714285715,299.9142857142857,280.75714285714287,70,9125.0146484375,20.911787033081055,6329,7233,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_112_pre13_12_c2_x10_070723_local7.png
114,12_c2_x10_070723,9,14,14,1,23.942180100195944,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,2.0,28.0,True,1,1,1,0,0,1343.7281553398059,205.35922330097088,335.93203883495147,51.33980582524272,103,9044.693359375,21.196462631225586,8137,9042,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_114_pre14_12_c2_x10_070723_local9.png
114,12_c2_x10_070723,9,14,14,2,23.740731379998923,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,2.0,28.0,True,1,1,1,0,0,1670.3333333333333,231.11111111111111,417.5833333333333,57.77777777777778,72,10013.48046875,22.64031219482422,8137,9042,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_114_pre14_12_c2_x10_070723_local9.png
124,14_c2_x10_HighCOV_110723,3,15,15,1,23.92572024499704,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,32.0,8.0,False,0,0,1,1,0,843.9245283018868,77.66037735849056,210.9811320754717,19.41509433962264,53,11193.2998046875,25.66951560974121,3570,4760,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_124_pre15_14_c2_x10_HighCOV_110723_local3.png
124,14_c2_x10_HighCOV_110723,3,15,15,2,22.913194214165536,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,32.0,8.0,False,0,0,1,1,0,1347.4820143884892,181.64028776978418,336.8705035971223,45.410071942446045,139,6108.63330078125,17.572914123535156,3570,4760,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_124_pre15_14_c2_x10_HighCOV_110723_local3.png
126,14_c2_x10_HighCOV_110723,5,16,16,2,23.468019468618884,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,30.0,10.0,True,0,0,1,1,0,842.1052631578947,79.43859649122807,210.52631578947367,19.859649122807017,57,10190.8544921875,24.630884170532227,5951,7141,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_126_pre16_14_c2_x10_HighCOV_110723_local5.png
126,14_c2_x10_HighCOV_110723,5,16,16,1,22.753093817165645,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,30.0,10.0,True,0,0,1,1,0,1352.3435582822085,180.85889570552146,338.0858895705521,45.214723926380366,163,5375.2314453125,16.614131927490234,5951,7141,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_126_pre16_14_c2_x10_HighCOV_110723_local5.png
128,14_c2_x10_HighCOV_110723,7,17,17,1,24.853258963123714,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,28.0,12.0,False,0,0,1,1,0,843.8222222222222,78.31111111111112,210.95555555555555,19.57777777777778,45,13038.6787109375,29.271812438964844,8331,9521,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_128_pre17_14_c2_x10_HighCOV_110723_local7.png
128,14_c2_x10_HighCOV_110723,7,17,17,2,22.77786593617878,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,28.0,12.0,False,0,0,1,1,0,1347.6809815950921,184.49079754601226,336.92024539877303,46.122699386503065,163,5383.86181640625,16.089723587036133,8331,9521,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_128_pre17_14_c2_x10_HighCOV_110723_local7.png
130,14_c2_x10_HighCOV_110723,9,18,18,1,24.205544897566106,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,26.0,14.0,False,0,0,1,1,0,842.4,78.56,210.6,19.64,50,11784.087890625,26.782550811767578,10711,11902,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_130_pre18_14_c2_x10_HighCOV_110723_local9.png
130,14_c2_x10_HighCOV_110723,9,18,18,2,23.106187879414815,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,26.0,14.0,False,0,0,1,1,0,1201.0746268656717,1104.955223880597,300.2686567164179,276.23880597014926,67,9732.701171875,21.957962036132812,10711,11902,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_130_pre18_14_c2_x10_HighCOV_110723_local9.png
133,15_c2_x5_HighCOV_120723,2,19,19,1,22.87831847926944,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,source_fill,23.0,17.0,True,0,0,1,0,0,841.8983050847457,78.23728813559322,210.47457627118644,19.559322033898304,59,10075.9150390625,22.637056350708008,2477,3715,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_133_pre19_15_c2_x5_HighCOV_120723_local2.png
133,15_c2_x5_HighCOV_120723,2,19,19,2,22.12968319579963,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,source_fill,23.0,17.0,True,0,0,1,0,0,1345.5777777777778,183.35555555555555,336.39444444444445,45.83888888888889,180,4940.9755859375,14.113113403320312,2477,3715,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_133_pre19_15_c2_x5_HighCOV_120723_local2.png
