roi_id,cycleNo,source_stem,event_relative_bin,near_pre_flag,future_any_drop_within_8cycles,future_any_drop_within_16cycles,n_frames,history_mask_area_px,manifest_object_area_px,median_history_iou,q10_history_iou,min_history_iou,centroid_jitter_median_px,centroid_jitter_q90_px,blur_ratio_median,blur_ratio_q10,fallback_frame_fraction,fallback_frame_count,history_area_to_manifest_area,transport_mechanism_score,qc_review_score,front_kinetic_score,fallback_frame_fraction_source_residual,centroid_jitter_q90_px_source_residual,blur_ratio_q10_source_residual,median_history_iou_source_residual
source_balanced_cycle2_rank31_obj1_2_c2_x14_200623,2.0,2_c2_x14_200623,no_near_event_control,0,0.0,0.0,96,73,73.0,0.6590909090909091,0.5051546391752577,0.47474747474747475,1.4529591394244115,2.478786042027087,0.7458127022108518,0.5511971122790821,0.25,24,1.0,0.6572212530339806,0.443359375,0.4434162621359223,0.13541666666666669,1.5367287035108084,-0.09374793321550001,-0.2120526187427596
source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,1,1.0,1.0,96,135,135.0,0.9148936170212766,0.8243243243243243,0.7647058823529411,0.288472654382144,1.1985330775112928,0.7431304412194331,0.5376468664919973,0.3958333333333333,38,1.0,0.6474751592839807,0.6027343749999999,0.4106037621359223,0.026041666666666685,-0.7081633491265309,-0.021629396044103633,0.25728347015879327
source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,34.0,4_c2_x10_240623,far_pre_event_17_32,0,0.0,0.0,96,136,136.0,0.9428571428571428,0.8316705967712679,0.7548387096774194,0.18315722418589653,1.1706658265742012,0.733163036852285,0.6025056112166265,0.3645833333333333,35,1.0,0.6474725045509708,0.377734375,0.3666868932038835,0.06770833333333331,0.13236121844190252,0.018191634317785477,0.05714285714285716
source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,1,1.0,1.0,96,68,65.0,0.6024096385542169,0.4777777777777778,0.46153846153846156,1.7121977301999785,2.0138418213569778,0.6859692999446961,0.5756921758047671,0.3645833333333333,35,1.0461538461538462,0.6343152685072816,0.841796875,0.8954641990291261,-0.005208333333333315,0.10714539471915407,0.016415913268666094,-0.055200508308266394
source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,36.0,5_c2_x10_260623,far_pre_event_17_32,0,0.0,0.0,96,56,55.0,0.5416666666666666,0.44155844155844154,0.4230769230769231,0.6360934496054658,0.8740619005118396,0.4775926776693058,0.333849349215064,0.71875,69,1.018181818181818,0.6340200242718448,0.492578125,0.7848300970873787,0.5729166666666667,0.21029091702081748,-0.267126636458662,-0.4013033661740558
source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,38.0,5_c2_x10_260623,far_pre_event_17_32,0,0.0,0.0,96,73,71.0,0.5824175824175825,0.4117647058823529,0.4117647058823529,1.9526823778683022,3.2019106493647174,0.6800998629948614,0.600975985673726,0.3125,30,1.028169014084507,0.6242259557038835,0.3941406249999999,0.397997572815534,0.16666666666666669,2.538139665873695,0.0,-0.36055245042314
source_balanced_cycle124_rank15_obj1_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,0,0.0,0.0,96,54,53.0,0.6212121212121212,0.3048780487804878,0.27380952380952384,1.253777679949481,2.8471053853480432,1.035901343617526,0.8621277420590467,0.0,0,1.0188679245283019,0.6241305749393204,0.426953125,0.6320691747572815,-0.15104166666666669,1.794215091702171,0.1744755922812975,-0.1527164502164503
source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,124,122.0,0.9069767441860465,0.656584436785779,0.4819277108433735,0.3139215610384327,1.6042465596656763,0.8398820800065967,0.3756970004933071,0.375,36,1.0163934426229508,0.6226920256877022,0.6364583333333333,0.6516535194174757,-0.03125,0.05253385802431376,-0.07386072391211818,0.11611832724067306
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,32,30.0,0.9375,0.9375,0.9375,0.13743685418725443,0.188561808316412,0.13996287491305437,0.0,0.6041666666666666,58,1.0666666666666667,0.6130859375,0.230078125,0.5375000000000001,-0.015625,-0.0301071327599457,0.0,0.005681818181818232
source_balanced_cycle2_rank31_obj2_2_c2_x14_200623,2.0,2_c2_x14_200623,no_near_event_control,0,0.0,0.0,96,110,109.0,0.8879310344827587,0.7380952380952381,0.6717557251908397,0.3570822550165566,0.6605673475296081,0.8085560002754184,0.4899966978768113,0.2604166666666667,25,1.0091743119266054,0.6089032792273463,0.6115885416666667,0.8319933252427185,0.14583333333333337,-0.2814899909866706,-0.15494834761777077,0.01678750664909001
