feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,base_roc_auc,base_average_precision,delta_roc_auc_vs_acquisition,delta_average_precision_vs_acquisition
front_plus_kinetic_plus_timebase,near_vs_far_pre,cycleNo,54,32,27,0.9289772727272727,0.9426757667535683,0.7302842878767151,3.682917473120541e-10,0.75,0.8370613297436802,0.1789772727272727,0.10561443700988815
timebase_context,near_vs_far_pre,cycleNo,54,32,27,0.8863636363636364,0.9365079365079365,0.6601976319862622,5.602067326455528e-08,0.75,0.8370613297436802,0.13636363636363635,0.09944660676425632
concordance_score,near_vs_far_pre,cycleNo,54,32,27,0.7357954545454545,0.7744686740830449,0.40141454234283,0.002626286057095807,0.75,0.8370613297436802,-0.014204545454545525,-0.06259265566063532
kinetic_family,near_vs_far_pre,cycleNo,54,32,27,0.7102272727272727,0.7797876206508898,0.35788766425746293,0.007883310751081604,0.75,0.8370613297436802,-0.03977272727272729,-0.05727370909279039
front_plus_kinetic_plus_qc,near_vs_far_pre,cycleNo,54,32,27,0.6690340909090908,0.7152790401398129,0.28776102734214926,0.03486015614732399,0.75,0.8370613297436802,-0.08096590909090917,-0.12178228960386728
front_plus_kinetic,near_vs_far_pre,cycleNo,54,32,27,0.6505681818181819,0.6954884143990159,0.2563249487249397,0.061357151346645974,0.75,0.8370613297436802,-0.09943181818181812,-0.14157291534466432
qc_family,near_vs_far_pre,cycleNo,54,32,27,0.44886363636363635,0.7233586116616868,-0.08941083614614678,0.5202574215710996,0.75,0.8370613297436802,-0.30113636363636365,-0.11370271808199339
front_family,near_vs_far_pre,cycleNo,54,32,27,0.29261363636363635,0.4823328970675186,-0.3530513444702,0.008829206748853952,0.75,0.8370613297436802,-0.45738636363636365,-0.3547284326761616
front_plus_kinetic_plus_timebase,near_vs_far_pre,source_stem,54,32,9,0.8664772727272727,0.9153568800111161,0.6248864445737418,4.404504158618138e-07,0.6434659090909091,0.7173482485709448,0.22301136363636365,0.19800863144017133
timebase_context,near_vs_far_pre,source_stem,54,32,9,0.7727272727272727,0.8620448179271709,0.4683296249187208,0.0003550836631004993,0.6434659090909091,0.7173482485709448,0.12926136363636365,0.1446965693562261
concordance_score,near_vs_far_pre,source_stem,54,32,9,0.7116477272727273,0.749438892954587,0.3603470325716731,0.0074370356688620454,0.6434659090909091,0.7173482485709448,0.06818181818181823,0.032090644383642175
front_plus_kinetic_plus_qc,near_vs_far_pre,source_stem,54,32,9,0.6775568181818181,0.8075533688133526,0.3022699867039383,0.02631738581762471,0.6434659090909091,0.7173482485709448,0.03409090909090906,0.09020512024240779
kinetic_family,near_vs_far_pre,source_stem,54,32,9,0.6761363636363636,0.7723520343818466,0.2998518268103068,0.02760499758390434,0.6434659090909091,0.7173482485709448,0.032670454545454586,0.05500378581090182
front_plus_kinetic,near_vs_far_pre,source_stem,54,32,9,0.6392045454545454,0.7477636715826751,0.23697966957588762,0.08446227944518037,0.6434659090909091,0.7173482485709448,-0.0042613636363636465,0.03041542301173028
qc_family,near_vs_far_pre,source_stem,54,32,9,0.4488636363636364,0.7342314776424557,-0.08831849306413916,0.5253875962323629,0.6434659090909091,0.7173482485709448,-0.19460227272727265,0.016883229071510852
front_family,near_vs_far_pre,source_stem,54,32,9,0.203125,0.44211406414581866,-0.5054532201844273,9.681388515908096e-05,0.6434659090909091,0.7173482485709448,-0.44034090909090906,-0.27523418442512615
kinetic_family,near_vs_mid_pre,cycleNo,54,32,27,0.7784090909090909,0.8543354448996886,0.47395933915177524,0.0002943237471970501,0.3039772727272727,0.49066626292280524,0.47443181818181823,0.36366918197688336
front_plus_kinetic_plus_timebase,near_vs_mid_pre,cycleNo,54,32,27,0.7784090909090909,0.767274071356193,0.47395933915177524,0.0002943237471970501,0.3039772727272727,0.49066626292280524,0.47443181818181823,0.2766078084333877
front_plus_kinetic_plus_qc,near_vs_mid_pre,cycleNo,54,32,27,0.7357954545454545,0.7911577454726413,0.40141454234283,0.002626286057095807,0.3039772727272727,0.49066626292280524,0.43181818181818177,0.30049148254983604
concordance_score,near_vs_mid_pre,cycleNo,54,32,27,0.7301136363636362,0.7668486294263788,0.391741902768304,0.003396043396758658,0.3039772727272727,0.49066626292280524,0.42613636363636354,0.27618236650357353
front_plus_kinetic,near_vs_mid_pre,cycleNo,54,32,27,0.7173295454545454,0.7798426937247402,0.3699784637256205,0.0058941507745381505,0.3039772727272727,0.49066626292280524,0.4133522727272727,0.289176430801935
timebase_context,near_vs_mid_pre,cycleNo,54,32,27,0.7045454545454546,0.7314081751581751,0.34887389949099884,0.009723941066043585,0.3039772727272727,0.49066626292280524,0.4005681818181819,0.2407419122353699
qc_family,near_vs_mid_pre,cycleNo,54,32,27,0.5795454545454546,0.7395684846680407,0.13808768533901683,0.3193618165180345,0.3039772727272727,0.49066626292280524,0.2755681818181819,0.24890222174523546
front_family,near_vs_mid_pre,cycleNo,54,32,27,0.4857954545454545,0.5978395857295231,-0.024181598936315066,0.8622072417592275,0.3039772727272727,0.49066626292280524,0.18181818181818177,0.10717332280671787
kinetic_family,near_vs_mid_pre,source_stem,54,32,8,0.7727272727272727,0.8521236301837929,0.4642866995772492,0.0004055123966965762,0.20454545454545453,0.4457656579506299,0.5681818181818181,0.406357972233163
front_plus_kinetic_plus_qc,near_vs_mid_pre,source_stem,54,32,8,0.7613636363636364,0.8433338198837131,0.4449414204281972,0.0007487642755208095,0.20454545454545453,0.4457656579506299,0.5568181818181819,0.39756816193308325
front_plus_kinetic,near_vs_mid_pre,source_stem,54,32,8,0.7428977272727272,0.8250457622511131,0.4135053418109876,0.0018841079246696023,0.20454545454545453,0.4457656579506299,0.5383522727272727,0.37928010430048326
concordance_score,near_vs_mid_pre,source_stem,54,32,8,0.6761363636363636,0.7062517100409345,0.2998804045398747,0.027589478194779263,0.20454545454545453,0.4457656579506299,0.4715909090909091,0.26048605209030457
front_plus_kinetic_plus_timebase,near_vs_mid_pre,source_stem,54,32,8,0.6122159090909091,0.7154230746117688,0.19184068847487037,0.16462137495618265,0.20454545454545453,0.4457656579506299,0.40767045454545453,0.2696574166611389
qc_family,near_vs_mid_pre,source_stem,54,32,8,0.5873579545454546,0.7821379544799681,0.1494448971819461,0.28078134508353314,0.20454545454545453,0.4457656579506299,0.38281250000000006,0.33637229652933825
front_family,near_vs_mid_pre,source_stem,54,32,8,0.3920454545454546,0.5389170539166296,-0.18379766729863287,0.18338840304304266,0.20454545454545453,0.4457656579506299,0.18750000000000006,0.0931513959659997
timebase_context,near_vs_mid_pre,source_stem,54,32,8,0.2897727272727273,0.5181878306878307,-0.3625824997736728,0.007050636352673337,0.20454545454545453,0.4457656579506299,0.08522727272727276,0.07242217273720081
front_plus_kinetic_plus_timebase,near_vs_post_control,cycleNo,84,32,42,0.7824519230769232,0.773294949691725,0.47518564333085644,4.9380741197738095e-06,0.6802884615384616,0.5511056806925352,0.10216346153846168,0.22218926899918978
kinetic_family,near_vs_post_control,cycleNo,84,32,42,0.7451923076923077,0.7095175552397608,0.4125015797425307,9.65464594521251e-05,0.6802884615384616,0.5511056806925352,0.06490384615384615,0.1584118745472256
front_plus_kinetic_plus_qc,near_vs_post_control,cycleNo,84,32,42,0.7259615384615384,0.7005094908224125,0.38014851466468513,0.0003613557098550456,0.6802884615384616,0.5511056806925352,0.04567307692307687,0.14940381012987736
