center_cycle,feature,window_cycles,n_pre,n_post,n_current,median_pre,median_current,median_post,post_minus_pre,post_minus_pre_iqr_scaled,current_minus_pre,abs_scaled_shift,feature_scale_iqr_or_std,rank_abs_shift_desc,percentile_abs_shift
86.0,max_abs_delta_prev_rolling5_slope,4,2,2,1,-0.01776860617255433,0.004526283383360265,0.004355518356037878,0.02212412452859221,1.2806845285332233,0.022294889555914597,1.2806845285332233,0.017275233701722875,13.0,0.8378378378378378
116.0,frames_percentile,8,4,3,1,0.1292134831460674,0.0112359550561797,0.7415730337078652,0.6123595505617978,1.2528735632183907,-0.11797752808988769,1.2528735632183907,0.4887640449438203,3.0,0.9753086419753086
116.0,cycle_state_pc2,8,4,3,1,0.32956329021250885,-1.2460533610577464,-1.452110558755744,-1.7816738489682526,-1.2400229554875777,-1.5756166512702552,1.2400229554875777,1.4368071502899697,14.0,0.8395061728395061
116.0,frames_percentile,12,6,7,1,0.1179775280898876,0.0112359550561797,0.7191011235955056,0.601123595505618,1.2298850574712643,-0.10674157303370789,1.2298850574712643,0.4887640449438203,2.0,0.9876543209876543
116.0,shape_V_range_rolling5_slope,12,6,7,1,0.0017422249999999634,0.030267949999999738,0.009918525773196084,0.008176300773196121,1.227625180458203,0.028525724999999776,1.227625180458203,0.006660258280254867,22.0,0.7123287671232876
116.0,pos_dqdv_abs_integral_proxy_rolling5_slope,8,4,3,1,-0.0027947780919386476,-0.0077079660795085336,0.000499909543924324,0.003294687635862972,1.2131124976547631,-0.004913187987569886,1.2131124976547631,0.002715896210971688,15.0,0.8082191780821918
116.0,state_step_norm,8,4,3,1,2.6129420501496763,13.563520693660344,5.377857593038353,2.764915542888677,1.2039130454228837,10.950578643510667,1.2039130454228837,2.296607345024224,19.0,0.775
116.0,cycle_state_pc1_rolling5_slope,8,4,3,1,0.5107764006199621,0.8733442227516102,0.014270348767409171,-0.4965060518525529,-1.1642327250429116,0.36256782213164807,1.1642327250429116,0.42646632513637045,23.0,0.7215189873417721
116.0,degradation_state_axis_rolling5_slope,8,4,3,1,-0.5107764006199621,-0.8733442227516102,-0.014270348767409171,0.4965060518525529,1.1642327250429116,-0.36256782213164807,1.1642327250429116,0.42646632513637045,23.0,0.7215189873417721
86.0,shape_dVdt_abs_p95,4,2,2,1,0.0035477317463648503,0.0096450651383918,0.0096403557515742,0.00609262400520935,1.1619162173879753,0.006097333392026949,1.1619162173879753,0.005243600109916499,2.0,0.9855072463768116
86.0,particle_norm_cv,12,6,6,1,0.06877142924053001,0.0470781101932601,0.12643675459750514,0.05766532535697513,1.1521265497603679,-0.021693319047269906,1.1521265497603679,0.050051207802622906,8.0,0.9074074074074074
116.0,all_dq_abs_entropy_delta_prev,8,4,3,1,0.006790556928681468,-0.0005882719182861429,0.002031180251508058,-0.00475937667717341,-1.1256646877166585,-0.007378828846967611,1.1256646877166585,0.00422805896738887,7.0,0.9166666666666666
86.0,shape_I_abs_mean_mA,12,6,6,1,0.500889,0.500889,0.5008889999999999,-1.1102230246251565e-16,-1.125,0.0,1.125,9.868649107779169e-17,1.0,0.8904109589041096
86.0,shape_I_abs_mean_mA_rolling5_slope,8,4,4,1,-1.7761910042931326e-17,-1.4297833597671346e-17,1.279813714618951e-17,3.056004718912084e-17,1.1079710163631202,3.4640764452599802e-18,1.1079710163631202,2.7581991530277776e-17,5.0,0.9452054794520548
116.0,cycle_state_pc2_rolling5_slope,8,4,3,1,0.14549828738105852,-0.19325956654346416,-0.2092589490982957,-0.3547572364793542,-1.0888965459507367,-0.3387578539245227,1.0888965459507367,0.32579517108267503,20.0,0.759493670886076
86.0,cycle_state_pc1_rolling5_slope,8,4,4,1,0.18250829045625883,-0.2770398288394607,-0.281724068548825,-0.4642323590050838,-1.088555723260534,-0.45954811929571954,1.088555723260534,0.42646632513637045,24.0,0.7088607594936709
86.0,degradation_state_axis_rolling5_slope,8,4,4,1,-0.18250829045625883,0.2770398288394607,0.281724068548825,0.4642323590050838,1.088555723260534,0.45954811929571954,1.088555723260534,0.42646632513637045,24.0,0.7088607594936709
86.0,cycle_state_pc2_rolling5_slope,4,2,2,1,0.14374706314658992,-0.06744254550022151,-0.20949925507047087,-0.35324631821706076,-1.0842589134859204,-0.2111896086468114,1.0842589134859204,0.32579517108267503,32.0,0.5866666666666667
86.0,n_points_rolling5_slope,4,2,2,1,-4062.0249999999855,471.5499999999942,3754.374999999981,7816.399999999967,1.0767800194240247,4533.57499999998,1.0767800194240247,7259.050000000001,22.0,0.6956521739130435
86.0,cycle_state_pc1_rolling5_slope,4,2,2,1,0.06313240193751031,-0.2770398288394607,-0.3917603367574808,-0.4548927386949911,-1.066655704995068,-0.340172230776971,1.066655704995068,0.42646632513637045,28.0,0.64
86.0,degradation_state_axis_rolling5_slope,4,2,2,1,-0.06313240193751031,0.2770398288394607,0.3917603367574808,0.4548927386949911,1.066655704995068,0.340172230776971,1.066655704995068,0.42646632513637045,28.0,0.64
116.0,n_frames,8,4,3,1,900.5,892.0,1189.0,288.5,1.0266903914590748,-8.5,1.0266903914590748,281.0,3.0,0.9753086419753086
116.0,n_frames,12,6,7,1,900.0,892.0,1188.0,288.0,1.0249110320284698,-8.0,1.0249110320284698,281.0,2.0,0.9876543209876543
116.0,all_dq_abs_total_mAh,12,6,7,1,1.2600647361819899,1.4993666984605794,1.492855480888931,0.23279074470694106,1.0159479284673871,0.23930196227858946,1.0159479284673871,0.22913649231818267,6.0,0.9315068493150684
116.0,cycle_state_pc2,12,6,7,1,0.0030367212574225477,-1.2460533610577464,-1.452110558755744,-1.4551472800131664,-1.012764503377851,-1.249090082315169,1.012764503377851,1.4368071502899697,22.0,0.7407407407407407
86.0,all_dq_abs_total_mAh_rolling5_slope,12,6,6,1,-0.0011648476709095771,-0.000990666364131937,0.0002190027027387971,0.0013838503736483742,1.0040839998630688,0.00017418130677764022,1.0040839998630688,0.0013782217163475325,22.0,0.7123287671232876
86.0,shape_I_abs_mean_mA_rolling5_slope,4,2,2,1,-1.4886447773429206e-17,-1.4297833597671346e-17,1.279813714618951e-17,2.7684584919618717e-17,1.00371957874138,5.886141757578609e-19,1.00371957874138,2.7581991530277776e-17,8.0,0.8985507246376812
86.0,mean_abs_delta_prev_delta_prev,4,2,2,1,0.0072914261525437,0.0894590677031221,-0.04088146822648095,-0.04817289437902465,-0.9849004894391953,0.0821676415505784,0.9849004894391953,0.0489114330793504,10.0,0.88
86.0,shape_V_mean_delta_prev,4,2,2,1,-0.0034697268813583815,-0.00019445089414649175,0.002723333165211006,0.0061930600465693875,0.9779143937419086,0.0032752759872118897,0.9779143937419086,0.006332926569239006,17.0,0.7647058823529411
116.0,max_abs_delta_prev,8,4,3,1,0.05594679186228485,0.2622950819672129,0.1098591549295776,0.053912363067292746,0.9704225352112685,0.20634829010492806,0.9704225352112685,0.05555555555555561,21.0,0.75
116.0,n_points_delta_prev,8,4,3,1,-17294.0,9664.0,-5438.0,11856.0,0.9616936710400908,26958.0,0.9616936710400908,12328.25,19.0,0.75
116.0,shape_V_mean,12,6,7,1,3.8290174887699076,3.903938643271297,3.923187928486056,0.09417043971614847,0.9579562677450258,0.07492115450138925,0.9579562677450258,0.09830348512445175,1.0,1.0
86.0,particle_norm_cv_rolling5_slope,8,4,4,1,0.0045770833961199485,-0.004926810390905481,0.011131738318794736,0.006554654922674787,0.945548133802103,-0.00950389378702543,0.945548133802103,0.0069321218966591856,23.0,0.7215189873417721
86.0,cycle_state_pc2_delta_prev,8,4,4,1,0.5348892257165592,-0.6217435570210383,-0.33959092298194515,-0.8744801486985043,-0.9452089391623126,-1.1566327827375975,0.9452089391623126,0.9251712636927752,13.0,0.85
116.0,capacity_mAh,12,6,7,1,0.6264478127679841,0.824414588297882,0.8246261548736477,0.19817834210566354,0.9298039550566459,0.19796677552989783,0.9298039550566459,0.21313992162314477,4.0,0.958904109589041
116.0,discharge_capacity_mAh,12,6,7,1,0.6264478127679841,0.824414588297882,0.8246261548736477,0.19817834210566354,0.9298039550566459,0.19796677552989783,0.9298039550566459,0.21313992162314477,4.0,0.958904109589041
86.0,cycle_state_pc2,4,2,2,1,-0.13140584773113426,-1.1495673212394624,-1.4621488919947403,-1.3307430442636061,-0.926180694462052,-1.0181614735083282,0.926180694462052,1.4368071502899697,23.0,0.7142857142857143
116.0,all_dq_abs_highV_frac,12,6,7,1,0.25613564431299907,0.350811229295026,0.3511691387374401,0.09503349442444103,0.9212019736720366,0.09467558498202694,0.9212019736720366,0.10316249545756462,6.0,0.9315068493150684
