task,feature_set,target,n_eval,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
regression,learned_residual,learned_residual_mse_mean,172,34,,,,0.9992712375871595,4.789530378321869e-243,0.9989815347406044,6.3214032399363735e-06,,,,
regression,learned_all,learned_residual_mse_mean,172,34,,,,0.9897477986776144,1.281705711038232e-145,0.9962601984092141,1.5100457838090307e-05,,,,
regression,handcrafted_scalar,learned_residual_mse_mean,172,34,,,,0.8553607079136757,1.966758113653636e-50,0.8621995365213853,0.00010324066064290144,,,,
regression,pca_video,learned_residual_mse_mean,172,34,,,,0.22995991806729377,0.0024079013498750764,-5.389472537299619,0.0005150497263100757,,,,
regression,learned_plus_handcrafted,learned_residual_mse_mean,172,34,,,,0.9655311887907378,2.6801440513106212e-101,0.9878999241272794,3.0204104570400913e-05,,,,
regression,learned_latent,learned_residual_mse_last_minus_first,172,34,,,,0.27545922055440186,0.0002549023570845621,-0.2492439147659855,0.0001808107668883844,,,,
regression,learned_residual,learned_residual_mse_last_minus_first,172,34,,,,0.9283336458285428,5.757786561395093e-75,0.9951652388461946,5.974658827147113e-06,,,,
regression,learned_all,learned_residual_mse_last_minus_first,172,34,,,,0.8548701493962946,2.565805201617793e-50,0.9878253116308637,1.5220760721709502e-05,,,,
regression,handcrafted_scalar,learned_residual_mse_last_minus_first,172,34,,,,0.1913001333705969,0.011942320921570814,-0.7345628149373151,0.00020915842867079624,,,,
regression,pca_video,learned_residual_mse_last_minus_first,172,34,,,,-0.21835868082211005,0.004006188202909659,-1.96620875426466,0.00021196255438224126,,,,
regression,learned_plus_handcrafted,learned_residual_mse_last_minus_first,172,34,,,,0.76833845707554,9.003946678847482e-35,0.9580074821912792,3.199410334946265e-05,,,,
regression,learned_latent,true_residual_energy_mean,172,34,,,,0.7945432440304572,1.1267226728950646e-38,0.6869103138006247,0.00016491620940171247,,,,
regression,learned_residual,true_residual_energy_mean,172,34,,,,0.9993066144033169,6.982055080857531e-245,0.9989739083212477,6.302557918626077e-06,,,,
regression,learned_all,true_residual_energy_mean,172,34,,,,0.9898020431290557,8.183422915932356e-146,0.996237819326106,1.5139613285899771e-05,,,,
regression,handcrafted_scalar,true_residual_energy_mean,172,34,,,,0.8552640112828459,2.072746098052742e-50,0.8621720415092811,0.00010336501353603298,,,,
regression,pca_video,true_residual_energy_mean,172,34,,,,0.23025000795978362,0.002376680069185022,-5.38772357598544,0.0005155072015254186,,,,
regression,learned_plus_handcrafted,true_residual_energy_mean,172,34,,,,0.9654203414334449,3.5046857979975964e-101,0.987895263425821,3.0244908217812968e-05,,,,
