feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
physics_no_selection_qc,random_forest,0.6145833333333333,0.59375,0.6577556702556702,4,52
all_physics_plus_qc,logistic_l2,0.41666666666666663,0.390625,0.4632295944795945,4,53
all_physics_plus_qc,random_forest,0.3177083333333333,0.29166666666666663,0.40249877437377435,4,53
physics_no_selection_qc,logistic_l2,0.44791666666666663,0.48958333333333337,0.5295785233285233,4,53
physics_no_selection_qc,random_forest,0.26041666666666663,0.3020833333333333,0.4082464988714989,4,53
all_physics_plus_qc,logistic_l2,0.5833333333333334,0.640625,0.6259755291005291,4,54
all_physics_plus_qc,random_forest,0.5052083333333333,0.625,0.6824252136752136,4,54
physics_no_selection_qc,logistic_l2,0.5677083333333334,0.6354166666666667,0.6395743145743145,4,54
physics_no_selection_qc,random_forest,0.5572916666666666,0.6302083333333334,0.6986988705738706,4,54
all_physics_plus_qc,logistic_l2,0.5572916666666666,0.609375,0.6488183113183112,4,55
all_physics_plus_qc,random_forest,0.4427083333333333,0.47395833333333337,0.5715784215784215,4,55
physics_no_selection_qc,logistic_l2,0.5729166666666666,0.6145833333333333,0.6342515123765123,4,55
physics_no_selection_qc,random_forest,0.4895833333333333,0.4739583333333333,0.5639786139786139,4,55
all_physics_plus_qc,logistic_l2,0.5260416666666666,0.515625,0.5724139286639287,4,56
all_physics_plus_qc,random_forest,0.546875,0.5104166666666666,0.5412302974802975,4,56
physics_no_selection_qc,logistic_l2,0.578125,0.5104166666666667,0.5172086015836016,4,56
physics_no_selection_qc,random_forest,0.44791666666666663,0.4479166666666667,0.48864318551818553,4,56
all_physics_plus_qc,logistic_l2,0.5260416666666666,0.5677083333333334,0.5574239417989417,4,57
all_physics_plus_qc,random_forest,0.46354166666666663,0.40104166666666663,0.49882432382432385,4,57
physics_no_selection_qc,logistic_l2,0.546875,0.53125,0.5731481481481482,4,57
physics_no_selection_qc,random_forest,0.4895833333333333,0.40625,0.5059987466237467,4,57
all_physics_plus_qc,logistic_l2,0.49479166666666663,0.46875,0.5586534992784993,4,58
all_physics_plus_qc,random_forest,0.5885416666666666,0.6770833333333333,0.7359570984570984,4,58
physics_no_selection_qc,logistic_l2,0.53125,0.5364583333333334,0.5733643671143671,4,58
physics_no_selection_qc,random_forest,0.6197916666666667,0.6927083333333334,0.758857461982462,4,58
all_physics_plus_qc,logistic_l2,0.4375,0.41666666666666663,0.4936393467643468,4,59
all_physics_plus_qc,random_forest,0.484375,0.3697916666666667,0.44634798072298076,4,59
physics_no_selection_qc,logistic_l2,0.4322916666666667,0.35416666666666663,0.46317848817848817,4,59
physics_no_selection_qc,random_forest,0.43749999999999994,0.38541666666666663,0.47138104950604953,4,59
all_physics_plus_qc,logistic_l2,0.5833333333333334,0.6666666666666667,0.6552486864986865,4,60
all_physics_plus_qc,random_forest,0.5364583333333333,0.484375,0.5596493783993783,4,60
physics_no_selection_qc,logistic_l2,0.5364583333333334,0.6145833333333333,0.6545570170570171,4,60
physics_no_selection_qc,random_forest,0.5572916666666666,0.5208333333333334,0.5798593767343767,4,60
all_physics_plus_qc,logistic_l2,0.5520833333333333,0.6145833333333334,0.6525716181966181,4,61
all_physics_plus_qc,random_forest,0.5677083333333334,0.65625,0.6608225108225108,4,61
physics_no_selection_qc,logistic_l2,0.5104166666666666,0.6145833333333334,0.6452737077737077,4,61
physics_no_selection_qc,random_forest,0.546875,0.6302083333333333,0.6119633838383838,4,61
all_physics_plus_qc,logistic_l2,0.46354166666666663,0.49479166666666663,0.563643648018648,4,62
all_physics_plus_qc,random_forest,0.5833333333333333,0.5,0.5751105376105377,4,62
physics_no_selection_qc,logistic_l2,0.44791666666666663,0.484375,0.5300352425352426,4,62
physics_no_selection_qc,random_forest,0.5625,0.53125,0.5669490231990232,4,62
all_physics_plus_qc,logistic_l2,0.515625,0.4895833333333333,0.5782415501165501,4,63
all_physics_plus_qc,random_forest,0.5208333333333333,0.47916666666666663,0.5417160385910387,4,63
physics_no_selection_qc,logistic_l2,0.4895833333333333,0.41145833333333326,0.5230031542531542,4,63
physics_no_selection_qc,random_forest,0.515625,0.4739583333333333,0.5218878343878344,4,63
all_physics_plus_qc,logistic_l2,0.53125,0.5208333333333334,0.5569317256817257,4,64
all_physics_plus_qc,random_forest,0.5416666666666666,0.49479166666666663,0.5932322307322306,4,64
physics_no_selection_qc,logistic_l2,0.53125,0.43749999999999994,0.49452341639841635,4,64
physics_no_selection_qc,random_forest,0.5729166666666666,0.5208333333333334,0.5902176527176527,4,64
all_physics_plus_qc,logistic_l2,0.578125,0.6458333333333334,0.7110958485958485,4,65
all_physics_plus_qc,random_forest,0.5989583333333333,0.625,0.6750927313427313,4,65
physics_no_selection_qc,logistic_l2,0.5625,0.5677083333333334,0.626438492063492,4,65
physics_no_selection_qc,random_forest,0.5625,0.5677083333333334,0.6299435518185518,4,65
all_physics_plus_qc,logistic_l2,0.5052083333333333,0.43229166666666663,0.5183887871387871,4,66
all_physics_plus_qc,random_forest,0.609375,0.5677083333333333,0.6324593230843231,4,66
physics_no_selection_qc,logistic_l2,0.4270833333333333,0.40104166666666663,0.48730887168387166,4,66
physics_no_selection_qc,random_forest,0.578125,0.578125,0.6256125818625818,4,66
all_physics_plus_qc,logistic_l2,0.625,0.6614583333333333,0.6470416157916158,4,67
all_physics_plus_qc,random_forest,0.671875,0.6822916666666667,0.6612777269027268,4,67
physics_no_selection_qc,logistic_l2,0.515625,0.5625,0.5909339503089502,4,67
physics_no_selection_qc,random_forest,0.48958333333333337,0.546875,0.5765181577681577,4,67
all_physics_plus_qc,logistic_l2,0.59375,0.6614583333333333,0.6773220991970992,4,68
all_physics_plus_qc,random_forest,0.5572916666666666,0.71875,0.6977603415103415,4,68
physics_no_selection_qc,logistic_l2,0.5364583333333333,0.640625,0.6619796869796869,4,68
