target,feature_family,method,n_features,n_eval,n_cycles,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_raw_source_eta2,max_raw_source_eta2
clean_pre16_vs_post_control,object_context_guardrail,source_mean_resid_2,6,106,53,13,54,0.3974358974358974,0.4381117371926289,-0.17762251730161466,0.06852086789452434,0.22894839467100794,0.40127128174606674
clean_pre16_vs_post_control,echem_context,source_confound_filter_0.25,7,106,53,13,54,0.3176638176638177,0.43167232473032274,-0.3158155318644107,0.0009744780829720026,0.5726095672971339,1.0
clean_pre16_vs_post_control,echem_context,raw_standard,7,106,53,13,54,0.28490028490028485,0.4148999724119809,-0.372563635246297,8.394050436468584e-05,0.5726095672971339,1.0
near_vs_far_pre,consensus_visual_qc,raw_standard,5,54,27,9,32,0.9914772727272728,0.9938330789847667,0.8366833231965013,3.3081997864987734e-15,0.5492070276382893,0.8178661411009865
near_vs_far_pre,echem_context,source_mean_resid_2,7,54,27,9,32,0.9204545454545454,0.9365436136575842,0.7161439365533564,1.1440854998103655e-09,0.5726095672971339,1.0
near_vs_far_pre,consensus_visual_qc,source_confound_filter_0.25,5,54,27,9,32,0.8835227272727272,0.9139727089656384,0.6529031712805067,8.768175214451068e-08,0.5492070276382893,0.8178661411009865
near_vs_far_pre,no_kinetics_signal,raw_standard,31,54,27,9,32,0.8181818181818182,0.8718298465057055,0.5416678161734575,2.338489354132512e-05,0.2593265120947612,1.0
near_vs_far_pre,no_kinetics_signal,source_mean_resid_2,31,54,27,9,32,0.7102272727272727,0.7229005277323545,0.35788766425746293,0.007883310751081604,0.2593265120947612,1.0
near_vs_far_pre,object_context_guardrail,source_mean_resid_2,6,54,27,9,32,0.6974431818181818,0.742583861692824,0.33612422521477936,0.01295621045994855,0.22894839467100794,0.40127128174606674
near_vs_far_pre,all_signal,source_mean_resid_2,93,54,27,9,32,0.6747159090909091,0.7979115768357157,0.29743366691667533,0.028944936766243365,0.2689049188707663,1.0
near_vs_far_pre,object_context_guardrail,raw_standard,6,54,27,9,32,0.640625,0.7118339573227247,0.23939782946951912,0.08124709866691497,0.22894839467100794,0.40127128174606674
near_vs_far_pre,all_signal,raw_standard,93,54,27,9,32,0.6321022727272727,0.7930090667904224,0.22488887010773012,0.10206196591898738,0.2689049188707663,1.0
near_vs_far_pre,object_context_guardrail,source_confound_filter_0.25,6,54,27,9,32,0.6264204545454546,0.6787506544799857,0.21521623053320407,0.11808055201685128,0.22894839467100794,0.40127128174606674
near_vs_far_pre,no_kinetics_signal,source_confound_filter_0.25,31,54,27,9,32,0.5625,0.706407953685871,0.1063990353197863,0.4438234921573496,0.2593265120947612,1.0
near_vs_far_pre,phase_kinetics,source_mean_resid_2,64,54,27,9,32,0.4914772727272727,0.7000234051021299,-0.014508959361789038,0.9170667284716285,0.26514119248961204,0.7928851946242187
near_vs_far_pre,all_signal,source_confound_filter_0.25,93,54,27,9,32,0.47869318181818177,0.6977477773442166,-0.03627239840447259,0.7945588048725725,0.2689049188707663,1.0
near_vs_far_pre,phase_kinetics,raw_standard,64,54,27,9,32,0.47301136363636365,0.6484588781699847,-0.04594503797899862,0.7414755742103915,0.26514119248961204,0.7928851946242187
near_vs_far_pre,phase_kinetics,source_confound_filter_0.25,64,54,27,9,32,0.4375,0.6415063467370146,-0.1063990353197863,0.4438234921573496,0.26514119248961204,0.7928851946242187
near_vs_far_pre,front_echem_residual,source_mean_resid_2,19,54,27,9,32,0.3963068181818182,0.5343943452638588,-0.1765256722351,0.20163915502232352,0.06762209292980063,0.20451472302614684
near_vs_far_pre,kinetics_plus_front_echem,raw_standard,88,54,27,9,32,0.39488636363636365,0.6182115221547912,-0.17894383212873147,0.19543292797250394,0.25297866269079344,1.0
near_vs_far_pre,kinetics_plus_front_echem,source_confound_filter_0.25,88,54,27,9,32,0.37215909090909094,0.6285796909240005,-0.21763439042683558,0.11390712669570861,0.25297866269079344,1.0
near_vs_far_pre,front_echem_residual,source_confound_filter_0.25,19,54,27,9,32,0.37215909090909094,0.510958711577753,-0.21763439042683558,0.11390712669570861,0.06762209292980063,0.20451472302614684
near_vs_far_pre,consensus_visual_qc,source_mean_resid_2,5,54,27,9,32,0.35511363636363635,0.5752802358016467,-0.24665230915041367,0.0721773212936331,0.5492070276382893,0.8178661411009865
near_vs_far_pre,kinetics_plus_front_echem,source_mean_resid_2,88,54,27,9,32,0.34659090909090917,0.5717050255353799,-0.2611612685122027,0.0564585669708468,0.25297866269079344,1.0
near_vs_far_pre,front_echem_residual,raw_standard,19,54,27,9,32,0.3423295454545454,0.49953249732861366,-0.2684157481930972,0.04970786081385617,0.06762209292980063,0.20451472302614684
near_vs_far_pre,echem_context,raw_standard,7,54,27,9,32,0.26704545454545453,0.5123995039474916,-0.39678245133361645,0.0029731086387973235,0.5726095672971339,1.0
near_vs_far_pre,echem_context,source_confound_filter_0.25,7,54,27,9,32,0.22159090909090906,0.456843948391936,-0.4742034174474927,0.00029191725654332596,0.5726095672971339,1.0
near_vs_post_control,consensus_visual_qc,raw_standard,5,84,42,11,32,0.998798076923077,0.9981617647058824,0.8391576254566186,2.135580858076433e-23,0.5492070276382893,0.8178661411009865
near_vs_post_control,no_kinetics_signal,raw_standard,31,84,42,11,32,0.963341346153846,0.9448100202768989,0.779506661719341,2.4553288032238076e-18,0.2593265120947612,1.0
near_vs_post_control,no_kinetics_signal,source_mean_resid_2,31,84,42,11,32,0.9188701923076923,0.9205945337526886,0.7046901987268233,7.404089504249646e-14,0.2593265120947612,1.0
near_vs_post_control,consensus_visual_qc,source_confound_filter_0.25,5,84,42,11,32,0.9116586538461537,0.8890895902451288,0.6925577993226311,2.926824284616138e-13,0.5492070276382893,0.8178661411009865
near_vs_post_control,all_signal,source_mean_resid_2,93,84,42,11,32,0.8371394230769231,0.7622720348360071,0.5671896721459796,1.852949497618721e-08,0.2689049188707663,1.0
near_vs_post_control,all_signal,raw_standard,93,84,42,11,32,0.8131009615384615,0.8099478471803132,0.5267483407986727,2.647142762391425e-07,0.2689049188707663,1.0
near_vs_post_control,no_kinetics_signal,source_confound_filter_0.25,31,84,42,11,32,0.6838942307692307,0.6798374583108684,0.30937618480689805,0.004188521363708601,0.2593265120947612,1.0
near_vs_post_control,phase_kinetics,source_mean_resid_2,64,84,42,11,32,0.59375,0.5117563616658174,0.15772119225449702,0.15189664950599946,0.26514119248961204,0.7928851946242187
near_vs_post_control,object_context_guardrail,source_confound_filter_0.25,6,84,42,11,32,0.5673076923076923,0.42904625821169484,0.11323572777245941,0.3050919171205742,0.22894839467100794,0.40127128174606674
near_vs_post_control,consensus_visual_qc,source_mean_resid_2,5,84,42,11,32,0.5330528846153847,0.4929032106016114,0.05560683060254702,0.6153878859428369,0.5492070276382893,0.8178661411009865
near_vs_post_control,phase_kinetics,source_confound_filter_0.25,64,84,42,11,32,0.5192307692307693,0.4567509798392452,0.03235306507784555,0.770168727867562,0.26514119248961204,0.7928851946242187
near_vs_post_control,object_context_guardrail,raw_standard,6,84,42,11,32,0.4963942307692307,0.3804320920783303,-0.006066199702096039,0.9563256341217237,0.22894839467100794,0.40127128174606674
near_vs_post_control,all_signal,source_confound_filter_0.25,93,84,42,11,32,0.47836538461538464,0.46562076045493467,-0.03639719821257624,0.7423852003537907,0.2689049188707663,1.0
near_vs_post_control,front_echem_residual,source_mean_resid_2,19,84,42,11,32,0.46634615384615385,0.40308053969266755,-0.056617863886229705,0.6089683403172993,0.06762209292980063,0.20451472302614684
near_vs_post_control,phase_kinetics,raw_standard,64,84,42,11,32,0.4657451923076923,0.46697243569295144,-0.05762889716991237,0.6025782190929804,0.26514119248961204,0.7928851946242187
near_vs_post_control,kinetics_plus_front_echem,source_confound_filter_0.25,88,84,42,11,32,0.45252403846153844,0.3921254191935465,-0.07987162941093119,0.4701580784345898,0.25297866269079344,1.0
near_vs_post_control,front_echem_residual,source_confound_filter_0.25,19,84,42,11,32,0.4254807692307692,0.4240585919443631,-0.1253681271766515,0.25583482685143855,0.06762209292980063,0.20451472302614684
near_vs_post_control,front_echem_residual,raw_standard,19,84,42,11,32,0.4068509615384615,0.36294392887217997,-0.15671015897081436,0.15457285941394744,0.06762209292980063,0.20451472302614684
near_vs_post_control,kinetics_plus_front_echem,raw_standard,88,84,42,11,32,0.3371394230769231,0.357258165217317,-0.2739900198780044,0.011669170750584688,0.25297866269079344,1.0
near_vs_post_control,kinetics_plus_front_echem,source_mean_resid_2,88,84,42,11,32,0.31971153846153844,0.3331172280261381,-0.30330998510480195,0.005037573654687547,0.25297866269079344,1.0
near_vs_post_control,echem_context,source_mean_resid_2,7,84,42,11,32,0.28846153846153844,0.33773973477196634,-0.3559594062720708,0.0008902555728188002,0.5726095672971339,1.0
near_vs_post_control,object_context_guardrail,source_mean_resid_2,6,84,42,11,32,0.23617788461538464,0.2760294664823865,-0.4438436115366936,2.3488573777086427e-05,0.22894839467100794,0.40127128174606674
near_vs_post_control,echem_context,source_confound_filter_0.25,7,84,42,11,32,0.17788461538461536,0.26121401728727295,-0.5420290959142896,1.0096567637512102e-07,0.5726095672971339,1.0
near_vs_post_control,echem_context,raw_standard,7,84,42,11,32,0.13701923076923078,0.25290996068963084,-0.6107939812168487,6.84722760358514e-10,0.5726095672971339,1.0
